,Código,0 - 14,15 - 64,65 y más,Total
0,0200101,48.0,277.0,11.0,336.0
1,0200102,3355.0,7714.0,174.0,11243.0
2,0200103,5108.0,10642.0,144.0,15894.0
3,0200104,1360.0,6745.0,2261.0,10366.0
4,0200105,674.0,3561.0,1179.0,5414.0
5,0200106,728.0,4637.0,1763.0,7128.0
6,0200107,432.0,5469.0,1110.0,7011.0
7,0200108,660.0,5667.0,1694.0,8021.0
8,0200109,761.0,5949.0,1036.0,7746.0
9,0200110,686.0,5076.0,1219.0,6981.0
10,0200111,825.0,5955.0,1214.0,7994.0
11,0200112,582.0,5114.0,856.0,6552.0
12,0200113,1208.0,5028.0,490.0,6726.0
13,0200114,887.0,4548.0,790.0,6225.0
14,0200115,943.0,5329.0,978.0,7250.0
15,0200116,812.0,4956.0,1071.0,6839.0
16,0200117,878.0,4965.0,1043.0,6886.0
17,0200118,928.0,4851.0,1106.0,6885.0
18,0200119,788.0,4161.0,880.0,5829.0
19,0200120,1021.0,4476.0,1165.0,6662.0
20,0200121,1125.0,4891.0,1000.0,7016.0
21,0200122,882.0,4813.0,1176.0,6871.0
22,0200123,693.0,4104.0,989.0,5786.0
23,0200124,428.0,2479.0,549.0,3456.0
24,0200125,934.0,4205.0,1114.0,6253.0
25,0200126,680.0,3340.0,938.0,4958.0
26,0200127,1328.0,5110.0,994.0,7432.0
27,0200128,1507.0,5852.0,1199.0,8558.0
28,0200129,1470.0,5117.0,981.0,7568.0
29,0200201,199.0,397.0,27.0,623.0
30,0200202,519.0,3015.0,1113.0,4647.0
31,0200203,539.0,3477.0,1142.0,5158.0
32,0200204,660.0,4141.0,1670.0,6471.0
33,0200205,778.0,4239.0,1517.0,6534.0
34,0200206,827.0,4163.0,1406.0,6396.0
35,0200207,841.0,4682.0,1575.0,7098.0
36,0200208,854.0,5439.0,1624.0,7917.0
37,0200209,979.0,6069.0,1688.0,8736.0
38,0200210,748.0,4755.0,1177.0,6680.0
39,0200211,621.0,4064.0,947.0,5632.0
40,0200212,664.0,4345.0,1197.0,6206.0
41,0200213,884.0,5582.0,1339.0,7805.0
42,0200214,921.0,5931.0,1560.0,8412.0
43,0200215,670.0,4144.0,1230.0,6044.0
44,0200216,587.0,3657.0,1199.0,5443.0
45,0200217,711.0,5420.0,1487.0,7618.0
46,0200218,731.0,4686.0,1434.0,6851.0
47,0200219,763.0,4442.0,1086.0,6291.0
48,0200220,647.0,4188.0,919.0,5754.0
49,0200221,547.0,4118.0,1083.0,5748.0
50,0200222,434.0,3377.0,929.0,4740.0
51,0200223,717.0,4663.0,1401.0,6781.0
52,0200224,525.0,3762.0,1247.0,5534.0
53,0200225,1036.0,6509.0,1268.0,8813.0
54,0200301,1240.0,5484.0,1047.0,7771.0
55,0200302,1727.0,6251.0,1284.0,9262.0
56,0200303,1429.0,5366.0,1330.0,8125.0
57,0200304,793.0,3892.0,739.0,5424.0
58,0200305,520.0,3571.0,690.0,4781.0
59,0200306,425.0,3148.0,792.0,4365.0
60,0200307,700.0,4627.0,1139.0,6466.0
61,0200308,865.0,4006.0,895.0,5766.0
62,0200309,1165.0,5067.0,1099.0,7331.0
63,0200310,920.0,4226.0,990.0,6136.0
64,0200311,846.0,4867.0,1188.0,6901.0
65,0200312,785.0,4619.0,1285.0,6689.0
66,0200313,1088.0,5153.0,1407.0,7648.0
67,0200314,1146.0,5633.0,1215.0,7994.0
68,0200315,986.0,5271.0,1153.0,7410.0
69,0200316,1221.0,5199.0,1056.0,7476.0
70,0200317,1294.0,4971.0,958.0,7223.0
71,0200318,1080.0,4811.0,1119.0,7010.0
72,0200319,1156.0,5344.0,1285.0,7785.0
73,0200320,955.0,4983.0,1425.0,7363.0
74,0200321,937.0,4841.0,1387.0,7165.0
75,0200322,990.0,4542.0,1002.0,6534.0
76,0200323,1280.0,5028.0,1333.0,7641.0
77,0200324,988.0,4214.0,1169.0,6371.0
78,0200325,1402.0,5355.0,1032.0,7789.0
79,0200326,1120.0,4768.0,1124.0,7012.0
80,0200327,1044.0,4170.0,885.0,6099.0
81,0200401,1978.0,5955.0,1237.0,9170.0
82,0200402,1499.0,5091.0,1346.0,7936.0
83,0200403,1933.0,7052.0,1850.0,10835.0
84,0200404,1655.0,6114.0,1528.0,9297.0
85,0200405,2062.0,7060.0,1661.0,10783.0
86,0200406,1566.0,6094.0,1362.0,9022.0
87,0200407,2107.0,7382.0,1861.0,11350.0
88,0200408,1916.0,6680.0,1234.0,9830.0
89,0200409,1190.0,3611.0,656.0,5457.0
90,0200410,3347.0,7760.0,275.0,11382.0
91,0200411,1506.0,4817.0,1090.0,7413.0
92,0200412,1297.0,5427.0,1242.0,7966.0
93,0200413,1257.0,4938.0,1330.0,7525.0
94,0200414,1033.0,4501.0,1023.0,6557.0
95,0200415,1112.0,4820.0,1436.0,7368.0
96,0200416,1480.0,6173.0,1241.0,8894.0
97,0200417,1270.0,4390.0,1373.0,7033.0
98,0200418,1.0,73.0,0.0,74.0
99,0200419,2431.0,6290.0,904.0,9625.0
100,0200420,2234.0,6865.0,1315.0,10414.0
101,0200421,2214.0,6031.0,828.0,9073.0
102,0200422,1578.0,6232.0,1550.0,9360.0
103,0200423,1769.0,5768.0,1180.0,8717.0
104,0200424,2819.0,6073.0,272.0,9164.0
105,0200425,3296.0,7057.0,192.0,10545.0
106,0200426,1197.0,2124.0,134.0,3455.0
107,0200501,968.0,5142.0,1112.0,7222.0
108,0200502,1187.0,5863.0,1275.0,8325.0
109,0200503,952.0,5135.0,1066.0,7153.0
110,0200504,868.0,5110.0,1355.0,7333.0
111,0200505,898.0,4478.0,1140.0,6516.0
112,0200506,1092.0,5370.0,1484.0,7946.0
113,0200507,963.0,5202.0,1308.0,7473.0
114,0200508,1012.0,5335.0,1450.0,7797.0
115,0200509,972.0,4871.0,1245.0,7088.0
116,0200510,1125.0,5333.0,1507.0,7965.0
117,0200511,1340.0,6066.0,1250.0,8656.0
