,Código,Con personas presentes,Con todas las personas temporalmente ausentes,En alquiler o venta,En construcción,"Se usa como comercio, oficina o consultorio","Se usa para vacaciones, fin de semana u otro uso temporal",Por otra razón,Total
0,0200101,38.0,10.0,4.0,0.0,1.0,1.0,0.0,54.0
1,0200102,2708.0,71.0,4.0,4.0,0.0,0.0,54.0,2841.0
2,0200103,4248.0,174.0,33.0,26.0,7.0,0.0,82.0,4570.0
3,0200104,3265.0,1028.0,342.0,27.0,243.0,144.0,501.0,5550.0
4,0200105,2203.0,584.0,194.0,8.0,200.0,97.0,431.0,3717.0
5,0200106,2844.0,699.0,426.0,22.0,482.0,134.0,283.0,4890.0
6,0200107,2252.0,849.0,448.0,19.0,1927.0,164.0,511.0,6170.0
7,0200108,3429.0,1101.0,318.0,14.0,931.0,149.0,481.0,6423.0
8,0200109,3090.0,1258.0,493.0,23.0,4226.0,107.0,1099.0,10296.0
9,0200110,3406.0,840.0,333.0,35.0,3276.0,71.0,539.0,8500.0
10,0200111,3527.0,896.0,337.0,15.0,1666.0,97.0,428.0,6966.0
11,0200112,2276.0,584.0,283.0,12.0,2457.0,104.0,320.0,6036.0
12,0200113,2334.0,829.0,987.0,28.0,580.0,168.0,884.0,5810.0
13,0200114,2420.0,466.0,135.0,8.0,903.0,24.0,294.0,4250.0
14,0200115,2768.0,526.0,309.0,50.0,789.0,46.0,200.0,4688.0
15,0200116,2922.0,657.0,197.0,10.0,481.0,97.0,202.0,4566.0
16,0200117,3100.0,449.0,168.0,13.0,210.0,143.0,231.0,4314.0
17,0200118,2955.0,522.0,150.0,4.0,93.0,20.0,308.0,4052.0
18,0200119,2479.0,365.0,106.0,10.0,50.0,29.0,131.0,3170.0
19,0200120,2748.0,442.0,224.0,15.0,48.0,19.0,179.0,3675.0
20,0200121,2872.0,400.0,210.0,14.0,58.0,20.0,179.0,3753.0
21,0200122,3092.0,514.0,194.0,19.0,83.0,25.0,194.0,4121.0
22,0200123,2478.0,398.0,137.0,28.0,67.0,39.0,94.0,3241.0
23,0200124,1521.0,402.0,257.0,9.0,148.0,23.0,120.0,2480.0
24,0200125,2648.0,385.0,193.0,18.0,51.0,24.0,206.0,3525.0
