,Código,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 y más,Total
0,020010101,22.0,16.0,10.0,26.0,46.0,47.0,41.0,33.0,20.0,30.0,18.0,11.0,5.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,336.0
1,020010201,60.0,44.0,45.0,48.0,64.0,45.0,41.0,22.0,30.0,27.0,20.0,13.0,6.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,478.0
2,020010202,56.0,38.0,42.0,44.0,40.0,47.0,36.0,27.0,18.0,16.0,12.0,14.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,401.0
3,020010203,41.0,34.0,29.0,39.0,46.0,28.0,31.0,19.0,8.0,20.0,21.0,9.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,337.0
4,020010204,60.0,61.0,81.0,70.0,81.0,50.0,38.0,41.0,33.0,36.0,13.0,17.0,12.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,602.0
5,020010205,45.0,30.0,31.0,33.0,34.0,25.0,19.0,27.0,18.0,18.0,14.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,307.0
6,020010206,99.0,92.0,70.0,78.0,83.0,67.0,73.0,43.0,43.0,33.0,16.0,10.0,14.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,732.0
7,020010207,53.0,43.0,44.0,48.0,54.0,49.0,45.0,23.0,22.0,16.0,12.0,14.0,5.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,438.0
8,020010208,70.0,40.0,51.0,53.0,59.0,66.0,36.0,38.0,27.0,29.0,10.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,486.0
9,020010209,65.0,49.0,44.0,47.0,69.0,72.0,42.0,35.0,29.0,19.0,20.0,10.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,511.0
10,020010210,28.0,37.0,35.0,39.0,34.0,34.0,22.0,31.0,19.0,20.0,11.0,7.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,327.0
11,020010211,71.0,52.0,42.0,60.0,81.0,72.0,53.0,55.0,39.0,29.0,21.0,18.0,10.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,611.0
12,020010212,137.0,116.0,117.0,113.0,162.0,133.0,117.0,91.0,75.0,56.0,45.0,31.0,21.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,1225.0
13,020010213,36.0,48.0,52.0,60.0,41.0,45.0,40.0,32.0,40.0,30.0,24.0,15.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,476.0
14,020010214,72.0,46.0,56.0,63.0,85.0,93.0,67.0,50.0,41.0,41.0,30.0,23.0,5.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,688.0
15,020010215,68.0,65.0,71.0,86.0,81.0,82.0,71.0,70.0,44.0,44.0,19.0,24.0,11.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,757.0
16,020010216,100.0,102.0,83.0,83.0,161.0,150.0,112.0,90.0,81.0,57.0,42.0,33.0,19.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,1128.0
17,020010217,86.0,62.0,81.0,73.0,85.0,79.0,55.0,49.0,47.0,42.0,20.0,14.0,7.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,712.0
18,020010218,57.0,47.0,42.0,63.0,47.0,48.0,39.0,32.0,28.0,30.0,17.0,15.0,8.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,480.0
19,020010219,59.0,35.0,35.0,48.0,92.0,86.0,45.0,27.0,37.0,37.0,17.0,14.0,9.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,547.0
20,020010301,98.0,60.0,49.0,61.0,62.0,76.0,72.0,49.0,24.0,19.0,9.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,594.0
21,020010302,64.0,52.0,44.0,50.0,73.0,61.0,51.0,54.0,38.0,17.0,21.0,11.0,16.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,564.0
22,020010303,103.0,76.0,65.0,57.0,76.0,79.0,70.0,36.0,34.0,24.0,16.0,10.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,659.0
23,020010304,57.0,50.0,54.0,48.0,42.0,39.0,37.0,39.0,15.0,20.0,8.0,9.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,428.0
24,020010305,184.0,156.0,129.0,83.0,171.0,129.0,171.0,106.0,55.0,32.0,41.0,11.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1283.0
25,020010306,140.0,112.0,75.0,88.0,127.0,139.0,113.0,84.0,52.0,41.0,23.0,16.0,7.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1027.0
26,020010307,52.0,29.0,27.0,31.0,75.0,52.0,38.0,32.0,15.0,19.0,16.0,5.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,403.0
27,020010308,95.0,79.0,84.0,71.0,87.0,99.0,73.0,79.0,44.0,33.0,19.0,17.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,797.0
28,020010309,132.0,107.0,84.0,66.0,152.0,156.0,112.0,88.0,81.0,47.0,31.0,16.0,12.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1092.0
29,020010310,106.0,68.0,55.0,47.0,128.0,109.0,77.0,64.0,44.0,21.0,11.0,7.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,745.0
30,020010311,108.0,64.0,46.0,51.0,118.0,115.0,61.0,64.0,38.0,31.0,15.0,17.0,2.0,4.0,3.0,7.0,1.0,0.0,0.0,0.0,745.0
31,020010312,73.0,65.0,41.0,44.0,68.0,66.0,62.0,54.0,38.0,18.0,9.0,10.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,561.0
32,020010313,57.0,35.0,25.0,24.0,53.0,60.0,51.0,29.0,16.0,9.0,9.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,381.0
33,020010314,80.0,50.0,46.0,32.0,72.0,57.0,53.0,29.0,23.0,13.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0
34,020010315,123.0,53.0,50.0,78.0,136.0,144.0,72.0,63.0,46.0,31.0,24.0,7.0,8.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,843.0
35,020010316,85.0,69.0,40.0,67.0,121.0,115.0,74.0,50.0,48.0,27.0,17.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,726.0
36,020010317,68.0,49.0,50.0,38.0,82.0,66.0,70.0,53.0,36.0,26.0,17.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0
37,020010318,115.0,85.0,71.0,55.0,109.0,126.0,92.0,56.0,27.0,19.0,11.0,9.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,783.0
38,020010319,130.0,109.0,98.0,100.0,126.0,114.0,96.0,80.0,67.0,33.0,30.0,21.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1017.0
39,020010320,64.0,52.0,33.0,28.0,52.0,53.0,35.0,32.0,26.0,6.0,8.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,397.0
40,020010321,43.0,23.0,19.0,17.0,56.0,54.0,28.0,19.0,12.0,11.0,8.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
41,020010322,112.0,67.0,57.0,59.0,106.0,87.0,63.0,48.0,30.0,14.0,11.0,5.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,670.0
42,020010323,100.0,85.0,82.0,94.0,111.0,64.0,86.0,78.0,40.0,31.0,22.0,15.0,17.0,2.0,7.0,2.0,0.0,1.0,0.0,0.0,837.0
43,020010401,79.0,56.0,49.0,73.0,167.0,152.0,111.0,93.0,69.0,78.0,83.0,95.0,92.0,67.0,49.0,61.0,55.0,24.0,19.0,0.0,1472.0
44,020010402,54.0,45.0,50.0,56.0,106.0,95.0,94.0,90.0,64.0,77.0,72.0,95.0,94.0,84.0,70.0,63.0,48.0,22.0,8.0,12.0,1299.0
45,020010403,31.0,55.0,49.0,64.0,59.0,106.0,90.0,93.0,77.0,79.0,97.0,76.0,77.0,59.0,48.0,50.0,39.0,22.0,15.0,3.0,1189.0
46,020010404,80.0,70.0,66.0,72.0,70.0,100.0,109.0,117.0,89.0,92.0,100.0,92.0,105.0,99.0,81.0,59.0,76.0,36.0,26.0,6.0,1545.0
47,020010405,45.0,56.0,45.0,62.0,76.0,69.0,80.0,55.0,51.0,46.0,78.0,82.0,86.0,62.0,54.0,41.0,45.0,28.0,4.0,4.0,1069.0
48,020010406,58.0,41.0,39.0,67.0,98.0,102.0,80.0,58.0,71.0,77.0,84.0,93.0,94.0,84.0,45.0,58.0,47.0,47.0,16.0,12.0,1271.0
49,020010407,90.0,63.0,76.0,81.0,97.0,100.0,93.0,87.0,67.0,73.0,107.0,100.0,75.0,53.0,61.0,51.0,52.0,41.0,20.0,6.0,1393.0
50,020010408,52.0,61.0,50.0,70.0,90.0,85.0,58.0,86.0,72.0,82.0,66.0,66.0,61.0,65.0,46.0,44.0,29.0,23.0,19.0,3.0,1128.0
51,020010501,30.0,36.0,24.0,30.0,40.0,39.0,27.0,37.0,45.0,34.0,42.0,39.0,40.0,50.0,29.0,28.0,36.0,14.0,9.0,2.0,631.0
52,020010502,15.0,17.0,28.0,30.0,46.0,52.0,27.0,30.0,26.0,35.0,35.0,37.0,30.0,32.0,21.0,24.0,21.0,20.0,5.0,2.0,533.0
53,020010503,35.0,32.0,24.0,49.0,139.0,109.0,83.0,50.0,43.0,45.0,52.0,34.0,53.0,44.0,35.0,31.0,43.0,18.0,8.0,1.0,928.0
54,020010504,63.0,60.0,41.0,53.0,103.0,88.0,65.0,76.0,55.0,60.0,68.0,73.0,86.0,90.0,42.0,60.0,47.0,47.0,16.0,7.0,1200.0
55,020010505,24.0,15.0,46.0,46.0,73.0,52.0,39.0,36.0,31.0,34.0,47.0,53.0,37.0,32.0,20.0,13.0,19.0,13.0,6.0,1.0,637.0
56,020010506,34.0,23.0,29.0,38.0,80.0,90.0,70.0,61.0,34.0,51.0,56.0,67.0,61.0,54.0,38.0,32.0,39.0,20.0,10.0,1.0,888.0
57,020010507,39.0,26.0,33.0,30.0,44.0,40.0,51.0,54.0,46.0,36.0,26.0,41.0,32.0,26.0,10.0,20.0,26.0,9.0,6.0,2.0,597.0
