Código,Hogares sin NBI,Hogares con NBI,Total,COMUNAS
02001,71039.0,13429.0,84468.0,1
02002,71659.0,1497.0,73156.0,2
02003,70929.0,9560.0,80489.0,3
02004,66777.0,9678.0,76455.0,4
02005,72194.0,4652.0,76846.0,5
02006,73533.0,1656.0,75189.0,6
02007,74443.0,7040.0,81483.0,7
02008,51622.0,6582.0,58204.0,8
02009,54150.0,2345.0,56495.0,9
02010,59304.0,2149.0,61453.0,10
02011,70016.0,1444.0,71460.0,11
02012,77212.0,1335.0,78547.0,12
02013,98625.0,1881.0,100506.0,13
02014,100495.0,2423.0,102918.0,14
02015,69360.0,3105.0,72465.0,15
