Código,A red pública (cloaca),A cámara séptica y pozo ciego,Sólo a pozo ciego,"A hoyo, excavación en la tierra, etc.",Total,COMUNAS
02001,80665.0,764.0,886.0,58.0,82373.0,1
02002,72707.0,134.0,58.0,4.0,72903.0,2
02003,79182.0,253.0,37.0,1.0,79473.0,3
02004,72548.0,1392.0,990.0,214.0,75144.0,4
02005,76002.0,255.0,19.0,6.0,76282.0,5
02006,74793.0,154.0,26.0,0.0,74973.0,6
02007,79722.0,663.0,231.0,12.0,80628.0,7
02008,54520.0,1140.0,1376.0,83.0,57119.0,8
02009,55412.0,433.0,179.0,9.0,56033.0,9
02010,60829.0,266.0,32.0,6.0,61133.0,10
02011,70832.0,237.0,27.0,0.0,71096.0,11
02012,77928.0,306.0,44.0,8.0,78286.0,12
02013,100033.0,148.0,8.0,6.0,100195.0,13
02014,102368.0,203.0,50.0,2.0,102623.0,14
02015,71379.0,362.0,193.0,14.0,71948.0,15
