Código,Sí,No,Total,COMUNAS
02001,51500.0,32968.0,84468.0,1
02002,57998.0,15158.0,73156.0,2
02003,51631.0,28858.0,80489.0,3
02004,42164.0,34291.0,76455.0,4
02005,54204.0,22642.0,76846.0,5
02006,56637.0,18552.0,75189.0,6
02007,50522.0,30961.0,81483.0,7
02008,25731.0,32473.0,58204.0,8
02009,34236.0,22259.0,56495.0,9
02010,41245.0,20208.0,61453.0,10
02011,51101.0,20359.0,71460.0,11
02012,58141.0,20406.0,78547.0,12
02013,79488.0,21018.0,100506.0,13
02014,82552.0,20366.0,102918.0,14
02015,51995.0,20470.0,72465.0,15
