Código,Sí,No,Total,COMUNAS
02001,73457.0,11011.0,84468.0,1
02002,65253.0,7903.0,73156.0,2
02003,69059.0,11430.0,80489.0,3
02004,65630.0,10825.0,76455.0,4
02005,67096.0,9750.0,76846.0,5
02006,66241.0,8948.0,75189.0,6
02007,69993.0,11490.0,81483.0,7
02008,49102.0,9102.0,58204.0,8
02009,47786.0,8709.0,56495.0,9
02010,52744.0,8709.0,61453.0,10
02011,62113.0,9347.0,71460.0,11
02012,69107.0,9440.0,78547.0,12
02013,90194.0,10312.0,100506.0,13
02014,92920.0,9998.0,102918.0,14
02015,63437.0,9028.0,72465.0,15
