Código,Sí,No,Total,COMUNAS
02001,60208.0,24260.0,84468.0,1
02002,68708.0,4448.0,73156.0,2
02003,64202.0,16287.0,80489.0,3
02004,53996.0,22459.0,76455.0,4
02005,66779.0,10067.0,76846.0,5
02006,69116.0,6073.0,75189.0,6
02007,64139.0,17344.0,81483.0,7
02008,34673.0,23531.0,58204.0,8
02009,46871.0,9624.0,56495.0,9
02010,53988.0,7465.0,61453.0,10
02011,65700.0,5760.0,71460.0,11
02012,72571.0,5976.0,78547.0,12
02013,94846.0,5660.0,100506.0,13
02014,95493.0,7425.0,102918.0,14
02015,64884.0,7581.0,72465.0,15
