,Código,Ocupado,Desocupado,Inactivo,Total
0,02001,115106.0,5478.0,40224.0,160808.0
1,02002,94799.0,3703.0,38033.0,136535.0
2,02003,111137.0,4974.0,40042.0,156153.0
3,02004,117188.0,6758.0,49626.0,173572.0
4,02005,107804.0,4481.0,39007.0,151292.0
5,02006,105497.0,3841.0,40076.0,149414.0
6,02007,121177.0,5856.0,51721.0,178754.0
7,02008,91064.0,6387.0,45401.0,142852.0
8,02009,85429.0,4687.0,41757.0,131873.0
9,02010,92517.0,4396.0,41092.0,138005.0
10,02011,106924.0,4507.0,46203.0,157634.0
11,02012,116937.0,4797.0,46983.0,168717.0
12,02013,139846.0,4771.0,52816.0,197433.0
13,02014,139698.0,5088.0,49858.0,194644.0
14,02015,109075.0,4460.0,39504.0,153039.0
