Código,Argentina,Otro país,Total,COMUNAS
02001,154938.0,50948.0,205886.0,1
02002,142411.0,15521.0,157932.0,2
02003,157071.0,30466.0,187537.0,3
02004,179463.0,38782.0,218245.0,4
02005,160028.0,18977.0,179005.0,5
02006,162914.0,13162.0,176076.0,6
02007,179624.0,40967.0,220591.0,7
02008,143495.0,43742.0,187237.0,8
02009,139877.0,21920.0,161797.0,9
02010,149045.0,16977.0,166022.0,10
02011,174775.0,15057.0,189832.0,11
02012,186740.0,13376.0,200116.0,12
02013,211498.0,19833.0,231331.0,13
02014,202571.0,23399.0,225970.0,14
02015,163923.0,18651.0,182574.0,15
