,Código,Satisfactoria,Básica,Insuficiente,Total
0,02001,59138.0,10599.0,8623.0,78360.0
1,02002,65121.0,4984.0,764.0,70869.0
2,02003,64720.0,7561.0,3324.0,75605.0
3,02004,50773.0,12779.0,6128.0,69680.0
4,02005,64706.0,6740.0,1780.0,73226.0
5,02006,67254.0,5045.0,643.0,72942.0
6,02007,60343.0,9291.0,3400.0,73034.0
7,02008,30886.0,12445.0,5300.0,48631.0
8,02009,43552.0,7491.0,1312.0,52355.0
9,02010,51592.0,5945.0,795.0,58332.0
10,02011,61681.0,6323.0,648.0,68652.0
11,02012,66880.0,7488.0,627.0,74995.0
12,02013,90056.0,6987.0,689.0,97732.0
13,02014,90644.0,7960.0,948.0,99552.0
14,02015,60131.0,7452.0,1450.0,69033.0
