,Código,Con personas presentes,Con todas las personas temporalmente ausentes,En alquiler o venta,En construcción,"Se usa como comercio, oficina o consultorio","Se usa para vacaciones, fin de semana u otro uso temporal",Por otra razón,Total
0,02001,78360.0,15617.0,6888.0,474.0,19131.0,1773.0,8528.0,130771.0
1,02002,70869.0,17875.0,4943.0,337.0,5813.0,2068.0,6062.0,107967.0
2,02003,75605.0,11994.0,3724.0,305.0,3522.0,683.0,5328.0,101161.0
3,02004,69680.0,6576.0,2116.0,297.0,874.0,149.0,3234.0,82926.0
4,02005,73226.0,9578.0,3416.0,277.0,1781.0,363.0,4109.0,92750.0
5,02006,72942.0,10126.0,3538.0,362.0,1877.0,321.0,4202.0,93368.0
6,02007,73034.0,8005.0,2869.0,485.0,1360.0,208.0,3559.0,89520.0
7,02008,48631.0,3185.0,816.0,226.0,301.0,64.0,2154.0,55377.0
8,02009,52355.0,5097.0,1690.0,444.0,931.0,98.0,2707.0,63322.0
9,02010,58332.0,6301.0,2164.0,480.0,1010.0,158.0,3127.0,71572.0
10,02011,68652.0,7463.0,2647.0,594.0,1347.0,173.0,3773.0,84649.0
11,02012,74995.0,8886.0,3561.0,593.0,1357.0,204.0,3813.0,93409.0
12,02013,97732.0,15781.0,4782.0,527.0,4177.0,620.0,6014.0,129633.0
13,02014,99552.0,20588.0,6609.0,642.0,5648.0,1417.0,6766.0,141222.0
14,02015,69033.0,8668.0,2624.0,390.0,1931.0,209.0,3471.0,86326.0
