Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRACC
0200101,46.0,19.0,65.0,001_1
0200102,2619.0,1073.0,3692.0,001_2
0200103,3395.0,1817.0,5212.0,001_3
0200104,4119.0,103.0,4222.0,001_4
0200105,2255.0,14.0,2269.0,001_5
0200106,2902.0,13.0,2915.0,001_6
0200107,2271.0,24.0,2295.0,001_7
0200108,3436.0,41.0,3477.0,001_8
0200109,2984.0,281.0,3265.0,001_9
0200110,3364.0,134.0,3498.0,001_10
0200111,3264.0,486.0,3750.0,001_11
0200112,1868.0,522.0,2390.0,001_12
0200113,2274.0,191.0,2465.0,001_13
0200114,1970.0,604.0,2574.0,001_14
0200115,2317.0,633.0,2950.0,001_15
0200116,2612.0,440.0,3052.0,001_16
0200117,2581.0,671.0,3252.0,001_17
0200118,2573.0,561.0,3134.0,001_18
0200119,2102.0,463.0,2565.0,001_19
0200120,2417.0,397.0,2814.0,001_20
0200121,2260.0,757.0,3017.0,001_21
0200122,2776.0,433.0,3209.0,001_22
0200123,2232.0,340.0,2572.0,001_23
0200124,1503.0,101.0,1604.0,001_24
0200125,2548.0,239.0,2787.0,001_25
0200126,2000.0,225.0,2225.0,001_26
0200127,1944.0,922.0,2866.0,001_27
0200128,2412.0,1093.0,3505.0,001_28
0200129,1995.0,832.0,2827.0,001_29
0200201,110.0,44.0,154.0,002_1
0200202,1910.0,17.0,1927.0,002_2
0200203,2218.0,34.0,2252.0,002_3
0200204,2589.0,98.0,2687.0,002_4
0200205,2601.0,35.0,2636.0,002_5
0200206,2636.0,71.0,2707.0,002_6
0200207,3046.0,22.0,3068.0,002_7
0200208,3650.0,40.0,3690.0,002_8
0200209,4106.0,23.0,4129.0,002_9
0200210,3384.0,26.0,3410.0,002_10
0200211,2616.0,60.0,2676.0,002_11
0200212,3080.0,31.0,3111.0,002_12
0200213,3724.0,23.0,3747.0,002_13
0200214,3869.0,130.0,3999.0,002_14
0200215,2832.0,21.0,2853.0,002_15
0200216,2431.0,46.0,2477.0,002_16
0200217,3667.0,82.0,3749.0,002_17
0200218,2715.0,184.0,2899.0,002_18
0200219,2913.0,76.0,2989.0,002_19
0200220,2695.0,124.0,2819.0,002_20
0200221,2740.0,52.0,2792.0,002_21
0200222,2413.0,9.0,2422.0,002_22
0200223,3123.0,31.0,3154.0,002_23
0200224,2580.0,20.0,2600.0,002_24
0200225,4011.0,198.0,4209.0,002_25
0200301,2847.0,595.0,3442.0,003_1
0200302,3660.0,256.0,3916.0,003_2
0200303,3081.0,216.0,3297.0,003_3
0200304,2143.0,169.0,2312.0,003_4
0200305,2230.0,78.0,2308.0,003_5
0200306,1964.0,93.0,2057.0,003_6
0200307,2835.0,156.0,2991.0,003_7
0200308,2289.0,154.0,2443.0,003_8
0200309,2727.0,342.0,3069.0,003_9
0200310,2226.0,235.0,2461.0,003_10
0200311,2552.0,491.0,3043.0,003_11
0200312,2823.0,405.0,3228.0,003_12
0200313,2821.0,536.0,3357.0,003_13
0200314,2871.0,456.0,3327.0,003_14
0200315,3068.0,295.0,3363.0,003_15
0200316,2543.0,602.0,3145.0,003_16
0200317,2036.0,755.0,2791.0,003_17
0200318,2593.0,338.0,2931.0,003_18
0200319,2923.0,482.0,3405.0,003_19
0200320,3033.0,468.0,3501.0,003_20
0200321,2851.0,300.0,3151.0,003_21
0200322,2392.0,410.0,2802.0,003_22
0200323,2696.0,421.0,3117.0,003_23
0200324,2402.0,226.0,2628.0,003_24
0200325,2729.0,451.0,3180.0,003_25
0200326,2492.0,344.0,2836.0,003_26
0200327,2102.0,286.0,2388.0,003_27
0200401,2657.0,273.0,2930.0,004_1
0200402,2460.0,268.0,2728.0,004_2
0200403,3397.0,243.0,3640.0,004_3
0200404,3171.0,181.0,3352.0,004_4
0200405,3326.0,334.0,3660.0,004_5
0200406,3163.0,205.0,3368.0,004_6
0200407,3602.0,336.0,3938.0,004_7
0200408,3175.0,318.0,3493.0,004_8
0200409,1600.0,210.0,1810.0,004_9
0200410,2777.0,752.0,3529.0,004_10
0200411,2389.0,178.0,2567.0,004_11
0200412,2600.0,418.0,3018.0,004_12
0200413,2925.0,140.0,3065.0,004_13
0200414,2369.0,405.0,2774.0,004_14
0200415,3063.0,45.0,3108.0,004_15
0200416,3403.0,236.0,3639.0,004_16
0200417,2622.0,190.0,2812.0,004_17
0200418,5.0,40.0,45.0,004_18
0200419,2103.0,1106.0,3209.0,004_19
0200420,2757.0,826.0,3583.0,004_20
0200421,1937.0,1062.0,2999.0,004_21
0200422,3452.0,249.0,3701.0,004_22
0200423,2575.0,407.0,2982.0,004_23
0200424,2209.0,434.0,2643.0,004_24
0200425,2261.0,717.0,2978.0,004_25
0200426,779.0,105.0,884.0,004_26
0200501,3201.0,105.0,3306.0,005_1
0200502,3183.0,402.0,3585.0,005_2
0200503,2910.0,364.0,3274.0,005_3
0200504,3236.0,132.0,3368.0,005_4
0200505,2814.0,89.0,2903.0,005_5
0200506,3555.0,52.0,3607.0,005_6
0200507,2942.0,198.0,3140.0,005_7
0200508,3325.0,154.0,3479.0,005_8
0200509,3118.0,99.0,3217.0,005_9
0200510,3353.0,191.0,3544.0,005_10
0200511,3563.0,214.0,3777.0,005_11
0200512,3024.0,166.0,3190.0,005_12
0200513,3100.0,187.0,3287.0,005_13
0200514,3576.0,200.0,3776.0,005_14
0200515,3127.0,355.0,3482.0,005_15
0200516,3473.0,336.0,3809.0,005_16
0200517,3423.0,160.0,3583.0,005_17
0200518,3176.0,204.0,3380.0,005_18
0200519,3634.0,183.0,3817.0,005_19
0200520,3631.0,351.0,3982.0,005_20
0200521,2931.0,218.0,3149.0,005_21
0200522,3899.0,292.0,4191.0,005_22
0200601,3375.0,99.0,3474.0,006_1
0200602,3516.0,71.0,3587.0,006_2
0200603,3321.0,76.0,3397.0,006_3
0200604,3264.0,57.0,3321.0,006_4
0200605,3883.0,72.0,3955.0,006_5
0200606,3685.0,36.0,3721.0,006_6
0200607,3927.0,132.0,4059.0,006_7
0200608,3381.0,203.0,3584.0,006_8
0200609,2888.0,74.0,2962.0,006_9
0200610,3790.0,49.0,3839.0,006_10
0200611,3131.0,63.0,3194.0,006_11
0200612,3358.0,64.0,3422.0,006_12
0200613,3550.0,62.0,3612.0,006_13
0200614,3507.0,87.0,3594.0,006_14
0200615,3562.0,35.0,3597.0,006_15
0200616,4245.0,88.0,4333.0,006_16
0200617,3059.0,68.0,3127.0,006_17
0200618,3336.0,82.0,3418.0,006_18
0200619,3664.0,37.0,3701.0,006_19
0200620,3353.0,25.0,3378.0,006_20
0200621,3738.0,176.0,3914.0,006_21
0200701,2446.0,309.0,2755.0,007_1
0200702,2898.0,413.0,3311.0,007_2
0200703,3448.0,206.0,3654.0,007_3
0200704,4051.0,116.0,4167.0,007_4
0200705,2986.0,188.0,3174.0,007_5
0200706,2581.0,299.0,2880.0,007_6
0200707,2995.0,296.0,3291.0,007_7
0200708,2583.0,156.0,2739.0,007_8
0200709,3145.0,178.0,3323.0,007_9
0200710,2952.0,82.0,3034.0,007_10
0200711,3404.0,119.0,3523.0,007_11
0200712,2509.0,46.0,2555.0,007_12
0200713,3581.0,89.0,3670.0,007_13
0200714,3661.0,146.0,3807.0,007_14
0200715,3205.0,164.0,3369.0,007_15
0200716,2527.0,112.0,2639.0,007_16
0200717,3113.0,1804.0,4917.0,007_17
0200718,2412.0,1152.0,3564.0,007_18
0200719,2026.0,405.0,2431.0,007_19
0200720,3854.0,279.0,4133.0,007_20
0200721,3960.0,89.0,4049.0,007_21
0200722,3866.0,65.0,3931.0,007_22
0200723,2681.0,90.0,2771.0,007_23
0200724,3559.0,237.0,3796.0,007_24
0200801,4897.0,1145.0,6042.0,008_1
0200802,2528.0,30.0,2558.0,008_2
0200803,2761.0,487.0,3248.0,008_3
0200804,2844.0,155.0,2999.0,008_4
0200805,3129.0,73.0,3202.0,008_5
0200806,2947.0,182.0,3129.0,008_6
0200807,4804.0,1898.0,6702.0,008_7
0200808,2975.0,84.0,3059.0,008_8
0200809,2527.0,92.0,2619.0,008_9
0200810,3847.0,51.0,3898.0,008_10
0200811,3738.0,39.0,3777.0,008_11
0200812,2101.0,62.0,2163.0,008_12
0200813,1743.0,125.0,1868.0,008_13
0200814,3249.0,748.0,3997.0,008_14
0200815,3701.0,1339.0,5040.0,008_15
0200816,2603.0,66.0,2669.0,008_16
0200817,1228.0,6.0,1234.0,008_17
0200901,2284.0,100.0,2384.0,009_1
0200902,3810.0,39.0,3849.0,009_2
0200903,3423.0,100.0,3523.0,009_3
0200904,3342.0,49.0,3391.0,009_4
0200905,3387.0,80.0,3467.0,009_5
0200906,3774.0,246.0,4020.0,009_6
0200907,3799.0,76.0,3875.0,009_7
0200908,3781.0,163.0,3944.0,009_8
0200909,3709.0,139.0,3848.0,009_9
0200910,3247.0,90.0,3337.0,009_10
0200911,4013.0,217.0,4230.0,009_11
0200912,3361.0,122.0,3483.0,009_12
0200913,2192.0,140.0,2332.0,009_13
0200914,3301.0,540.0,3841.0,009_14
0200915,3049.0,139.0,3188.0,009_15
0200916,3678.0,105.0,3783.0,009_16
0201001,2389.0,27.0,2416.0,010_1
0201002,2487.0,17.0,2504.0,010_2
0201003,2241.0,29.0,2270.0,010_3
0201004,2739.0,12.0,2751.0,010_4
0201005,4055.0,88.0,4143.0,010_5
0201006,4093.0,86.0,4179.0,010_6
0201007,3976.0,65.0,4041.0,010_7
0201008,3153.0,56.0,3209.0,010_8
0201009,2950.0,58.0,3008.0,010_9
0201010,3600.0,84.0,3684.0,010_10
0201011,3369.0,254.0,3623.0,010_11
0201012,2559.0,216.0,2775.0,010_12
0201013,3087.0,105.0,3192.0,010_13
0201014,3081.0,142.0,3223.0,010_14
0201015,2542.0,122.0,2664.0,010_15
0201016,2909.0,79.0,2988.0,010_16
0201017,3058.0,83.0,3141.0,010_17
0201018,3374.0,185.0,3559.0,010_18
0201019,3642.0,441.0,4083.0,010_19
0201101,3559.0,25.0,3584.0,011_1
0201102,3356.0,75.0,3431.0,011_2
0201103,3236.0,23.0,3259.0,011_3
0201104,3774.0,16.0,3790.0,011_4
0201105,3017.0,17.0,3034.0,011_5
0201106,3373.0,64.0,3437.0,011_6
0201107,3440.0,60.0,3500.0,011_7
0201108,2918.0,15.0,2933.0,011_8
0201109,3598.0,15.0,3613.0,011_9
0201110,3521.0,22.0,3543.0,011_10
0201111,2645.0,31.0,2676.0,011_11
0201112,2679.0,19.0,2698.0,011_12
0201113,3628.0,74.0,3702.0,011_13
0201114,2757.0,16.0,2773.0,011_14
0201115,3637.0,157.0,3794.0,011_15
0201116,2950.0,105.0,3055.0,011_16
0201117,2524.0,70.0,2594.0,011_17
0201118,2927.0,148.0,3075.0,011_18
0201119,2676.0,100.0,2776.0,011_19
0201120,3078.0,109.0,3187.0,011_20
0201121,3370.0,151.0,3521.0,011_21
0201122,3353.0,132.0,3485.0,011_22
0201201,2970.0,53.0,3023.0,012_1
0201202,2838.0,31.0,2869.0,012_2
0201203,3012.0,71.0,3083.0,012_3
0201204,3045.0,33.0,3078.0,012_4
0201205,3545.0,94.0,3639.0,012_5
0201206,3267.0,17.0,3284.0,012_6
0201207,3587.0,61.0,3648.0,012_7
0201208,3791.0,40.0,3831.0,012_8
0201209,2519.0,51.0,2570.0,012_9
0201210,3586.0,112.0,3698.0,012_10
0201211,3307.0,119.0,3426.0,012_11
0201212,2853.0,26.0,2879.0,012_12
0201213,3126.0,36.0,3162.0,012_13
0201214,3838.0,55.0,3893.0,012_14
0201215,4608.0,54.0,4662.0,012_15
0201216,5388.0,100.0,5488.0,012_16
0201217,3118.0,37.0,3155.0,012_17
0201218,3939.0,72.0,4011.0,012_18
0201219,4244.0,109.0,4353.0,012_19
0201220,3121.0,57.0,3178.0,012_20
0201221,3474.0,76.0,3550.0,012_21
0201222,4036.0,31.0,4067.0,012_22
0201301,4039.0,63.0,4102.0,013_1
0201302,3842.0,70.0,3912.0,013_2
0201303,3344.0,42.0,3386.0,013_3
0201304,4764.0,160.0,4924.0,013_4
0201305,3237.0,58.0,3295.0,013_5
0201306,2971.0,110.0,3081.0,013_6
0201307,3158.0,20.0,3178.0,013_7
0201308,3524.0,32.0,3556.0,013_8
0201309,3135.0,45.0,3180.0,013_9
0201310,4046.0,73.0,4119.0,013_10
0201311,1731.0,32.0,1763.0,013_11
0201312,2879.0,21.0,2900.0,013_12
0201313,4412.0,23.0,4435.0,013_13
0201314,2952.0,35.0,2987.0,013_14
0201315,4077.0,52.0,4129.0,013_15
0201316,4277.0,43.0,4320.0,013_16
0201317,4018.0,21.0,4039.0,013_17
0201318,3098.0,25.0,3123.0,013_18
0201319,3454.0,77.0,3531.0,013_19
0201320,3736.0,16.0,3752.0,013_20
0201321,3033.0,12.0,3045.0,013_21
0201322,2841.0,17.0,2858.0,013_22
0201323,4082.0,27.0,4109.0,013_23
0201324,2959.0,112.0,3071.0,013_24
0201325,2522.0,43.0,2565.0,013_25
0201326,3073.0,179.0,3252.0,013_26
0201327,3358.0,155.0,3513.0,013_27
