Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRACC
0200101,43.0,20.0,0.0,2.0,65.0,001_1
0200102,1515.0,2106.0,46.0,25.0,3692.0,001_2
0200103,1686.0,3238.0,241.0,47.0,5212.0,001_3
0200104,4199.0,17.0,0.0,6.0,4222.0,001_4
0200105,2229.0,22.0,0.0,18.0,2269.0,001_5
0200106,2896.0,13.0,0.0,6.0,2915.0,001_6
0200107,2256.0,10.0,0.0,29.0,2295.0,001_7
0200108,3433.0,26.0,0.0,18.0,3477.0,001_8
0200109,3142.0,89.0,13.0,21.0,3265.0,001_9
0200110,3465.0,24.0,0.0,9.0,3498.0,001_10
0200111,3691.0,24.0,0.0,35.0,3750.0,001_11
0200112,2318.0,50.0,0.0,22.0,2390.0,001_12
0200113,2029.0,399.0,19.0,18.0,2465.0,001_13
0200114,2373.0,186.0,0.0,15.0,2574.0,001_14
0200115,2871.0,43.0,0.0,36.0,2950.0,001_15
0200116,3005.0,29.0,0.0,18.0,3052.0,001_16
0200117,3203.0,43.0,0.0,6.0,3252.0,001_17
0200118,3059.0,28.0,0.0,47.0,3134.0,001_18
0200119,2456.0,70.0,0.0,39.0,2565.0,001_19
0200120,2740.0,59.0,0.0,15.0,2814.0,001_20
0200121,2976.0,28.0,0.0,13.0,3017.0,001_21
0200122,3124.0,61.0,0.0,24.0,3209.0,001_22
0200123,2506.0,59.0,1.0,6.0,2572.0,001_23
0200124,1547.0,41.0,0.0,16.0,1604.0,001_24
0200125,2726.0,50.0,0.0,11.0,2787.0,001_25
0200126,2172.0,30.0,4.0,19.0,2225.0,001_26
0200127,2691.0,163.0,1.0,11.0,2866.0,001_27
0200128,3437.0,34.0,1.0,33.0,3505.0,001_28
0200129,2700.0,79.0,3.0,45.0,2827.0,001_29
0200201,86.0,63.0,2.0,3.0,154.0,002_1
0200202,1901.0,21.0,0.0,5.0,1927.0,002_2
0200203,2236.0,7.0,0.0,9.0,2252.0,002_3
0200204,2666.0,10.0,1.0,10.0,2687.0,002_4
0200205,2619.0,10.0,0.0,7.0,2636.0,002_5
0200206,2682.0,11.0,0.0,14.0,2707.0,002_6
0200207,3038.0,15.0,1.0,14.0,3068.0,002_7
0200208,3655.0,18.0,0.0,17.0,3690.0,002_8
0200209,4118.0,8.0,0.0,3.0,4129.0,002_9
0200210,3383.0,9.0,0.0,18.0,3410.0,002_10
0200211,2653.0,15.0,0.0,8.0,2676.0,002_11
0200212,3087.0,16.0,0.0,8.0,3111.0,002_12
0200213,3721.0,17.0,0.0,9.0,3747.0,002_13
0200214,3978.0,6.0,0.0,15.0,3999.0,002_14
0200215,2841.0,5.0,0.0,7.0,2853.0,002_15
0200216,2455.0,11.0,1.0,10.0,2477.0,002_16
0200217,3713.0,9.0,0.0,27.0,3749.0,002_17
0200218,2885.0,9.0,0.0,5.0,2899.0,002_18
0200219,2976.0,8.0,0.0,5.0,2989.0,002_19
0200220,2791.0,12.0,0.0,16.0,2819.0,002_20
