Código,A red pública (cloaca),A cámara séptica y pozo ciego,Sólo a pozo ciego,"A hoyo, excavación en la tierra, etc.",Total,CO_FRACC
0200101,60.0,3.0,1.0,1.0,65.0,001_1
0200102,3330.0,109.0,40.0,1.0,3480.0,001_2
0200103,4284.0,270.0,359.0,27.0,4940.0,001_3
0200104,4210.0,7.0,2.0,0.0,4219.0,001_4
0200105,2267.0,2.0,0.0,0.0,2269.0,001_5
0200106,2894.0,20.0,0.0,0.0,2914.0,001_6
0200107,2291.0,1.0,1.0,1.0,2294.0,001_7
0200108,3465.0,7.0,2.0,0.0,3474.0,001_8
0200109,3216.0,17.0,6.0,0.0,3239.0,001_9
0200110,3456.0,2.0,1.0,0.0,3459.0,001_10
0200111,3723.0,5.0,1.0,1.0,3730.0,001_11
0200112,2290.0,4.0,0.0,0.0,2294.0,001_12
0200113,1876.0,76.0,452.0,22.0,2426.0,001_13
0200114,2441.0,13.0,2.0,0.0,2456.0,001_14
0200115,2861.0,14.0,1.0,0.0,2876.0,001_15
0200116,2966.0,27.0,0.0,0.0,2993.0,001_16
0200117,3221.0,8.0,0.0,0.0,3229.0,001_17
0200118,3070.0,9.0,2.0,0.0,3081.0,001_18
0200119,2483.0,7.0,1.0,0.0,2491.0,001_19
0200120,2747.0,8.0,2.0,1.0,2758.0,001_20
0200121,2877.0,12.0,0.0,0.0,2889.0,001_21
0200122,3092.0,41.0,6.0,1.0,3140.0,001_22
0200123,2460.0,9.0,0.0,0.0,2469.0,001_23
0200124,1584.0,8.0,1.0,0.0,1593.0,001_24
0200125,2768.0,10.0,1.0,0.0,2779.0,001_25
0200126,2199.0,7.0,0.0,2.0,2208.0,001_26
0200127,2678.0,38.0,2.0,1.0,2719.0,001_27
0200128,3167.0,15.0,2.0,0.0,3184.0,001_28
0200129,2689.0,15.0,1.0,0.0,2705.0,001_29
0200201,54.0,45.0,48.0,2.0,149.0,002_1
0200202,1906.0,18.0,3.0,0.0,1927.0,002_2
0200203,2233.0,2.0,0.0,0.0,2235.0,002_3
0200204,2603.0,1.0,0.0,0.0,2604.0,002_4
0200205,2605.0,6.0,0.0,0.0,2611.0,002_5
0200206,2694.0,2.0,0.0,0.0,2696.0,002_6
0200207,3064.0,1.0,2.0,0.0,3067.0,002_7
0200208,3683.0,4.0,1.0,0.0,3688.0,002_8
0200209,4126.0,1.0,0.0,0.0,4127.0,002_9
0200210,3405.0,3.0,1.0,0.0,3409.0,002_10
0200211,2649.0,3.0,1.0,0.0,2653.0,002_11
0200212,3101.0,8.0,0.0,0.0,3109.0,002_12
0200213,3735.0,4.0,0.0,0.0,3739.0,002_13
0200214,3972.0,4.0,1.0,1.0,3978.0,002_14
0200215,2852.0,0.0,0.0,0.0,2852.0,002_15
0200216,2469.0,2.0,0.0,0.0,2471.0,002_16
0200217,3727.0,10.0,0.0,0.0,3737.0,002_17
0200218,2885.0,3.0,0.0,0.0,2888.0,002_18
0200219,2984.0,2.0,0.0,0.0,2986.0,002_19
0200220,2807.0,5.0,1.0,0.0,2813.0,002_20
0200221,2788.0,4.0,0.0,0.0,2792.0,002_21
0200222,2420.0,1.0,0.0,1.0,2422.0,002_22
0200223,3153.0,1.0,0.0,0.0,3154.0,002_23
0200224,2586.0,2.0,0.0,0.0,2588.0,002_24
0200225,4206.0,2.0,0.0,0.0,4208.0,002_25
0200301,3324.0,10.0,0.0,0.0,3334.0,003_1
0200302,3910.0,5.0,0.0,0.0,3915.0,003_2
0200303,3277.0,14.0,0.0,0.0,3291.0,003_3
0200304,2305.0,0.0,0.0,0.0,2305.0,003_4
0200305,2305.0,1.0,0.0,0.0,2306.0,003_5
0200306,2052.0,2.0,0.0,0.0,2054.0,003_6
0200307,2980.0,1.0,1.0,0.0,2982.0,003_7
0200308,2397.0,1.0,0.0,0.0,2398.0,003_8
0200309,3000.0,9.0,10.0,0.0,3019.0,003_9
0200310,2455.0,1.0,0.0,0.0,2456.0,003_10
0200311,3008.0,3.0,2.0,0.0,3013.0,003_11
0200312,3123.0,1.0,1.0,0.0,3125.0,003_12
0200313,3300.0,6.0,0.0,0.0,3306.0,003_13
0200314,3245.0,8.0,3.0,0.0,3256.0,003_14
0200315,3322.0,9.0,3.0,1.0,3335.0,003_15
0200316,3064.0,9.0,0.0,0.0,3073.0,003_16
0200317,2706.0,6.0,3.0,0.0,2715.0,003_17
0200318,2896.0,20.0,5.0,0.0,2921.0,003_18
0200319,3332.0,19.0,0.0,0.0,3351.0,003_19
0200320,3395.0,32.0,0.0,0.0,3427.0,003_20
0200321,3109.0,22.0,0.0,0.0,3131.0,003_21
0200322,2699.0,12.0,1.0,0.0,2712.0,003_22
0200323,3089.0,21.0,0.0,0.0,3110.0,003_23
0200324,2605.0,8.0,2.0,0.0,2615.0,003_24
0200325,3145.0,10.0,2.0,0.0,3157.0,003_25
0200326,2775.0,16.0,0.0,0.0,2791.0,003_26
0200327,2364.0,7.0,4.0,0.0,2375.0,003_27
0200401,2821.0,40.0,48.0,0.0,2909.0,004_1
0200402,2649.0,47.0,16.0,0.0,2712.0,004_2
0200403,3553.0,25.0,12.0,0.0,3590.0,004_3
0200404,3285.0,42.0,2.0,0.0,3329.0,004_4
0200405,3604.0,30.0,1.0,0.0,3635.0,004_5
0200406,3341.0,15.0,1.0,0.0,3357.0,004_6
0200407,3864.0,26.0,0.0,1.0,3891.0,004_7
0200408,3411.0,44.0,2.0,0.0,3457.0,004_8
0200409,1663.0,55.0,10.0,24.0,1752.0,004_9
0200410,2853.0,202.0,339.0,15.0,3409.0,004_10
0200411,2365.0,99.0,14.0,77.0,2555.0,004_11
0200412,2952.0,23.0,0.0,0.0,2975.0,004_12
0200413,3029.0,5.0,0.0,0.0,3034.0,004_13
0200414,2714.0,29.0,1.0,0.0,2744.0,004_14
0200415,3099.0,3.0,0.0,0.0,3102.0,004_15
0200416,3588.0,4.0,3.0,0.0,3595.0,004_16
0200417,2788.0,12.0,1.0,0.0,2801.0,004_17
0200418,20.0,4.0,0.0,17.0,41.0,004_18
0200419,2940.0,73.0,14.0,2.0,3029.0,004_19
0200420,3381.0,85.0,19.0,1.0,3486.0,004_20
0200421,2692.0,80.0,27.0,1.0,2800.0,004_21
0200422,3637.0,24.0,6.0,0.0,3667.0,004_22
0200423,2838.0,71.0,13.0,21.0,2943.0,004_23
0200424,2269.0,148.0,129.0,32.0,2578.0,004_24
0200425,2366.0,175.0,329.0,23.0,2893.0,004_25
0200426,826.0,31.0,3.0,0.0,860.0,004_26
0200501,3292.0,3.0,4.0,0.0,3299.0,005_1
0200502,3522.0,9.0,0.0,0.0,3531.0,005_2
0200503,3180.0,11.0,0.0,0.0,3191.0,005_3
0200504,3309.0,15.0,0.0,0.0,3324.0,005_4
0200505,2900.0,3.0,0.0,0.0,2903.0,005_5
0200506,3601.0,4.0,0.0,0.0,3605.0,005_6
0200507,3091.0,7.0,1.0,0.0,3099.0,005_7
0200508,3433.0,12.0,0.0,1.0,3446.0,005_8
0200509,3203.0,5.0,0.0,1.0,3209.0,005_9
0200510,3503.0,9.0,3.0,0.0,3515.0,005_10
0200511,3750.0,5.0,1.0,0.0,3756.0,005_11
0200512,3176.0,5.0,0.0,1.0,3182.0,005_12
0200513,3253.0,5.0,0.0,0.0,3258.0,005_13
0200514,3730.0,5.0,1.0,0.0,3736.0,005_14
0200515,3426.0,10.0,1.0,0.0,3437.0,005_15
0200516,3760.0,6.0,0.0,0.0,3766.0,005_16
0200517,3570.0,8.0,1.0,0.0,3579.0,005_17
0200518,3333.0,35.0,3.0,1.0,3372.0,005_18
0200519,3803.0,14.0,0.0,0.0,3817.0,005_19
0200520,3904.0,46.0,2.0,0.0,3952.0,005_20
0200521,3111.0,16.0,1.0,0.0,3128.0,005_21
0200522,4152.0,22.0,1.0,2.0,4177.0,005_22
0200601,3451.0,7.0,0.0,0.0,3458.0,006_1
0200602,3584.0,2.0,0.0,0.0,3586.0,006_2
0200603,3356.0,13.0,1.0,0.0,3370.0,006_3
0200604,3297.0,22.0,1.0,0.0,3320.0,006_4
0200605,3948.0,4.0,0.0,0.0,3952.0,006_5
0200606,3715.0,0.0,0.0,0.0,3715.0,006_6
0200607,4031.0,5.0,13.0,0.0,4049.0,006_7
0200608,3567.0,13.0,0.0,0.0,3580.0,006_8
0200609,2926.0,14.0,0.0,0.0,2940.0,006_9
0200610,3834.0,5.0,0.0,0.0,3839.0,006_10
0200611,3165.0,6.0,1.0,0.0,3172.0,006_11
0200612,3409.0,9.0,0.0,0.0,3418.0,006_12
0200613,3588.0,8.0,0.0,0.0,3596.0,006_13
0200614,3575.0,6.0,1.0,0.0,3582.0,006_14
0200615,3583.0,10.0,3.0,0.0,3596.0,006_15
0200616,4284.0,6.0,2.0,0.0,4292.0,006_16
0200617,3124.0,1.0,0.0,0.0,3125.0,006_17
0200618,3411.0,6.0,0.0,0.0,3417.0,006_18
0200619,3689.0,6.0,1.0,0.0,3696.0,006_19
0200620,3373.0,5.0,0.0,0.0,3378.0,006_20
0200621,3883.0,6.0,3.0,0.0,3892.0,006_21
0200701,2702.0,11.0,3.0,0.0,2716.0,007_1
0200702,3226.0,38.0,1.0,0.0,3265.0,007_2
0200703,3608.0,16.0,3.0,0.0,3627.0,007_3
0200704,4151.0,8.0,1.0,0.0,4160.0,007_4
0200705,3170.0,2.0,0.0,0.0,3172.0,007_5
0200706,2814.0,4.0,0.0,2.0,2820.0,007_6
0200707,3230.0,8.0,2.0,0.0,3240.0,007_7
0200708,2717.0,8.0,0.0,0.0,2725.0,007_8
0200709,3251.0,10.0,1.0,0.0,3262.0,007_9
0200710,2985.0,18.0,1.0,0.0,3004.0,007_10
0200711,3488.0,13.0,1.0,0.0,3502.0,007_11
0200712,2542.0,13.0,0.0,0.0,2555.0,007_12
0200713,3633.0,15.0,2.0,0.0,3650.0,007_13
0200714,3790.0,12.0,0.0,0.0,3802.0,007_14
0200715,3333.0,17.0,10.0,0.0,3360.0,007_15
0200716,2595.0,25.0,6.0,0.0,2626.0,007_16
0200717,4565.0,147.0,58.0,6.0,4776.0,007_17
0200718,3225.0,167.0,71.0,4.0,3467.0,007_18
0200719,2296.0,37.0,63.0,0.0,2396.0,007_19
0200720,4035.0,46.0,5.0,0.0,4086.0,007_20
0200721,4011.0,15.0,1.0,0.0,4027.0,007_21
0200722,3912.0,6.0,0.0,0.0,3918.0,007_22
0200723,2731.0,9.0,1.0,0.0,2741.0,007_23
0200724,3712.0,18.0,1.0,0.0,3731.0,007_24
0200801,4915.0,301.0,673.0,4.0,5893.0,008_1
0200802,2535.0,21.0,1.0,0.0,2557.0,008_2
0200803,2924.0,77.0,123.0,0.0,3124.0,008_3
0200804,2880.0,35.0,23.0,0.0,2938.0,008_4
0200805,3149.0,26.0,18.0,1.0,3194.0,008_5
0200806,3024.0,28.0,19.0,0.0,3071.0,008_6
0200807,6042.0,241.0,179.0,9.0,6471.0,008_7
0200808,2990.0,29.0,13.0,0.0,3032.0,008_8
0200809,2584.0,12.0,11.0,0.0,2607.0,008_9
0200810,3888.0,4.0,0.0,0.0,3892.0,008_10
0200811,3763.0,13.0,1.0,0.0,3777.0,008_11
0200812,2100.0,32.0,19.0,1.0,2152.0,008_12
0200813,1763.0,44.0,40.0,0.0,1847.0,008_13
0200814,3622.0,129.0,128.0,5.0,3884.0,008_14
0200815,4471.0,142.0,128.0,63.0,4804.0,008_15
0200816,2637.0,5.0,0.0,0.0,2642.0,008_16
0200817,1233.0,1.0,0.0,0.0,1234.0,008_17
0200901,2351.0,13.0,4.0,0.0,2368.0,009_1
0200902,3837.0,12.0,0.0,0.0,3849.0,009_2
0200903,3511.0,12.0,0.0,0.0,3523.0,009_3
0200904,3347.0,20.0,3.0,0.0,3370.0,009_4
0200905,3396.0,10.0,6.0,0.0,3412.0,009_5
0200906,3919.0,31.0,7.0,0.0,3957.0,009_6
0200907,3815.0,19.0,4.0,0.0,3838.0,009_7
0200908,3876.0,44.0,10.0,0.0,3930.0,009_8
0200909,3729.0,45.0,10.0,0.0,3784.0,009_9
0200910,3302.0,17.0,1.0,0.0,3320.0,009_10
0200911,4172.0,18.0,1.0,0.0,4191.0,009_11
0200912,3450.0,20.0,10.0,0.0,3480.0,009_12
0200913,2277.0,19.0,13.0,2.0,2311.0,009_13
0200914,3586.0,89.0,68.0,6.0,3749.0,009_14
0200915,3116.0,32.0,32.0,0.0,3180.0,009_15
0200916,3728.0,32.0,10.0,1.0,3771.0,009_16
0201001,2395.0,16.0,0.0,0.0,2411.0,010_1
0201002,2485.0,16.0,2.0,0.0,2503.0,010_2
0201003,2250.0,10.0,0.0,0.0,2260.0,010_3
0201004,2746.0,4.0,1.0,0.0,2751.0,010_4
0201005,4117.0,17.0,6.0,0.0,4140.0,010_5
0201006,4148.0,11.0,2.0,0.0,4161.0,010_6
0201007,4017.0,10.0,1.0,0.0,4028.0,010_7
0201008,3175.0,22.0,5.0,2.0,3204.0,010_8
0201009,2982.0,16.0,3.0,0.0,3001.0,010_9
0201010,3668.0,13.0,0.0,0.0,3681.0,010_10
