Código,Sí,No,Total,CO_FRACC
0200101,55.0,10.0,65.0,001_1
0200102,2801.0,891.0,3692.0,001_2
0200103,3406.0,1806.0,5212.0,001_3
0200104,4177.0,45.0,4222.0,001_4
0200105,2264.0,5.0,2269.0,001_5
0200106,2906.0,9.0,2915.0,001_6
0200107,2275.0,20.0,2295.0,001_7
0200108,3456.0,21.0,3477.0,001_8
0200109,3089.0,176.0,3265.0,001_9
0200110,3441.0,57.0,3498.0,001_10
0200111,3554.0,196.0,3750.0,001_11
0200112,2224.0,166.0,2390.0,001_12
0200113,2294.0,171.0,2465.0,001_13
0200114,2384.0,190.0,2574.0,001_14
0200115,2709.0,241.0,2950.0,001_15
0200116,2845.0,207.0,3052.0,001_16
0200117,2970.0,282.0,3252.0,001_17
0200118,2985.0,149.0,3134.0,001_18
0200119,2385.0,180.0,2565.0,001_19
0200120,2667.0,147.0,2814.0,001_20
0200121,2706.0,311.0,3017.0,001_21
0200122,3013.0,196.0,3209.0,001_22
0200123,2462.0,110.0,2572.0,001_23
0200124,1563.0,41.0,1604.0,001_24
0200125,2698.0,89.0,2787.0,001_25
0200126,2139.0,86.0,2225.0,001_26
0200127,2469.0,397.0,2866.0,001_27
0200128,3089.0,416.0,3505.0,001_28
0200129,2532.0,295.0,2827.0,001_29
0200201,141.0,13.0,154.0,002_1
0200202,1922.0,5.0,1927.0,002_2
0200203,2250.0,2.0,2252.0,002_3
0200204,2680.0,7.0,2687.0,002_4
0200205,2632.0,4.0,2636.0,002_5
0200206,2685.0,22.0,2707.0,002_6
0200207,3057.0,11.0,3068.0,002_7
0200208,3658.0,32.0,3690.0,002_8
0200209,4113.0,16.0,4129.0,002_9
0200210,3390.0,20.0,3410.0,002_10
0200211,2670.0,6.0,2676.0,002_11
0200212,3097.0,14.0,3111.0,002_12
0200213,3735.0,12.0,3747.0,002_13
0200214,3959.0,40.0,3999.0,002_14
0200215,2839.0,14.0,2853.0,002_15
0200216,2456.0,21.0,2477.0,002_16
0200217,3708.0,41.0,3749.0,002_17
0200218,2843.0,56.0,2899.0,002_18
0200219,2965.0,24.0,2989.0,002_19
0200220,2778.0,41.0,2819.0,002_20
0200221,2776.0,16.0,2792.0,002_21
0200222,2413.0,9.0,2422.0,002_22
0200223,3139.0,15.0,3154.0,002_23
0200224,2595.0,5.0,2600.0,002_24
0200225,4140.0,69.0,4209.0,002_25
0200301,3265.0,177.0,3442.0,003_1
0200302,3846.0,70.0,3916.0,003_2
0200303,3202.0,95.0,3297.0,003_3
0200304,2243.0,69.0,2312.0,003_4
0200305,2271.0,37.0,2308.0,003_5
0200306,2010.0,47.0,2057.0,003_6
0200307,2916.0,75.0,2991.0,003_7
0200308,2377.0,66.0,2443.0,003_8
0200309,2897.0,172.0,3069.0,003_9
0200310,2373.0,88.0,2461.0,003_10
0200311,2843.0,200.0,3043.0,003_11
0200312,3059.0,169.0,3228.0,003_12
0200313,3142.0,215.0,3357.0,003_13
0200314,3137.0,190.0,3327.0,003_14
0200315,3251.0,112.0,3363.0,003_15
0200316,2864.0,281.0,3145.0,003_16
0200317,2541.0,250.0,2791.0,003_17
0200318,2818.0,113.0,2931.0,003_18
0200319,3269.0,136.0,3405.0,003_19
0200320,3351.0,150.0,3501.0,003_20
0200321,3041.0,110.0,3151.0,003_21
0200322,2644.0,158.0,2802.0,003_22
0200323,3005.0,112.0,3117.0,003_23
0200324,2541.0,87.0,2628.0,003_24
0200325,3006.0,174.0,3180.0,003_25
0200326,2704.0,132.0,2836.0,003_26
0200327,2312.0,76.0,2388.0,003_27
0200401,2804.0,126.0,2930.0,004_1
0200402,2618.0,110.0,2728.0,004_2
0200403,3575.0,65.0,3640.0,004_3
0200404,3305.0,47.0,3352.0,004_4
0200405,3567.0,93.0,3660.0,004_5
0200406,3313.0,55.0,3368.0,004_6
0200407,3840.0,98.0,3938.0,004_7
0200408,3397.0,96.0,3493.0,004_8
0200409,1732.0,78.0,1810.0,004_9
0200410,2996.0,533.0,3529.0,004_10
0200411,2494.0,73.0,2567.0,004_11
0200412,2902.0,116.0,3018.0,004_12
0200413,3019.0,46.0,3065.0,004_13
0200414,2620.0,154.0,2774.0,004_14
