Código,Sí,No,Total,CO_FRACC
0200101,31.0,34.0,65.0,001_1
0200102,1104.0,2588.0,3692.0,001_2
0200103,677.0,4535.0,5212.0,001_3
0200104,3193.0,1029.0,4222.0,001_4
0200105,1792.0,477.0,2269.0,001_5
0200106,2355.0,560.0,2915.0,001_6
0200107,1696.0,599.0,2295.0,001_7
0200108,2630.0,847.0,3477.0,001_8
0200109,2281.0,984.0,3265.0,001_9
0200110,2636.0,862.0,3498.0,001_10
0200111,2580.0,1170.0,3750.0,001_11
0200112,1464.0,926.0,2390.0,001_12
0200113,1896.0,569.0,2465.0,001_13
0200114,1643.0,931.0,2574.0,001_14
0200115,1896.0,1054.0,2950.0,001_15
0200116,1968.0,1084.0,3052.0,001_16
0200117,1957.0,1295.0,3252.0,001_17
0200118,1931.0,1203.0,3134.0,001_18
0200119,1557.0,1008.0,2565.0,001_19
0200120,1691.0,1123.0,2814.0,001_20
0200121,1753.0,1264.0,3017.0,001_21
0200122,2030.0,1179.0,3209.0,001_22
0200123,1740.0,832.0,2572.0,001_23
0200124,1153.0,451.0,1604.0,001_24
0200125,1885.0,902.0,2787.0,001_25
0200126,1436.0,789.0,2225.0,001_26
0200127,1379.0,1487.0,2866.0,001_27
0200128,1686.0,1819.0,3505.0,001_28
0200129,1460.0,1367.0,2827.0,001_29
0200201,74.0,80.0,154.0,002_1
0200202,1570.0,357.0,1927.0,002_2
0200203,1835.0,417.0,2252.0,002_3
0200204,2139.0,548.0,2687.0,002_4
0200205,2069.0,567.0,2636.0,002_5
0200206,2096.0,611.0,2707.0,002_6
0200207,2445.0,623.0,3068.0,002_7
0200208,2940.0,750.0,3690.0,002_8
0200209,3341.0,788.0,4129.0,002_9
0200210,2666.0,744.0,3410.0,002_10
0200211,2170.0,506.0,2676.0,002_11
0200212,2507.0,604.0,3111.0,002_12
0200213,3045.0,702.0,3747.0,002_13
0200214,3150.0,849.0,3999.0,002_14
0200215,2277.0,576.0,2853.0,002_15
0200216,1942.0,535.0,2477.0,002_16
0200217,2915.0,834.0,3749.0,002_17
0200218,2212.0,687.0,2899.0,002_18
0200219,2313.0,676.0,2989.0,002_19
0200220,2217.0,602.0,2819.0,002_20
0200221,2260.0,532.0,2792.0,002_21
0200222,1972.0,450.0,2422.0,002_22
0200223,2515.0,639.0,3154.0,002_23
0200224,2042.0,558.0,2600.0,002_24
0200225,3286.0,923.0,4209.0,002_25
0200301,2161.0,1281.0,3442.0,003_1
0200302,2618.0,1298.0,3916.0,003_2
0200303,2216.0,1081.0,3297.0,003_3
0200304,1642.0,670.0,2312.0,003_4
0200305,1761.0,547.0,2308.0,003_5
0200306,1488.0,569.0,2057.0,003_6
0200307,2090.0,901.0,2991.0,003_7
0200308,1716.0,727.0,2443.0,003_8
0200309,1947.0,1122.0,3069.0,003_9
0200310,1572.0,889.0,2461.0,003_10
0200311,1990.0,1053.0,3043.0,003_11
0200312,2025.0,1203.0,3228.0,003_12
0200313,2042.0,1315.0,3357.0,003_13
0200314,1976.0,1351.0,3327.0,003_14
0200315,2166.0,1197.0,3363.0,003_15
0200316,1956.0,1189.0,3145.0,003_16
0200317,1542.0,1249.0,2791.0,003_17
0200318,1772.0,1159.0,2931.0,003_18
0200319,2157.0,1248.0,3405.0,003_19
0200320,2081.0,1420.0,3501.0,003_20
0200321,1958.0,1193.0,3151.0,003_21
0200322,1699.0,1103.0,2802.0,003_22
0200323,1932.0,1185.0,3117.0,003_23
0200324,1679.0,949.0,2628.0,003_24
0200325,2050.0,1130.0,3180.0,003_25
0200326,1836.0,1000.0,2836.0,003_26
0200327,1559.0,829.0,2388.0,003_27
0200401,1382.0,1548.0,2930.0,004_1
0200402,1434.0,1294.0,2728.0,004_2
0200403,2166.0,1474.0,3640.0,004_3
0200404,2022.0,1330.0,3352.0,004_4
0200405,2144.0,1516.0,3660.0,004_5
0200406,2294.0,1074.0,3368.0,004_6
0200407,2533.0,1405.0,3938.0,004_7
0200408,2231.0,1262.0,3493.0,004_8
0200409,914.0,896.0,1810.0,004_9
0200410,669.0,2860.0,3529.0,004_10
0200411,1483.0,1084.0,2567.0,004_11
0200412,1820.0,1198.0,3018.0,004_12
0200413,2250.0,815.0,3065.0,004_13
0200414,1815.0,959.0,2774.0,004_14
0200415,2122.0,986.0,3108.0,004_15
0200416,2353.0,1286.0,3639.0,004_16
0200417,1881.0,931.0,2812.0,004_17
0200418,12.0,33.0,45.0,004_18
0200419,1533.0,1676.0,3209.0,004_19
0200420,1945.0,1638.0,3583.0,004_20
0200421,1461.0,1538.0,2999.0,004_21
0200422,2490.0,1211.0,3701.0,004_22
0200423,1726.0,1256.0,2982.0,004_23
0200424,634.0,2009.0,2643.0,004_24
0200425,569.0,2409.0,2978.0,004_25
0200426,281.0,603.0,884.0,004_26
0200501,2487.0,819.0,3306.0,005_1
0200502,2655.0,930.0,3585.0,005_2
0200503,2235.0,1039.0,3274.0,005_3
0200504,2484.0,884.0,3368.0,005_4
0200505,2182.0,721.0,2903.0,005_5
0200506,2695.0,912.0,3607.0,005_6
0200507,2191.0,949.0,3140.0,005_7
0200508,2548.0,931.0,3479.0,005_8
0200509,2365.0,852.0,3217.0,005_9
0200510,2462.0,1082.0,3544.0,005_10
0200511,2830.0,947.0,3777.0,005_11
0200512,2258.0,932.0,3190.0,005_12
0200513,2405.0,882.0,3287.0,005_13
0200514,2647.0,1129.0,3776.0,005_14
0200515,2272.0,1210.0,3482.0,005_15
0200516,2456.0,1353.0,3809.0,005_16
0200517,2586.0,997.0,3583.0,005_17
0200518,2377.0,1003.0,3380.0,005_18
0200519,2562.0,1255.0,3817.0,005_19
0200520,2582.0,1400.0,3982.0,005_20
0200521,2120.0,1029.0,3149.0,005_21
0200522,2805.0,1386.0,4191.0,005_22
0200601,2509.0,965.0,3474.0,006_1
0200602,2827.0,760.0,3587.0,006_2
0200603,2563.0,834.0,3397.0,006_3
0200604,2548.0,773.0,3321.0,006_4
0200605,2958.0,997.0,3955.0,006_5
0200606,2859.0,862.0,3721.0,006_6
0200607,3061.0,998.0,4059.0,006_7
0200608,2754.0,830.0,3584.0,006_8
0200609,2177.0,785.0,2962.0,006_9
0200610,2705.0,1134.0,3839.0,006_10
0200611,2424.0,770.0,3194.0,006_11
0200612,2474.0,948.0,3422.0,006_12
0200613,2759.0,853.0,3612.0,006_13
0200614,2764.0,830.0,3594.0,006_14
0200615,2828.0,769.0,3597.0,006_15
0200616,3406.0,927.0,4333.0,006_16
0200617,2225.0,902.0,3127.0,006_17
0200618,2499.0,919.0,3418.0,006_18
0200619,2790.0,911.0,3701.0,006_19
0200620,2565.0,813.0,3378.0,006_20
0200621,2942.0,972.0,3914.0,006_21
0200701,1529.0,1226.0,2755.0,007_1
0200702,2107.0,1204.0,3311.0,007_2
0200703,2559.0,1095.0,3654.0,007_3
0200704,3093.0,1074.0,4167.0,007_4
0200705,2197.0,977.0,3174.0,007_5
0200706,1848.0,1032.0,2880.0,007_6
0200707,2100.0,1191.0,3291.0,007_7
0200708,1817.0,922.0,2739.0,007_8
0200709,2236.0,1087.0,3323.0,007_9
0200710,2160.0,874.0,3034.0,007_10
0200711,2556.0,967.0,3523.0,007_11
0200712,1810.0,745.0,2555.0,007_12
0200713,2746.0,924.0,3670.0,007_13
0200714,2635.0,1172.0,3807.0,007_14
0200715,1944.0,1425.0,3369.0,007_15
0200716,1678.0,961.0,2639.0,007_16
0200717,835.0,4082.0,4917.0,007_17
0200718,762.0,2802.0,3564.0,007_18
0200719,873.0,1558.0,2431.0,007_19
0200720,2568.0,1565.0,4133.0,007_20
