Código,Sí,No,Total,CO_FRACC
0200101,54.0,11.0,65.0,001_1
0200102,3168.0,524.0,3692.0,001_2
0200103,4474.0,738.0,5212.0,001_3
0200104,3727.0,495.0,4222.0,001_4
0200105,2001.0,268.0,2269.0,001_5
0200106,2600.0,315.0,2915.0,001_6
0200107,2046.0,249.0,2295.0,001_7
0200108,3051.0,426.0,3477.0,001_8
0200109,2915.0,350.0,3265.0,001_9
0200110,3069.0,429.0,3498.0,001_10
0200111,3315.0,435.0,3750.0,001_11
0200112,2073.0,317.0,2390.0,001_12
0200113,2359.0,106.0,2465.0,001_13
0200114,2223.0,351.0,2574.0,001_14
0200115,2585.0,365.0,2950.0,001_15
0200116,2656.0,396.0,3052.0,001_16
0200117,2790.0,462.0,3252.0,001_17
0200118,2742.0,392.0,3134.0,001_18
0200119,2221.0,344.0,2565.0,001_19
0200120,2391.0,423.0,2814.0,001_20
0200121,2600.0,417.0,3017.0,001_21
0200122,2756.0,453.0,3209.0,001_22
0200123,2233.0,339.0,2572.0,001_23
0200124,1378.0,226.0,1604.0,001_24
0200125,2369.0,418.0,2787.0,001_25
0200126,1871.0,354.0,2225.0,001_26
0200127,2407.0,459.0,2866.0,001_27
0200128,2961.0,544.0,3505.0,001_28
0200129,2422.0,405.0,2827.0,001_29
0200201,138.0,16.0,154.0,002_1
0200202,1750.0,177.0,1927.0,002_2
0200203,2046.0,206.0,2252.0,002_3
0200204,2398.0,289.0,2687.0,002_4
0200205,2311.0,325.0,2636.0,002_5
0200206,2392.0,315.0,2707.0,002_6
0200207,2698.0,370.0,3068.0,002_7
0200208,3311.0,379.0,3690.0,002_8
0200209,3672.0,457.0,4129.0,002_9
0200210,3021.0,389.0,3410.0,002_10
0200211,2429.0,247.0,2676.0,002_11
0200212,2765.0,346.0,3111.0,002_12
0200213,3377.0,370.0,3747.0,002_13
0200214,3543.0,456.0,3999.0,002_14
0200215,2560.0,293.0,2853.0,002_15
0200216,2190.0,287.0,2477.0,002_16
0200217,3304.0,445.0,3749.0,002_17
0200218,2544.0,355.0,2899.0,002_18
0200219,2667.0,322.0,2989.0,002_19
0200220,2552.0,267.0,2819.0,002_20
0200221,2519.0,273.0,2792.0,002_21
0200222,2184.0,238.0,2422.0,002_22
0200223,2829.0,325.0,3154.0,002_23
0200224,2307.0,293.0,2600.0,002_24
0200225,3746.0,463.0,4209.0,002_25
0200301,2990.0,452.0,3442.0,003_1
0200302,3365.0,551.0,3916.0,003_2
0200303,2811.0,486.0,3297.0,003_3
0200304,2022.0,290.0,2312.0,003_4
0200305,2060.0,248.0,2308.0,003_5
0200306,1797.0,260.0,2057.0,003_6
0200307,2546.0,445.0,2991.0,003_7
0200308,2082.0,361.0,2443.0,003_8
0200309,2634.0,435.0,3069.0,003_9
0200310,2110.0,351.0,2461.0,003_10
0200311,2650.0,393.0,3043.0,003_11
0200312,2718.0,510.0,3228.0,003_12
0200313,2833.0,524.0,3357.0,003_13
0200314,2848.0,479.0,3327.0,003_14
0200315,2879.0,484.0,3363.0,003_15
0200316,2742.0,403.0,3145.0,003_16
0200317,2417.0,374.0,2791.0,003_17
0200318,2465.0,466.0,2931.0,003_18
0200319,2908.0,497.0,3405.0,003_19
0200320,2905.0,596.0,3501.0,003_20
0200321,2646.0,505.0,3151.0,003_21
0200322,2420.0,382.0,2802.0,003_22
0200323,2644.0,473.0,3117.0,003_23
0200324,2264.0,364.0,2628.0,003_24
0200325,2763.0,417.0,3180.0,003_25
0200326,2447.0,389.0,2836.0,003_26
0200327,2093.0,295.0,2388.0,003_27
0200401,2363.0,567.0,2930.0,004_1
0200402,2249.0,479.0,2728.0,004_2
0200403,3050.0,590.0,3640.0,004_3
0200404,2811.0,541.0,3352.0,004_4
0200405,3118.0,542.0,3660.0,004_5
0200406,2934.0,434.0,3368.0,004_6
0200407,3331.0,607.0,3938.0,004_7
0200408,3045.0,448.0,3493.0,004_8
0200409,1562.0,248.0,1810.0,004_9
0200410,3166.0,363.0,3529.0,004_10
0200411,2212.0,355.0,2567.0,004_11
0200412,2537.0,481.0,3018.0,004_12
0200413,2702.0,363.0,3065.0,004_13
0200414,2414.0,360.0,2774.0,004_14
0200415,2587.0,521.0,3108.0,004_15
0200416,3169.0,470.0,3639.0,004_16
0200417,2378.0,434.0,2812.0,004_17
0200418,44.0,1.0,45.0,004_18
0200419,2730.0,479.0,3209.0,004_19
0200420,3047.0,536.0,3583.0,004_20
0200421,2602.0,397.0,2999.0,004_21
0200422,3188.0,513.0,3701.0,004_22
0200423,2554.0,428.0,2982.0,004_23
0200424,2368.0,275.0,2643.0,004_24
0200425,2685.0,293.0,2978.0,004_25
0200426,784.0,100.0,884.0,004_26
0200501,2951.0,355.0,3306.0,005_1
0200502,3227.0,358.0,3585.0,005_2
0200503,2866.0,408.0,3274.0,005_3
0200504,2960.0,408.0,3368.0,005_4
0200505,2583.0,320.0,2903.0,005_5
0200506,3162.0,445.0,3607.0,005_6
0200507,2761.0,379.0,3140.0,005_7
0200508,3050.0,429.0,3479.0,005_8
0200509,2826.0,391.0,3217.0,005_9
0200510,3024.0,520.0,3544.0,005_10
0200511,3392.0,385.0,3777.0,005_11
0200512,2782.0,408.0,3190.0,005_12
0200513,2874.0,413.0,3287.0,005_13
0200514,3270.0,506.0,3776.0,005_14
0200515,3002.0,480.0,3482.0,005_15
0200516,3284.0,525.0,3809.0,005_16
0200517,3136.0,447.0,3583.0,005_17
0200518,2951.0,429.0,3380.0,005_18
0200519,3216.0,601.0,3817.0,005_19
0200520,3413.0,569.0,3982.0,005_20
0200521,2734.0,415.0,3149.0,005_21
0200522,3632.0,559.0,4191.0,005_22
0200601,2934.0,540.0,3474.0,006_1
0200602,3213.0,374.0,3587.0,006_2
0200603,3028.0,369.0,3397.0,006_3
0200604,2951.0,370.0,3321.0,006_4
0200605,3465.0,490.0,3955.0,006_5
0200606,3274.0,447.0,3721.0,006_6
0200607,3624.0,435.0,4059.0,006_7
0200608,3219.0,365.0,3584.0,006_8
0200609,2569.0,393.0,2962.0,006_9
0200610,3319.0,520.0,3839.0,006_10
0200611,2822.0,372.0,3194.0,006_11
0200612,2971.0,451.0,3422.0,006_12
0200613,3229.0,383.0,3612.0,006_13
0200614,3189.0,405.0,3594.0,006_14
0200615,3247.0,350.0,3597.0,006_15
0200616,3885.0,448.0,4333.0,006_16
0200617,2675.0,452.0,3127.0,006_17
0200618,2961.0,457.0,3418.0,006_18
0200619,3241.0,460.0,3701.0,006_19
0200620,2953.0,425.0,3378.0,006_20
0200621,3472.0,442.0,3914.0,006_21
0200701,2354.0,401.0,2755.0,007_1
