Código,Sí,No,Total,CO_FRACC
0200101,37.0,28.0,65.0,001_1
0200102,1270.0,2422.0,3692.0,001_2
0200103,585.0,4627.0,5212.0,001_3
0200104,3969.0,253.0,4222.0,001_4
0200105,2198.0,71.0,2269.0,001_5
0200106,2809.0,106.0,2915.0,001_6
0200107,1992.0,303.0,2295.0,001_7
0200108,3146.0,331.0,3477.0,001_8
0200109,2450.0,815.0,3265.0,001_9
0200110,2937.0,561.0,3498.0,001_10
0200111,2934.0,816.0,3750.0,001_11
0200112,1692.0,698.0,2390.0,001_12
0200113,1657.0,808.0,2465.0,001_13
0200114,1783.0,791.0,2574.0,001_14
0200115,2069.0,881.0,2950.0,001_15
0200116,2317.0,735.0,3052.0,001_16
0200117,2410.0,842.0,3252.0,001_17
0200118,2319.0,815.0,3134.0,001_18
0200119,1811.0,754.0,2565.0,001_19
0200120,2135.0,679.0,2814.0,001_20
0200121,2016.0,1001.0,3017.0,001_21
0200122,2494.0,715.0,3209.0,001_22
0200123,2096.0,476.0,2572.0,001_23
0200124,1335.0,269.0,1604.0,001_24
0200125,2257.0,530.0,2787.0,001_25
0200126,1828.0,397.0,2225.0,001_26
0200127,1707.0,1159.0,2866.0,001_27
0200128,2116.0,1389.0,3505.0,001_28
0200129,1839.0,988.0,2827.0,001_29
0200201,83.0,71.0,154.0,002_1
0200202,1856.0,71.0,1927.0,002_2
0200203,2163.0,89.0,2252.0,002_3
0200204,2624.0,63.0,2687.0,002_4
0200205,2539.0,97.0,2636.0,002_5
0200206,2550.0,157.0,2707.0,002_6
0200207,2905.0,163.0,3068.0,002_7
0200208,3536.0,154.0,3690.0,002_8
0200209,3938.0,191.0,4129.0,002_9
0200210,3198.0,212.0,3410.0,002_10
0200211,2551.0,125.0,2676.0,002_11
0200212,2948.0,163.0,3111.0,002_12
0200213,3520.0,227.0,3747.0,002_13
0200214,3726.0,273.0,3999.0,002_14
0200215,2731.0,122.0,2853.0,002_15
0200216,2334.0,143.0,2477.0,002_16
0200217,3454.0,295.0,3749.0,002_17
0200218,2703.0,196.0,2899.0,002_18
0200219,2719.0,270.0,2989.0,002_19
0200220,2491.0,328.0,2819.0,002_20
0200221,2610.0,182.0,2792.0,002_21
0200222,2294.0,128.0,2422.0,002_22
0200223,3015.0,139.0,3154.0,002_23
0200224,2498.0,102.0,2600.0,002_24
0200225,3722.0,487.0,4209.0,002_25
0200301,2582.0,860.0,3442.0,003_1
0200302,3366.0,550.0,3916.0,003_2
0200303,2903.0,394.0,3297.0,003_3
0200304,1930.0,382.0,2312.0,003_4
0200305,1908.0,400.0,2308.0,003_5
0200306,1678.0,379.0,2057.0,003_6
0200307,2512.0,479.0,2991.0,003_7
0200308,2104.0,339.0,2443.0,003_8
0200309,2399.0,670.0,3069.0,003_9
0200310,1978.0,483.0,2461.0,003_10
0200311,2350.0,693.0,3043.0,003_11
0200312,2598.0,630.0,3228.0,003_12
0200313,2552.0,805.0,3357.0,003_13
0200314,2532.0,795.0,3327.0,003_14
0200315,2691.0,672.0,3363.0,003_15
0200316,2391.0,754.0,3145.0,003_16
0200317,1865.0,926.0,2791.0,003_17
0200318,2288.0,643.0,2931.0,003_18
