Código,Varón,Mujer,Total,CO_FRACC
0200101,212.0,124.0,336.0,001_1
0200102,5633.0,5610.0,11243.0,001_2
0200103,8094.0,7800.0,15894.0,001_3
0200104,4504.0,5862.0,10366.0,001_4
0200105,2315.0,3099.0,5414.0,001_5
0200106,3239.0,3889.0,7128.0,001_6
0200107,3682.0,3329.0,7011.0,001_7
0200108,3516.0,4505.0,8021.0,001_8
0200109,3927.0,3819.0,7746.0,001_9
0200110,3176.0,3805.0,6981.0,001_10
0200111,3728.0,4266.0,7994.0,001_11
0200112,3215.0,3337.0,6552.0,001_12
0200113,3611.0,3115.0,6726.0,001_13
0200114,3171.0,3054.0,6225.0,001_14
0200115,3484.0,3766.0,7250.0,001_15
0200116,3194.0,3645.0,6839.0,001_16
0200117,3205.0,3681.0,6886.0,001_17
0200118,3123.0,3762.0,6885.0,001_18
0200119,2763.0,3066.0,5829.0,001_19
0200120,2969.0,3693.0,6662.0,001_20
0200121,3292.0,3724.0,7016.0,001_21
0200122,3166.0,3705.0,6871.0,001_22
0200123,2759.0,3027.0,5786.0,001_23
0200124,1697.0,1759.0,3456.0,001_24
0200125,2972.0,3281.0,6253.0,001_25
0200126,2211.0,2747.0,4958.0,001_26
0200127,3561.0,3871.0,7432.0,001_27
0200128,4093.0,4465.0,8558.0,001_28
0200129,3585.0,3983.0,7568.0,001_29
0200201,331.0,292.0,623.0,002_1
0200202,2056.0,2591.0,4647.0,002_2
0200203,2216.0,2942.0,5158.0,002_3
0200204,2833.0,3638.0,6471.0,002_4
0200205,2835.0,3699.0,6534.0,002_5
0200206,2825.0,3571.0,6396.0,002_6
0200207,3033.0,4065.0,7098.0,002_7
0200208,3356.0,4561.0,7917.0,002_8
0200209,3664.0,5072.0,8736.0,002_9
0200210,2958.0,3722.0,6680.0,002_10
0200211,2412.0,3220.0,5632.0,002_11
0200212,2634.0,3572.0,6206.0,002_12
0200213,3389.0,4416.0,7805.0,002_13
0200214,3606.0,4806.0,8412.0,002_14
0200215,2651.0,3393.0,6044.0,002_15
0200216,2337.0,3106.0,5443.0,002_16
0200217,3288.0,4330.0,7618.0,002_17
0200218,2863.0,3988.0,6851.0,002_18
0200219,2755.0,3536.0,6291.0,002_19
0200220,2508.0,3246.0,5754.0,002_20
0200221,2429.0,3319.0,5748.0,002_21
0200222,2013.0,2727.0,4740.0,002_22
0200223,2847.0,3934.0,6781.0,002_23
0200224,2334.0,3200.0,5534.0,002_24
0200225,3869.0,4944.0,8813.0,002_25
0200301,3600.0,4171.0,7771.0,003_1
0200302,4165.0,5097.0,9262.0,003_2
0200303,3647.0,4478.0,8125.0,003_3
0200304,2491.0,2933.0,5424.0,003_4
0200305,2111.0,2670.0,4781.0,003_5
0200306,1943.0,2422.0,4365.0,003_6
0200307,2897.0,3569.0,6466.0,003_7
0200308,2642.0,3124.0,5766.0,003_8
0200309,3427.0,3904.0,7331.0,003_9
0200310,2761.0,3375.0,6136.0,003_10
0200311,3060.0,3841.0,6901.0,003_11
0200312,2967.0,3722.0,6689.0,003_12
0200313,3476.0,4172.0,7648.0,003_13
0200314,3680.0,4314.0,7994.0,003_14
0200315,3343.0,4067.0,7410.0,003_15
0200316,3565.0,3911.0,7476.0,003_16
0200317,3377.0,3846.0,7223.0,003_17
0200318,3238.0,3772.0,7010.0,003_18
