Código,Argentina,Otro país,Total,CO_FRACC
0200101,247.0,89.0,336.0,001_1
0200102,7132.0,4111.0,11243.0,001_2
0200103,5660.0,10234.0,15894.0,001_3
0200104,8837.0,1529.0,10366.0,001_4
0200105,4711.0,703.0,5414.0,001_5
0200106,5796.0,1332.0,7128.0,001_6
0200107,3929.0,3082.0,7011.0,001_7
0200108,6364.0,1657.0,8021.0,001_8
0200109,5394.0,2352.0,7746.0,001_9
0200110,5982.0,999.0,6981.0,001_10
0200111,6469.0,1525.0,7994.0,001_11
0200112,4314.0,2238.0,6552.0,001_12
0200113,4281.0,2445.0,6726.0,001_13
0200114,4798.0,1427.0,6225.0,001_14
0200115,5697.0,1553.0,7250.0,001_15
0200116,5373.0,1466.0,6839.0,001_16
0200117,5680.0,1206.0,6886.0,001_17
0200118,5684.0,1201.0,6885.0,001_18
0200119,4736.0,1093.0,5829.0,001_19
0200120,5719.0,943.0,6662.0,001_20
0200121,5782.0,1234.0,7016.0,001_21
0200122,5930.0,941.0,6871.0,001_22
0200123,4765.0,1021.0,5786.0,001_23
0200124,2938.0,518.0,3456.0,001_24
0200125,5397.0,856.0,6253.0,001_25
0200126,4249.0,709.0,4958.0,001_26
0200127,5742.0,1690.0,7432.0,001_27
0200128,7016.0,1542.0,8558.0,001_28
0200129,6316.0,1252.0,7568.0,001_29
0200201,590.0,33.0,623.0,002_1
0200202,4082.0,565.0,4647.0,002_2
0200203,4488.0,670.0,5158.0,002_3
0200204,5466.0,1005.0,6471.0,002_4
0200205,5641.0,893.0,6534.0,002_5
0200206,5741.0,655.0,6396.0,002_6
0200207,6318.0,780.0,7098.0,002_7
0200208,7132.0,785.0,7917.0,002_8
0200209,7947.0,789.0,8736.0,002_9
0200210,6134.0,546.0,6680.0,002_10
0200211,5116.0,516.0,5632.0,002_11
0200212,5688.0,518.0,6206.0,002_12
0200213,7230.0,575.0,7805.0,002_13
0200214,7722.0,690.0,8412.0,002_14
0200215,5511.0,533.0,6044.0,002_15
0200216,4803.0,640.0,5443.0,002_16
0200217,6911.0,707.0,7618.0,002_17
0200218,6199.0,652.0,6851.0,002_18
0200219,5754.0,537.0,6291.0,002_19
0200220,5145.0,609.0,5754.0,002_20
0200221,5240.0,508.0,5748.0,002_21
0200222,4372.0,368.0,4740.0,002_22
0200223,6169.0,612.0,6781.0,002_23
0200224,5086.0,448.0,5534.0,002_24
0200225,7926.0,887.0,8813.0,002_25
0200301,6062.0,1709.0,7771.0,003_1
0200302,7604.0,1658.0,9262.0,003_2
0200303,6724.0,1401.0,8125.0,003_3
0200304,4330.0,1094.0,5424.0,003_4
0200305,4115.0,666.0,4781.0,003_5
0200306,3781.0,584.0,4365.0,003_6
0200307,5495.0,971.0,6466.0,003_7
0200308,4598.0,1168.0,5766.0,003_8
0200309,6021.0,1310.0,7331.0,003_9
0200310,4662.0,1474.0,6136.0,003_10
0200311,5752.0,1149.0,6901.0,003_11
0200312,5672.0,1017.0,6689.0,003_12
0200313,6320.0,1328.0,7648.0,003_13
0200314,6416.0,1578.0,7994.0,003_14
0200315,6116.0,1294.0,7410.0,003_15
0200316,6219.0,1257.0,7476.0,003_16
0200317,5977.0,1246.0,7223.0,003_17
0200318,6086.0,924.0,7010.0,003_18
0200319,6686.0,1099.0,7785.0,003_19
0200320,6325.0,1038.0,7363.0,003_20
0200321,6287.0,878.0,7165.0,003_21
0200322,5571.0,963.0,6534.0,003_22
0200323,6520.0,1121.0,7641.0,003_23
0200324,5426.0,945.0,6371.0,003_24
0200325,6753.0,1036.0,7789.0,003_25
0200326,6255.0,757.0,7012.0,003_26
0200327,5298.0,801.0,6099.0,003_27
0200401,7108.0,2062.0,9170.0,004_1
0200402,6583.0,1353.0,7936.0,004_2
0200403,9158.0,1677.0,10835.0,004_3
0200404,8186.0,1111.0,9297.0,004_4
0200405,9088.0,1695.0,10783.0,004_5
0200406,8091.0,931.0,9022.0,004_6
0200407,10055.0,1295.0,11350.0,004_7
0200408,7926.0,1904.0,9830.0,004_8
0200409,4564.0,893.0,5457.0,004_9
0200410,6007.0,5375.0,11382.0,004_10
0200411,6506.0,907.0,7413.0,004_11
0200412,7082.0,884.0,7966.0,004_12
0200413,7111.0,414.0,7525.0,004_13
0200414,5772.0,785.0,6557.0,004_14
0200415,6899.0,469.0,7368.0,004_15
0200416,8086.0,808.0,8894.0,004_16
0200417,6409.0,624.0,7033.0,004_17
0200418,45.0,29.0,74.0,004_18
0200419,7793.0,1832.0,9625.0,004_19
0200420,9059.0,1355.0,10414.0,004_20
0200421,7664.0,1409.0,9073.0,004_21
0200422,8694.0,666.0,9360.0,004_22
0200423,7622.0,1095.0,8717.0,004_23
0200424,5911.0,3253.0,9164.0,004_24
0200425,4937.0,5608.0,10545.0,004_25
0200426,3107.0,348.0,3455.0,004_26
0200501,6541.0,681.0,7222.0,005_1
0200502,7180.0,1145.0,8325.0,005_2
0200503,6070.0,1083.0,7153.0,005_3
0200504,6472.0,861.0,7333.0,005_4
0200505,5941.0,575.0,6516.0,005_5
0200506,7319.0,627.0,7946.0,005_6
0200507,6607.0,866.0,7473.0,005_7
0200508,6910.0,887.0,7797.0,005_8
0200509,6387.0,701.0,7088.0,005_9
0200510,7143.0,822.0,7965.0,005_10
0200511,7736.0,920.0,8656.0,005_11
0200512,6469.0,549.0,7018.0,005_12
0200513,6854.0,548.0,7402.0,005_13
0200514,7466.0,781.0,8247.0,005_14
0200515,6798.0,866.0,7664.0,005_15
0200516,8062.0,1155.0,9217.0,005_16
0200517,7899.0,778.0,8677.0,005_17
0200518,7632.0,720.0,8352.0,005_18
0200519,7950.0,914.0,8864.0,005_19
0200520,9325.0,1362.0,10687.0,005_20
0200521,7202.0,783.0,7985.0,005_21
0200522,10065.0,1353.0,11418.0,005_22
0200601,8494.0,850.0,9344.0,006_1
0200602,8803.0,704.0,9507.0,006_2
0200603,7828.0,766.0,8594.0,006_3
0200604,7839.0,684.0,8523.0,006_4
0200605,8177.0,685.0,8862.0,006_5
0200606,7973.0,544.0,8517.0,006_6
0200607,9141.0,738.0,9879.0,006_7
0200608,7507.0,630.0,8137.0,006_8
0200609,6204.0,475.0,6679.0,006_9
0200610,7235.0,630.0,7865.0,006_10
0200611,6881.0,481.0,7362.0,006_11
0200612,6931.0,616.0,7547.0,006_12
0200613,7725.0,657.0,8382.0,006_13
0200614,7794.0,613.0,8407.0,006_14
0200615,7888.0,562.0,8450.0,006_15
0200616,9820.0,700.0,10520.0,006_16
0200617,6120.0,455.0,6575.0,006_17
0200618,7019.0,523.0,7542.0,006_18
0200619,7850.0,573.0,8423.0,006_19
0200620,7080.0,562.0,7642.0,006_20
0200621,8605.0,714.0,9319.0,006_21
0200701,5672.0,1648.0,7320.0,007_1
0200702,7552.0,1385.0,8937.0,007_2
0200703,8322.0,1018.0,9340.0,007_3
0200704,8844.0,998.0,9842.0,007_4
0200705,6918.0,633.0,7551.0,007_5
0200706,6233.0,762.0,6995.0,007_6
0200707,6870.0,1059.0,7929.0,007_7
0200708,5637.0,760.0,6397.0,007_8
0200709,7094.0,633.0,7727.0,007_9
0200710,6628.0,559.0,7187.0,007_10
0200711,7927.0,689.0,8616.0,007_11
0200712,5864.0,828.0,6692.0,007_12
0200713,9107.0,770.0,9877.0,007_13
0200714,9846.0,1369.0,11215.0,007_14
0200715,8396.0,1689.0,10085.0,007_15
0200716,6557.0,1414.0,7971.0,007_16
0200717,5724.0,10123.0,15847.0,007_17
0200718,6305.0,6406.0,12711.0,007_18
0200719,5833.0,2930.0,8763.0,007_19
0200720,9977.0,2086.0,12063.0,007_20
0200721,9068.0,830.0,9898.0,007_21
0200722,9178.0,690.0,9868.0,007_22
0200723,6521.0,511.0,7032.0,007_23
0200724,9551.0,1177.0,10728.0,007_24
0200801,12800.0,8092.0,20892.0,008_1
0200802,7481.0,415.0,7896.0,008_2
0200803,7320.0,3286.0,10606.0,008_3
0200804,7674.0,1308.0,8982.0,008_4
0200805,8297.0,1049.0,9346.0,008_5
0200806,8307.0,1315.0,9622.0,008_6
0200807,12568.0,11700.0,24268.0,008_7
0200808,7868.0,1026.0,8894.0,008_8
0200809,6902.0,733.0,7635.0,008_9
0200810,11048.0,623.0,11671.0,008_10
0200811,10578.0,529.0,11107.0,008_11
0200812,5823.0,626.0,6449.0,008_12
0200813,4829.0,884.0,5713.0,008_13
0200814,9987.0,3732.0,13719.0,008_14
0200815,10632.0,7493.0,18125.0,008_15
0200816,8476.0,746.0,9222.0,008_16
0200817,2905.0,185.0,3090.0,008_17
0200901,5350.0,649.0,5999.0,009_1
0200902,9332.0,703.0,10035.0,009_2
0200903,8054.0,1272.0,9326.0,009_3
0200904,8417.0,717.0,9134.0,009_4
0200905,8844.0,794.0,9638.0,009_5
0200906,9787.0,1036.0,10823.0,009_6
0200907,9906.0,815.0,10721.0,009_7
0200908,10101.0,1166.0,11267.0,009_8
0200909,9632.0,1389.0,11021.0,009_9
0200910,8274.0,994.0,9268.0,009_10
0200911,10460.0,2123.0,12583.0,009_11
0200912,8896.0,1434.0,10330.0,009_12
0200913,5708.0,1490.0,7198.0,009_13
0200914,9367.0,4483.0,13850.0,009_14
0200915,7833.0,1660.0,9493.0,009_15
0200916,9916.0,1195.0,11111.0,009_16
0201001,5996.0,528.0,6524.0,010_1
0201002,6479.0,416.0,6895.0,010_2
0201003,5817.0,461.0,6278.0,010_3
0201004,7140.0,404.0,7544.0,010_4
0201005,10438.0,863.0,11301.0,010_5
0201006,10402.0,916.0,11318.0,010_6
0201007,10179.0,825.0,11004.0,010_7
0201008,8242.0,677.0,8919.0,010_8
0201009,7762.0,747.0,8509.0,010_9
0201010,9452.0,914.0,10366.0,010_10
0201011,7505.0,2115.0,9620.0,010_11
0201012,5964.0,1320.0,7284.0,010_12
0201013,7674.0,823.0,8497.0,010_13
0201014,7714.0,939.0,8653.0,010_14
0201015,6444.0,595.0,7039.0,010_15
0201016,7280.0,764.0,8044.0,010_16
0201017,7714.0,786.0,8500.0,010_17
0201018,8254.0,1168.0,9422.0,010_18
0201019,8589.0,1716.0,10305.0,010_19
