Código,Satisfactoria,Básica,Insuficiente,Total,CO_FRACC
0200101,17.0,11.0,10.0,38.0,001_1
0200102,321.0,1294.0,1093.0,2708.0,001_2
0200103,282.0,1296.0,2670.0,4248.0,001_3
0200104,3056.0,179.0,30.0,3265.0,001_4
0200105,2040.0,148.0,15.0,2203.0,001_5
0200106,2664.0,152.0,28.0,2844.0,001_6
0200107,1963.0,270.0,19.0,2252.0,001_7
0200108,3095.0,297.0,37.0,3429.0,001_8
0200109,2593.0,372.0,125.0,3090.0,001_9
0200110,2917.0,435.0,54.0,3406.0,001_10
0200111,2845.0,518.0,164.0,3527.0,001_11
0200112,1765.0,279.0,232.0,2276.0,001_12
0200113,1706.0,372.0,256.0,2334.0,001_13
0200114,1784.0,338.0,298.0,2420.0,001_14
0200115,2064.0,346.0,358.0,2768.0,001_15
0200116,2394.0,329.0,199.0,2922.0,001_16
0200117,2546.0,349.0,205.0,3100.0,001_17
0200118,2473.0,263.0,219.0,2955.0,001_18
0200119,1912.0,376.0,191.0,2479.0,001_19
0200120,2253.0,340.0,155.0,2748.0,001_20
0200121,2199.0,312.0,361.0,2872.0,001_21
0200122,2581.0,291.0,220.0,3092.0,001_22
0200123,2036.0,265.0,177.0,2478.0,001_23
0200124,1240.0,229.0,52.0,1521.0,001_24
0200125,2241.0,297.0,110.0,2648.0,001_25
0200126,1876.0,198.0,94.0,2168.0,001_26
0200127,1897.0,373.0,334.0,2604.0,001_27
0200128,2385.0,391.0,586.0,3362.0,001_28
0200129,1993.0,279.0,331.0,2603.0,001_29
0200201,29.0,59.0,40.0,128.0,002_1
0200202,1758.0,89.0,8.0,1855.0,002_2
0200203,1989.0,175.0,25.0,2189.0,002_3
0200204,2351.0,151.0,98.0,2600.0,002_4
0200205,2353.0,140.0,46.0,2539.0,002_5
0200206,2396.0,204.0,41.0,2641.0,002_6
0200207,2759.0,228.0,7.0,2994.0,002_7
0200208,3271.0,330.0,7.0,3608.0,002_8
0200209,3769.0,220.0,10.0,3999.0,002_9
0200210,3155.0,168.0,8.0,3331.0,002_10
0200211,2356.0,196.0,31.0,2583.0,002_11
0200212,2792.0,152.0,10.0,2954.0,002_12
0200213,3250.0,291.0,24.0,3565.0,002_13
0200214,3483.0,296.0,72.0,3851.0,002_14
0200215,2622.0,185.0,13.0,2820.0,002_15
0200216,2253.0,131.0,8.0,2392.0,002_16
0200217,3327.0,243.0,29.0,3599.0,002_17
0200218,2405.0,225.0,174.0,2804.0,002_18
0200219,2721.0,193.0,13.0,2927.0,002_19
0200220,2467.0,237.0,14.0,2718.0,002_20
0200221,2461.0,158.0,43.0,2662.0,002_21
0200222,2244.0,149.0,6.0,2399.0,002_22
0200223,2915.0,175.0,4.0,3094.0,002_23
0200224,2347.0,180.0,23.0,2550.0,002_24
0200225,3648.0,409.0,10.0,4067.0,002_25
0200301,2716.0,282.0,292.0,3290.0,003_1
0200302,3324.0,313.0,24.0,3661.0,003_2
0200303,2830.0,212.0,35.0,3077.0,003_3
0200304,1936.0,178.0,20.0,2134.0,003_4
0200305,2003.0,188.0,35.0,2226.0,003_5
0200306,1653.0,230.0,56.0,1939.0,003_6
0200307,2667.0,177.0,21.0,2865.0,003_7
0200308,2022.0,252.0,50.0,2324.0,003_8
0200309,2308.0,337.0,107.0,2752.0,003_9
0200310,2120.0,181.0,73.0,2374.0,003_10
0200311,2358.0,335.0,183.0,2876.0,003_11
0200312,2547.0,263.0,168.0,2978.0,003_12
0200313,2521.0,320.0,246.0,3087.0,003_13
0200314,2651.0,308.0,248.0,3207.0,003_14
0200315,2849.0,260.0,125.0,3234.0,003_15
0200316,2433.0,358.0,190.0,2981.0,003_16
0200317,2065.0,280.0,267.0,2612.0,003_17
0200318,2316.0,406.0,99.0,2821.0,003_18
0200319,2620.0,369.0,110.0,3099.0,003_19
0200320,2741.0,310.0,199.0,3250.0,003_20
0200321,2698.0,290.0,57.0,3045.0,003_21
0200322,2152.0,281.0,142.0,2575.0,003_22
0200323,2494.0,319.0,114.0,2927.0,003_23
0200324,2158.0,271.0,78.0,2507.0,003_24
0200325,2436.0,313.0,199.0,2948.0,003_25
0200326,2237.0,298.0,125.0,2660.0,003_26
0200327,1865.0,230.0,61.0,2156.0,003_27
0200401,1709.0,551.0,98.0,2358.0,004_1
0200402,1827.0,564.0,152.0,2543.0,004_2
0200403,2739.0,555.0,93.0,3387.0,004_3
0200404,2616.0,472.0,65.0,3153.0,004_4
0200405,2808.0,499.0,125.0,3432.0,004_5
0200406,2686.0,401.0,95.0,3182.0,004_6
0200407,3121.0,373.0,149.0,3643.0,004_7
0200408,2440.0,647.0,147.0,3234.0,004_8
0200409,1025.0,360.0,118.0,1503.0,004_9
0200410,620.0,1328.0,1055.0,3003.0,004_10
0200411,1734.0,406.0,135.0,2275.0,004_11
0200412,2137.0,315.0,151.0,2603.0,004_12
0200413,2623.0,282.0,59.0,2964.0,004_13
0200414,2262.0,208.0,193.0,2663.0,004_14
0200415,2760.0,277.0,22.0,3059.0,004_15
0200416,3138.0,245.0,101.0,3484.0,004_16
0200417,2410.0,280.0,67.0,2757.0,004_17
0200418,8.0,7.0,27.0,42.0,004_18
0200419,1718.0,613.0,474.0,2805.0,004_19
0200420,2440.0,698.0,282.0,3420.0,004_20
0200421,1650.0,724.0,467.0,2841.0,004_21
0200422,3222.0,212.0,93.0,3527.0,004_22
0200423,2084.0,557.0,147.0,2788.0,004_23
0200424,360.0,941.0,864.0,2165.0,004_24
0200425,392.0,1056.0,850.0,2298.0,004_25
0200426,244.0,208.0,99.0,551.0,004_26
0200501,2955.0,201.0,11.0,3167.0,005_1
