,Código,Satisfactoria,Básica,Insuficiente,Total
0,0200101,34.0,1.0,3.0,38.0
1,0200102,2395.0,74.0,239.0,2708.0
2,0200103,3300.0,216.0,732.0,4248.0
3,0200104,3245.0,5.0,15.0,3265.0
4,0200105,2199.0,1.0,3.0,2203.0
5,0200106,2820.0,4.0,20.0,2844.0
6,0200107,2242.0,0.0,10.0,2252.0
7,0200108,3407.0,5.0,17.0,3429.0
8,0200109,3011.0,6.0,73.0,3090.0
9,0200110,3334.0,1.0,71.0,3406.0
10,0200111,3480.0,2.0,45.0,3527.0
11,0200112,2133.0,3.0,140.0,2276.0
12,0200113,1827.0,55.0,452.0,2334.0
13,0200114,2316.0,13.0,91.0,2420.0
14,0200115,2665.0,11.0,92.0,2768.0
15,0200116,2807.0,25.0,90.0,2922.0
16,0200117,3059.0,4.0,37.0,3100.0
17,0200118,2882.0,9.0,64.0,2955.0
18,0200119,2368.0,7.0,104.0,2479.0
19,0200120,2675.0,6.0,67.0,2748.0
20,0200121,2740.0,11.0,121.0,2872.0
21,0200122,2955.0,32.0,105.0,3092.0
22,0200123,2378.0,9.0,91.0,2478.0
23,0200124,1500.0,6.0,15.0,1521.0
24,0200125,2627.0,7.0,14.0,2648.0
25,0200126,2142.0,6.0,20.0,2168.0
26,0200127,2391.0,27.0,186.0,2604.0
27,0200128,3024.0,13.0,325.0,3362.0
28,0200129,2443.0,13.0,147.0,2603.0
29,0200201,36.0,37.0,55.0,128.0
30,0200202,1838.0,13.0,4.0,1855.0
31,0200203,2167.0,1.0,21.0,2189.0
32,0200204,2492.0,1.0,107.0,2600.0
33,0200205,2507.0,5.0,27.0,2539.0
34,0200206,2624.0,2.0,15.0,2641.0
35,0200207,2986.0,0.0,8.0,2994.0
36,0200208,3596.0,3.0,9.0,3608.0
37,0200209,3995.0,1.0,3.0,3999.0
38,0200210,3316.0,3.0,12.0,3331.0
39,0200211,2549.0,3.0,31.0,2583.0
40,0200212,2942.0,4.0,8.0,2954.0
41,0200213,3521.0,4.0,40.0,3565.0
42,0200214,3816.0,2.0,33.0,3851.0
43,0200215,2814.0,0.0,6.0,2820.0
44,0200216,2385.0,1.0,6.0,2392.0
45,0200217,3573.0,9.0,17.0,3599.0
46,0200218,2780.0,2.0,22.0,2804.0
47,0200219,2919.0,2.0,6.0,2927.0
48,0200220,2704.0,3.0,11.0,2718.0
49,0200221,2642.0,2.0,18.0,2662.0
50,0200222,2395.0,1.0,3.0,2399.0
51,0200223,3091.0,1.0,2.0,3094.0
52,0200224,2534.0,2.0,14.0,2550.0
53,0200225,4061.0,2.0,4.0,4067.0
54,0200301,3173.0,8.0,109.0,3290.0
55,0200302,3635.0,4.0,22.0,3661.0
56,0200303,3058.0,13.0,6.0,3077.0
57,0200304,2129.0,0.0,5.0,2134.0
58,0200305,2221.0,1.0,4.0,2226.0
59,0200306,1914.0,1.0,24.0,1939.0
60,0200307,2850.0,1.0,14.0,2865.0
61,0200308,2242.0,1.0,81.0,2324.0
62,0200309,2689.0,7.0,56.0,2752.0
63,0200310,2357.0,1.0,16.0,2374.0
64,0200311,2844.0,3.0,29.0,2876.0
65,0200312,2878.0,1.0,99.0,2978.0
66,0200313,3048.0,5.0,34.0,3087.0
67,0200314,3105.0,7.0,95.0,3207.0
68,0200315,3186.0,9.0,39.0,3234.0
69,0200316,2895.0,6.0,80.0,2981.0
70,0200317,2531.0,4.0,77.0,2612.0
71,0200318,2770.0,18.0,33.0,2821.0
72,0200319,3048.0,18.0,33.0,3099.0
73,0200320,3146.0,30.0,74.0,3250.0
74,0200321,2996.0,22.0,27.0,3045.0
75,0200322,2494.0,8.0,73.0,2575.0
76,0200323,2889.0,18.0,20.0,2927.0
77,0200324,2480.0,7.0,20.0,2507.0
78,0200325,2912.0,7.0,29.0,2948.0
79,0200326,2582.0,14.0,64.0,2660.0
80,0200327,2125.0,6.0,25.0,2156.0
81,0200401,2269.0,29.0,60.0,2358.0
82,0200402,2471.0,44.0,28.0,2543.0
83,0200403,3312.0,23.0,52.0,3387.0
84,0200404,3084.0,42.0,27.0,3153.0
85,0200405,3384.0,23.0,25.0,3432.0
86,0200406,3161.0,13.0,8.0,3182.0
87,0200407,3552.0,24.0,67.0,3643.0
88,0200408,3097.0,33.0,104.0,3234.0
89,0200409,1399.0,37.0,67.0,1503.0
90,0200410,2382.0,174.0,447.0,3003.0
91,0200411,2101.0,90.0,84.0,2275.0
92,0200412,2545.0,20.0,38.0,2603.0
93,0200413,2926.0,5.0,33.0,2964.0
94,0200414,2597.0,21.0,45.0,2663.0
95,0200415,3046.0,3.0,10.0,3059.0
96,0200416,3432.0,2.0,50.0,3484.0
97,0200417,2729.0,12.0,16.0,2757.0
98,0200418,10.0,1.0,31.0,42.0
99,0200419,2571.0,54.0,180.0,2805.0
100,0200420,3220.0,73.0,127.0,3420.0
101,0200421,2524.0,75.0,242.0,2841.0
102,0200422,3462.0,21.0,44.0,3527.0
103,0200423,2650.0,64.0,74.0,2788.0
104,0200424,1830.0,115.0,220.0,2165.0
105,0200425,1805.0,132.0,361.0,2298.0
106,0200426,510.0,21.0,20.0,551.0
107,0200501,3154.0,3.0,10.0,3167.0
108,0200502,3359.0,8.0,53.0,3420.0
109,0200503,3025.0,8.0,105.0,3138.0
110,0200504,3153.0,14.0,48.0,3215.0
111,0200505,2817.0,3.0,9.0,2829.0
112,0200506,3448.0,2.0,14.0,3464.0
113,0200507,2967.0,7.0,63.0,3037.0
114,0200508,3375.0,9.0,41.0,3425.0
115,0200509,3128.0,5.0,14.0,3147.0
116,0200510,3372.0,8.0,39.0,3419.0
117,0200511,3610.0,4.0,39.0,3653.0
118,0200512,2992.0,4.0,27.0,3023.0
119,0200513,3121.0,4.0,20.0,3145.0
120,0200514,3506.0,5.0,45.0,3556.0
121,0200515,3123.0,7.0,34.0,3164.0
122,0200516,3537.0,4.0,53.0,3594.0
123,0200517,3359.0,8.0,16.0,3383.0
124,0200518,3174.0,15.0,34.0,3223.0
125,0200519,3587.0,11.0,4.0,3602.0
126,0200520,3630.0,41.0,31.0,3702.0
127,0200521,2977.0,15.0,30.0,3022.0
128,0200522,3847.0,21.0,30.0,3898.0
129,0200601,3229.0,5.0,24.0,3258.0
130,0200602,3401.0,2.0,4.0,3407.0
131,0200603,3227.0,13.0,32.0,3272.0
132,0200604,3210.0,18.0,6.0,3234.0
133,0200605,3832.0,3.0,7.0,3842.0
134,0200606,3667.0,0.0,11.0,3678.0
135,0200607,3884.0,5.0,29.0,3918.0
136,0200608,3301.0,11.0,8.0,3320.0
137,0200609,2884.0,12.0,25.0,2921.0
138,0200610,3740.0,4.0,2.0,3746.0
139,0200611,3060.0,6.0,32.0,3098.0
140,0200612,3319.0,9.0,11.0,3339.0
141,0200613,3470.0,7.0,20.0,3497.0
142,0200614,3511.0,6.0,32.0,3549.0
143,0200615,3528.0,10.0,8.0,3546.0
144,0200616,4132.0,6.0,46.0,4184.0
145,0200617,3065.0,1.0,6.0,3072.0
146,0200618,3241.0,5.0,9.0,3255.0
147,0200619,3620.0,5.0,14.0,3639.0
148,0200620,3305.0,4.0,7.0,3316.0
149,0200621,3812.0,5.0,34.0,3851.0
150,0200701,2442.0,9.0,46.0,2497.0
151,0200702,3067.0,37.0,43.0,3147.0
152,0200703,3427.0,11.0,37.0,3475.0
153,0200704,3472.0,6.0,10.0,3488.0
154,0200705,3010.0,2.0,38.0,3050.0
155,0200706,2628.0,4.0,70.0,2702.0
156,0200707,3053.0,7.0,74.0,3134.0
157,0200708,2606.0,5.0,18.0,2629.0
158,0200709,3041.0,9.0,66.0,3116.0
159,0200710,2923.0,18.0,39.0,2980.0
160,0200711,3426.0,12.0,29.0,3467.0
