Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRAC_RA
020010101,46.0,19.0,65.0,1_1_1
020010201,118.0,43.0,161.0,1_2_1
020010202,103.0,25.0,128.0,1_2_2
020010203,79.0,25.0,104.0,1_2_3
020010204,140.0,23.0,163.0,1_2_4
020010205,79.0,16.0,95.0,1_2_5
020010206,158.0,57.0,215.0,1_2_6
020010207,100.0,51.0,151.0,1_2_7
020010208,90.0,55.0,145.0,1_2_8
020010209,102.0,54.0,156.0,1_2_9
020010210,72.0,16.0,88.0,1_2_10
020010211,147.0,53.0,200.0,1_2_11
020010212,255.0,111.0,366.0,1_2_12
020010213,125.0,37.0,162.0,1_2_13
020010214,165.0,96.0,261.0,1_2_14
020010215,181.0,97.0,278.0,1_2_15
020010216,272.0,172.0,444.0,1_2_16
020010217,175.0,52.0,227.0,1_2_17
020010218,115.0,33.0,148.0,1_2_18
020010219,143.0,57.0,200.0,1_2_19
020010301,133.0,58.0,191.0,1_3_1
020010302,103.0,58.0,161.0,1_3_2
020010303,140.0,60.0,200.0,1_3_3
020010304,87.0,45.0,132.0,1_3_4
020010305,251.0,161.0,412.0,1_3_5
020010306,237.0,104.0,341.0,1_3_6
020010307,96.0,52.0,148.0,1_3_7
020010308,168.0,89.0,257.0,1_3_8
020010309,244.0,136.0,380.0,1_3_9
020010310,175.0,86.0,261.0,1_3_10
020010311,172.0,95.0,267.0,1_3_11
020010312,111.0,70.0,181.0,1_3_12
020010313,62.0,56.0,118.0,1_3_13
020010314,85.0,62.0,147.0,1_3_14
020010315,205.0,105.0,310.0,1_3_15
020010316,140.0,114.0,254.0,1_3_16
020010317,129.0,53.0,182.0,1_3_17
020010318,152.0,79.0,231.0,1_3_18
020010319,255.0,88.0,343.0,1_3_19
020010320,82.0,33.0,115.0,1_3_20
020010321,77.0,32.0,109.0,1_3_21
020010322,129.0,76.0,205.0,1_3_22
020010323,162.0,105.0,267.0,1_3_23
020010401,632.0,31.0,663.0,1_4_1
020010402,614.0,2.0,616.0,1_4_2
020010403,447.0,22.0,469.0,1_4_3
020010404,600.0,4.0,604.0,1_4_4
020010405,383.0,1.0,384.0,1_4_5
020010406,471.0,15.0,486.0,1_4_6
020010407,524.0,25.0,549.0,1_4_7
020010408,448.0,3.0,451.0,1_4_8
020010501,256.0,1.0,257.0,1_5_1
020010502,238.0,2.0,240.0,1_5_2
020010503,402.0,3.0,405.0,1_5_3
020010504,486.0,4.0,490.0,1_5_4
020010505,242.0,0.0,242.0,1_5_5
020010506,362.0,3.0,365.0,1_5_6
020010507,269.0,1.0,270.0,1_5_7
020010601,325.0,1.0,326.0,1_6_1
020010602,210.0,0.0,210.0,1_6_2
020010603,426.0,0.0,426.0,1_6_3
020010604,395.0,2.0,397.0,1_6_4
020010605,168.0,1.0,169.0,1_6_5
020010606,250.0,2.0,252.0,1_6_6
020010607,226.0,1.0,227.0,1_6_7
020010608,293.0,3.0,296.0,1_6_8
020010609,417.0,2.0,419.0,1_6_9
020010610,192.0,1.0,193.0,1_6_10
020010701,262.0,2.0,264.0,1_7_1
020010702,117.0,0.0,117.0,1_7_2
020010703,125.0,1.0,126.0,1_7_3
020010704,274.0,4.0,278.0,1_7_4
020010705,145.0,2.0,147.0,1_7_5
020010706,80.0,0.0,80.0,1_7_6
020010707,247.0,2.0,249.0,1_7_7
020010708,236.0,4.0,240.0,1_7_8
020010709,181.0,2.0,183.0,1_7_9
020010710,231.0,1.0,232.0,1_7_10
020010711,138.0,2.0,140.0,1_7_11
020010712,173.0,2.0,175.0,1_7_12
020010713,62.0,2.0,64.0,1_7_13
020010801,187.0,1.0,188.0,1_8_1
020010802,564.0,3.0,567.0,1_8_2
020010803,445.0,3.0,448.0,1_8_3
020010804,291.0,4.0,295.0,1_8_4
020010805,212.0,2.0,214.0,1_8_5
020010806,548.0,24.0,572.0,1_8_6
020010807,558.0,3.0,561.0,1_8_7
020010808,188.0,1.0,189.0,1_8_8
020010809,257.0,0.0,257.0,1_8_9
020010810,186.0,0.0,186.0,1_8_10
020010901,157.0,4.0,161.0,1_9_1
020010902,189.0,4.0,193.0,1_9_2
020010903,182.0,13.0,195.0,1_9_3
020010904,132.0,2.0,134.0,1_9_4
020010905,164.0,28.0,192.0,1_9_5
020010906,170.0,5.0,175.0,1_9_6
020010907,269.0,19.0,288.0,1_9_7
020010908,147.0,2.0,149.0,1_9_8
020010909,234.0,3.0,237.0,1_9_9
020010910,107.0,1.0,108.0,1_9_10
020010911,112.0,4.0,116.0,1_9_11
020010912,74.0,2.0,76.0,1_9_12
020010913,201.0,0.0,201.0,1_9_13
020010914,122.0,26.0,148.0,1_9_14
020010915,105.0,13.0,118.0,1_9_15
020010916,213.0,124.0,337.0,1_9_16
020010917,183.0,24.0,207.0,1_9_17
020010918,168.0,1.0,169.0,1_9_18
020010919,55.0,6.0,61.0,1_9_19
020011001,117.0,3.0,120.0,1_10_1
020011002,278.0,0.0,278.0,1_10_2
020011003,489.0,26.0,515.0,1_10_3
020011004,222.0,1.0,223.0,1_10_4
020011005,226.0,10.0,236.0,1_10_5
020011006,253.0,12.0,265.0,1_10_6
020011007,131.0,28.0,159.0,1_10_7
020011008,151.0,2.0,153.0,1_10_8
020011009,154.0,7.0,161.0,1_10_9
020011010,285.0,11.0,296.0,1_10_10
020011011,349.0,2.0,351.0,1_10_11
020011012,280.0,11.0,291.0,1_10_12
020011013,321.0,18.0,339.0,1_10_13
020011014,108.0,3.0,111.0,1_10_14
020011101,175.0,44.0,219.0,1_11_1
020011102,264.0,20.0,284.0,1_11_2
020011103,92.0,106.0,198.0,1_11_3
020011104,281.0,55.0,336.0,1_11_4
020011105,161.0,90.0,251.0,1_11_5
020011106,206.0,3.0,209.0,1_11_6
020011107,258.0,38.0,296.0,1_11_7
020011108,351.0,2.0,353.0,1_11_8
020011109,218.0,1.0,219.0,1_11_9
020011110,228.0,44.0,272.0,1_11_10
020011111,114.0,12.0,126.0,1_11_11
020011112,346.0,61.0,407.0,1_11_12
020011113,284.0,7.0,291.0,1_11_13
020011114,286.0,3.0,289.0,1_11_14
020011201,91.0,25.0,116.0,1_12_1
020011202,113.0,16.0,129.0,1_12_2
020011203,210.0,104.0,314.0,1_12_3
020011204,99.0,110.0,209.0,1_12_4
020011205,243.0,32.0,275.0,1_12_5
020011206,153.0,49.0,202.0,1_12_6
020011207,258.0,89.0,347.0,1_12_7
020011208,114.0,15.0,129.0,1_12_8
020011209,285.0,57.0,342.0,1_12_9
020011210,100.0,1.0,101.0,1_12_10
020011211,129.0,7.0,136.0,1_12_11
020011212,73.0,17.0,90.0,1_12_12
020011301,162.0,1.0,163.0,1_13_1
020011302,60.0,0.0,60.0,1_13_2
020011303,20.0,0.0,20.0,1_13_3
020011304,135.0,1.0,136.0,1_13_4
020011305,154.0,0.0,154.0,1_13_5
020011306,100.0,0.0,100.0,1_13_6
020011307,241.0,0.0,241.0,1_13_7
020011308,154.0,2.0,156.0,1_13_8
020011309,155.0,2.0,157.0,1_13_9
020011310,230.0,5.0,235.0,1_13_10
020011311,141.0,1.0,142.0,1_13_11
020011312,138.0,0.0,138.0,1_13_12
020011313,102.0,2.0,104.0,1_13_13
020011314,482.0,177.0,659.0,1_13_14
020011315,0.0,0.0,0.0,1_13_15
020011401,173.0,74.0,247.0,1_14_1
020011402,152.0,74.0,226.0,1_14_2
020011403,148.0,48.0,196.0,1_14_3
020011404,39.0,0.0,39.0,1_14_4
020011405,103.0,123.0,226.0,1_14_5
020011406,212.0,81.0,293.0,1_14_6
020011407,214.0,1.0,215.0,1_14_7
020011408,85.0,111.0,196.0,1_14_8
020011409,231.0,15.0,246.0,1_14_9
020011410,217.0,3.0,220.0,1_14_10
020011411,222.0,31.0,253.0,1_14_11
020011412,174.0,43.0,217.0,1_14_12
020011501,134.0,36.0,170.0,1_15_1
020011502,215.0,34.0,249.0,1_15_2
020011503,199.0,1.0,200.0,1_15_3
020011504,333.0,2.0,335.0,1_15_4
020011505,146.0,41.0,187.0,1_15_5
020011506,194.0,111.0,305.0,1_15_6
020011507,212.0,58.0,270.0,1_15_7
020011508,196.0,114.0,310.0,1_15_8
020011509,272.0,80.0,352.0,1_15_9
020011510,244.0,47.0,291.0,1_15_10
020011511,172.0,109.0,281.0,1_15_11
020011601,128.0,61.0,189.0,1_16_1
020011602,150.0,14.0,164.0,1_16_2
020011603,303.0,110.0,413.0,1_16_3
020011604,321.0,27.0,348.0,1_16_4
020011605,159.0,49.0,208.0,1_16_5
020011606,181.0,47.0,228.0,1_16_6
020011607,377.0,98.0,475.0,1_16_7
020011608,210.0,10.0,220.0,1_16_8
020011609,158.0,2.0,160.0,1_16_9
020011610,291.0,0.0,291.0,1_16_10
020011611,195.0,22.0,217.0,1_16_11
020011612,139.0,0.0,139.0,1_16_12
020011701,315.0,74.0,389.0,1_17_1
020011702,214.0,89.0,303.0,1_17_2
020011703,278.0,46.0,324.0,1_17_3
020011704,260.0,27.0,287.0,1_17_4
020011705,223.0,33.0,256.0,1_17_5
020011706,240.0,127.0,367.0,1_17_6
020011707,242.0,81.0,323.0,1_17_7
020011708,187.0,80.0,267.0,1_17_8
020011709,193.0,46.0,239.0,1_17_9
020011710,242.0,37.0,279.0,1_17_10
020011711,187.0,31.0,218.0,1_17_11
020011801,303.0,139.0,442.0,1_18_1
020011802,309.0,48.0,357.0,1_18_2
020011803,214.0,78.0,292.0,1_18_3
020011804,271.0,70.0,341.0,1_18_4
020011805,247.0,27.0,274.0,1_18_5
020011806,439.0,68.0,507.0,1_18_6
020011807,250.0,67.0,317.0,1_18_7
