Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRAC_RA
020010101,43.0,20.0,0.0,2.0,65.0,1_1_1
020010201,47.0,95.0,14.0,5.0,161.0,1_2_1
020010202,46.0,80.0,2.0,0.0,128.0,1_2_2
020010203,29.0,73.0,1.0,1.0,104.0,1_2_3
020010204,69.0,91.0,2.0,1.0,163.0,1_2_4
020010205,40.0,52.0,3.0,0.0,95.0,1_2_5
020010206,65.0,141.0,9.0,0.0,215.0,1_2_6
020010207,45.0,104.0,2.0,0.0,151.0,1_2_7
020010208,43.0,92.0,6.0,4.0,145.0,1_2_8
020010209,49.0,107.0,0.0,0.0,156.0,1_2_9
020010210,34.0,53.0,1.0,0.0,88.0,1_2_10
020010211,89.0,105.0,1.0,5.0,200.0,1_2_11
020010212,185.0,179.0,1.0,1.0,366.0,1_2_12
020010213,72.0,89.0,0.0,1.0,162.0,1_2_13
020010214,106.0,148.0,1.0,6.0,261.0,1_2_14
020010215,115.0,163.0,0.0,0.0,278.0,1_2_15
020010216,239.0,203.0,2.0,0.0,444.0,1_2_16
020010217,91.0,135.0,0.0,1.0,227.0,1_2_17
020010218,54.0,93.0,1.0,0.0,148.0,1_2_18
020010219,97.0,103.0,0.0,0.0,200.0,1_2_19
020010301,24.0,151.0,16.0,0.0,191.0,1_3_1
020010302,40.0,113.0,8.0,0.0,161.0,1_3_2
020010303,55.0,138.0,6.0,1.0,200.0,1_3_3
020010304,30.0,97.0,4.0,1.0,132.0,1_3_4
020010305,113.0,241.0,51.0,7.0,412.0,1_3_5
020010306,110.0,221.0,6.0,4.0,341.0,1_3_6
020010307,42.0,105.0,1.0,0.0,148.0,1_3_7
020010308,114.0,142.0,1.0,0.0,257.0,1_3_8
020010309,168.0,208.0,1.0,3.0,380.0,1_3_9
020010310,104.0,146.0,9.0,2.0,261.0,1_3_10
020010311,89.0,154.0,19.0,5.0,267.0,1_3_11
020010312,60.0,94.0,25.0,2.0,181.0,1_3_12
020010313,50.0,67.0,1.0,0.0,118.0,1_3_13
020010314,55.0,84.0,7.0,1.0,147.0,1_3_14
020010315,118.0,189.0,2.0,1.0,310.0,1_3_15
020010316,86.0,165.0,1.0,2.0,254.0,1_3_16
020010317,87.0,92.0,2.0,1.0,182.0,1_3_17
020010318,73.0,151.0,6.0,1.0,231.0,1_3_18
020010319,110.0,224.0,8.0,1.0,343.0,1_3_19
020010320,24.0,75.0,15.0,1.0,115.0,1_3_20
020010321,25.0,70.0,11.0,3.0,109.0,1_3_21
020010322,48.0,129.0,23.0,5.0,205.0,1_3_22
020010323,61.0,182.0,18.0,6.0,267.0,1_3_23
020010401,660.0,2.0,0.0,1.0,663.0,1_4_1
020010402,615.0,0.0,0.0,1.0,616.0,1_4_2
020010403,469.0,0.0,0.0,0.0,469.0,1_4_3
020010404,600.0,3.0,0.0,1.0,604.0,1_4_4
020010405,380.0,3.0,0.0,1.0,384.0,1_4_5
020010406,485.0,0.0,0.0,1.0,486.0,1_4_6
020010407,542.0,6.0,0.0,1.0,549.0,1_4_7
020010408,448.0,3.0,0.0,0.0,451.0,1_4_8
020010501,227.0,15.0,0.0,15.0,257.0,1_5_1
020010502,240.0,0.0,0.0,0.0,240.0,1_5_2
020010503,404.0,1.0,0.0,0.0,405.0,1_5_3
020010504,484.0,4.0,0.0,2.0,490.0,1_5_4
020010505,242.0,0.0,0.0,0.0,242.0,1_5_5
020010506,364.0,1.0,0.0,0.0,365.0,1_5_6
020010507,268.0,1.0,0.0,1.0,270.0,1_5_7
020010601,326.0,0.0,0.0,0.0,326.0,1_6_1
020010602,207.0,3.0,0.0,0.0,210.0,1_6_2
020010603,423.0,2.0,0.0,1.0,426.0,1_6_3
020010604,396.0,1.0,0.0,0.0,397.0,1_6_4
020010605,168.0,1.0,0.0,0.0,169.0,1_6_5
020010606,251.0,1.0,0.0,0.0,252.0,1_6_6
020010607,222.0,1.0,0.0,4.0,227.0,1_6_7
020010608,294.0,2.0,0.0,0.0,296.0,1_6_8
020010609,417.0,2.0,0.0,0.0,419.0,1_6_9
020010610,192.0,0.0,0.0,1.0,193.0,1_6_10
020010701,261.0,2.0,0.0,1.0,264.0,1_7_1
020010702,115.0,0.0,0.0,2.0,117.0,1_7_2
020010703,126.0,0.0,0.0,0.0,126.0,1_7_3
020010704,276.0,1.0,0.0,1.0,278.0,1_7_4
020010705,145.0,0.0,0.0,2.0,147.0,1_7_5
020010706,79.0,1.0,0.0,0.0,80.0,1_7_6
020010707,244.0,1.0,0.0,4.0,249.0,1_7_7
020010708,222.0,2.0,0.0,16.0,240.0,1_7_8
020010709,181.0,2.0,0.0,0.0,183.0,1_7_9
020010710,231.0,0.0,0.0,1.0,232.0,1_7_10
020010711,138.0,0.0,0.0,2.0,140.0,1_7_11
020010712,174.0,1.0,0.0,0.0,175.0,1_7_12
020010713,64.0,0.0,0.0,0.0,64.0,1_7_13
020010801,188.0,0.0,0.0,0.0,188.0,1_8_1
020010802,552.0,3.0,0.0,12.0,567.0,1_8_2
020010803,444.0,3.0,0.0,1.0,448.0,1_8_3
020010804,292.0,2.0,0.0,1.0,295.0,1_8_4
020010805,203.0,11.0,0.0,0.0,214.0,1_8_5
020010806,570.0,2.0,0.0,0.0,572.0,1_8_6
020010807,556.0,3.0,0.0,2.0,561.0,1_8_7
020010808,187.0,1.0,0.0,1.0,189.0,1_8_8
020010809,256.0,0.0,0.0,1.0,257.0,1_8_9
020010810,185.0,1.0,0.0,0.0,186.0,1_8_10
020010901,158.0,2.0,0.0,1.0,161.0,1_9_1
020010902,185.0,4.0,0.0,4.0,193.0,1_9_2
020010903,173.0,2.0,12.0,8.0,195.0,1_9_3
