Código,A red pública (cloaca),A cámara séptica y pozo ciego,Sólo a pozo ciego,"A hoyo, excavación en la tierra, etc.",Total,CO_FRAC_RA
020010101,60.0,3.0,1.0,1.0,65.0,1_1_1
020010201,124.0,2.0,8.0,0.0,134.0,1_2_1
020010202,111.0,9.0,6.0,0.0,126.0,1_2_2
020010203,87.0,9.0,3.0,0.0,99.0,1_2_3
020010204,155.0,5.0,2.0,0.0,162.0,1_2_4
020010205,89.0,1.0,0.0,0.0,90.0,1_2_5
020010206,198.0,3.0,2.0,0.0,203.0,1_2_6
020010207,124.0,4.0,1.0,0.0,129.0,1_2_7
020010208,133.0,3.0,3.0,0.0,139.0,1_2_8
020010209,144.0,3.0,0.0,0.0,147.0,1_2_9
020010210,84.0,0.0,2.0,0.0,86.0,1_2_10
020010211,188.0,3.0,0.0,0.0,191.0,1_2_11
020010212,332.0,3.0,1.0,0.0,336.0,1_2_12
020010213,141.0,1.0,1.0,0.0,143.0,1_2_13
020010214,241.0,12.0,1.0,0.0,254.0,1_2_14
020010215,258.0,7.0,2.0,0.0,267.0,1_2_15
020010216,404.0,9.0,3.0,1.0,417.0,1_2_16
020010217,199.0,17.0,4.0,0.0,220.0,1_2_17
020010218,141.0,4.0,0.0,0.0,145.0,1_2_18
020010219,177.0,14.0,1.0,0.0,192.0,1_2_19
020010301,124.0,20.0,32.0,1.0,177.0,1_3_1
020010302,127.0,15.0,12.0,1.0,155.0,1_3_2
020010303,134.0,23.0,26.0,3.0,186.0,1_3_3
020010304,109.0,7.0,11.0,0.0,127.0,1_3_4
020010305,320.0,41.0,16.0,1.0,378.0,1_3_5
020010306,321.0,3.0,4.0,1.0,329.0,1_3_6
020010307,137.0,4.0,2.0,0.0,143.0,1_3_7
020010308,240.0,4.0,1.0,2.0,247.0,1_3_8
020010309,343.0,14.0,10.0,0.0,367.0,1_3_9
020010310,238.0,5.0,5.0,0.0,248.0,1_3_10
020010311,242.0,9.0,3.0,0.0,254.0,1_3_11
020010312,154.0,6.0,1.0,5.0,166.0,1_3_12
020010313,114.0,1.0,2.0,0.0,117.0,1_3_13
020010314,119.0,11.0,10.0,2.0,142.0,1_3_14
020010315,274.0,8.0,4.0,0.0,286.0,1_3_15
020010316,229.0,11.0,3.0,2.0,245.0,1_3_16
020010317,149.0,12.0,13.0,5.0,179.0,1_3_17
020010318,207.0,5.0,11.0,0.0,223.0,1_3_18
020010319,298.0,16.0,10.0,0.0,324.0,1_3_19
020010320,51.0,10.0,48.0,0.0,109.0,1_3_20
020010321,95.0,3.0,1.0,0.0,99.0,1_3_21
020010322,87.0,24.0,81.0,0.0,192.0,1_3_22
020010323,172.0,18.0,53.0,4.0,247.0,1_3_23
020010401,661.0,2.0,0.0,0.0,663.0,1_4_1
020010402,615.0,0.0,0.0,0.0,615.0,1_4_2
020010403,467.0,2.0,0.0,0.0,469.0,1_4_3
020010404,602.0,1.0,0.0,0.0,603.0,1_4_4
020010405,384.0,0.0,0.0,0.0,384.0,1_4_5
020010406,484.0,1.0,0.0,0.0,485.0,1_4_6
020010407,546.0,1.0,2.0,0.0,549.0,1_4_7
020010408,451.0,0.0,0.0,0.0,451.0,1_4_8
020010501,257.0,0.0,0.0,0.0,257.0,1_5_1
020010502,240.0,0.0,0.0,0.0,240.0,1_5_2
020010503,405.0,0.0,0.0,0.0,405.0,1_5_3
020010504,490.0,0.0,0.0,0.0,490.0,1_5_4
020010505,242.0,0.0,0.0,0.0,242.0,1_5_5
020010506,364.0,1.0,0.0,0.0,365.0,1_5_6
020010507,269.0,1.0,0.0,0.0,270.0,1_5_7
020010601,311.0,15.0,0.0,0.0,326.0,1_6_1
020010602,210.0,0.0,0.0,0.0,210.0,1_6_2
020010603,424.0,2.0,0.0,0.0,426.0,1_6_3
020010604,397.0,0.0,0.0,0.0,397.0,1_6_4
020010605,169.0,0.0,0.0,0.0,169.0,1_6_5
020010606,249.0,2.0,0.0,0.0,251.0,1_6_6
020010607,226.0,1.0,0.0,0.0,227.0,1_6_7
020010608,296.0,0.0,0.0,0.0,296.0,1_6_8
020010609,419.0,0.0,0.0,0.0,419.0,1_6_9
020010610,193.0,0.0,0.0,0.0,193.0,1_6_10
020010701,264.0,0.0,0.0,0.0,264.0,1_7_1
020010702,117.0,0.0,0.0,0.0,117.0,1_7_2
020010703,126.0,0.0,0.0,0.0,126.0,1_7_3
020010704,277.0,0.0,0.0,0.0,277.0,1_7_4
020010705,146.0,0.0,0.0,1.0,147.0,1_7_5
020010706,80.0,0.0,0.0,0.0,80.0,1_7_6
020010707,249.0,0.0,0.0,0.0,249.0,1_7_7
020010708,239.0,1.0,0.0,0.0,240.0,1_7_8
020010709,183.0,0.0,0.0,0.0,183.0,1_7_9
020010710,231.0,0.0,1.0,0.0,232.0,1_7_10
020010711,140.0,0.0,0.0,0.0,140.0,1_7_11
020010712,175.0,0.0,0.0,0.0,175.0,1_7_12
020010713,64.0,0.0,0.0,0.0,64.0,1_7_13
020010801,187.0,0.0,0.0,0.0,187.0,1_8_1
020010802,566.0,1.0,0.0,0.0,567.0,1_8_2
020010803,446.0,0.0,1.0,0.0,447.0,1_8_3
020010804,295.0,0.0,0.0,0.0,295.0,1_8_4
020010805,210.0,3.0,1.0,0.0,214.0,1_8_5
020010806,572.0,0.0,0.0,0.0,572.0,1_8_6
020010807,561.0,0.0,0.0,0.0,561.0,1_8_7
020010808,185.0,3.0,0.0,0.0,188.0,1_8_8
020010809,257.0,0.0,0.0,0.0,257.0,1_8_9
020010810,186.0,0.0,0.0,0.0,186.0,1_8_10
020010901,161.0,0.0,0.0,0.0,161.0,1_9_1
020010902,192.0,0.0,0.0,0.0,192.0,1_9_2
020010903,178.0,0.0,5.0,0.0,183.0,1_9_3
020010904,133.0,1.0,0.0,0.0,134.0,1_9_4
020010905,191.0,1.0,0.0,0.0,192.0,1_9_5
020010906,172.0,3.0,0.0,0.0,175.0,1_9_6
020010907,283.0,5.0,0.0,0.0,288.0,1_9_7
020010908,149.0,0.0,0.0,0.0,149.0,1_9_8
020010909,237.0,0.0,0.0,0.0,237.0,1_9_9
020010910,106.0,1.0,1.0,0.0,108.0,1_9_10
020010911,116.0,0.0,0.0,0.0,116.0,1_9_11
020010912,76.0,0.0,0.0,0.0,76.0,1_9_12
020010913,200.0,1.0,0.0,0.0,201.0,1_9_13
020010914,147.0,1.0,0.0,0.0,148.0,1_9_14
020010915,105.0,0.0,0.0,0.0,105.0,1_9_15
020010916,333.0,4.0,0.0,0.0,337.0,1_9_16
020010917,207.0,0.0,0.0,0.0,207.0,1_9_17
020010918,169.0,0.0,0.0,0.0,169.0,1_9_18
020010919,61.0,0.0,0.0,0.0,61.0,1_9_19
