Código,Sí,No,Total,CO_FRAC_RA
020010101,55.0,10.0,65.0,1_1_1
020010201,124.0,37.0,161.0,1_2_1
020010202,108.0,20.0,128.0,1_2_2
020010203,76.0,28.0,104.0,1_2_3
020010204,135.0,28.0,163.0,1_2_4
020010205,85.0,10.0,95.0,1_2_5
020010206,167.0,48.0,215.0,1_2_6
020010207,113.0,38.0,151.0,1_2_7
020010208,100.0,45.0,145.0,1_2_8
020010209,113.0,43.0,156.0,1_2_9
020010210,73.0,15.0,88.0,1_2_10
020010211,167.0,33.0,200.0,1_2_11
020010212,309.0,57.0,366.0,1_2_12
020010213,130.0,32.0,162.0,1_2_13
020010214,177.0,84.0,261.0,1_2_14
020010215,213.0,65.0,278.0,1_2_15
020010216,293.0,151.0,444.0,1_2_16
020010217,158.0,69.0,227.0,1_2_17
020010218,119.0,29.0,148.0,1_2_18
020010219,141.0,59.0,200.0,1_2_19
020010301,125.0,66.0,191.0,1_3_1
020010302,103.0,58.0,161.0,1_3_2
020010303,134.0,66.0,200.0,1_3_3
020010304,95.0,37.0,132.0,1_3_4
020010305,283.0,129.0,412.0,1_3_5
020010306,210.0,131.0,341.0,1_3_6
020010307,84.0,64.0,148.0,1_3_7
020010308,181.0,76.0,257.0,1_3_8
020010309,253.0,127.0,380.0,1_3_9
020010310,164.0,97.0,261.0,1_3_10
020010311,166.0,101.0,267.0,1_3_11
020010312,111.0,70.0,181.0,1_3_12
020010313,78.0,40.0,118.0,1_3_13
020010314,93.0,54.0,147.0,1_3_14
020010315,185.0,125.0,310.0,1_3_15
020010316,157.0,97.0,254.0,1_3_16
020010317,133.0,49.0,182.0,1_3_17
020010318,157.0,74.0,231.0,1_3_18
020010319,234.0,109.0,343.0,1_3_19
020010320,83.0,32.0,115.0,1_3_20
020010321,56.0,53.0,109.0,1_3_21
020010322,137.0,68.0,205.0,1_3_22
020010323,184.0,83.0,267.0,1_3_23
020010401,651.0,12.0,663.0,1_4_1
020010402,615.0,1.0,616.0,1_4_2
020010403,460.0,9.0,469.0,1_4_3
020010404,603.0,1.0,604.0,1_4_4
020010405,380.0,4.0,384.0,1_4_5
020010406,483.0,3.0,486.0,1_4_6
020010407,534.0,15.0,549.0,1_4_7
020010408,451.0,0.0,451.0,1_4_8
020010501,257.0,0.0,257.0,1_5_1
020010502,240.0,0.0,240.0,1_5_2
020010503,405.0,0.0,405.0,1_5_3
020010504,489.0,1.0,490.0,1_5_4
020010505,240.0,2.0,242.0,1_5_5
020010506,364.0,1.0,365.0,1_5_6
020010507,269.0,1.0,270.0,1_5_7
020010601,324.0,2.0,326.0,1_6_1
020010602,210.0,0.0,210.0,1_6_2
020010603,426.0,0.0,426.0,1_6_3
020010604,396.0,1.0,397.0,1_6_4
020010605,168.0,1.0,169.0,1_6_5
020010606,252.0,0.0,252.0,1_6_6
020010607,224.0,3.0,227.0,1_6_7
020010608,296.0,0.0,296.0,1_6_8
020010609,418.0,1.0,419.0,1_6_9
020010610,192.0,1.0,193.0,1_6_10
020010701,261.0,3.0,264.0,1_7_1
020010702,116.0,1.0,117.0,1_7_2
020010703,125.0,1.0,126.0,1_7_3
020010704,276.0,2.0,278.0,1_7_4
020010705,146.0,1.0,147.0,1_7_5
020010706,80.0,0.0,80.0,1_7_6
020010707,249.0,0.0,249.0,1_7_7
020010708,237.0,3.0,240.0,1_7_8
020010709,182.0,1.0,183.0,1_7_9
020010710,231.0,1.0,232.0,1_7_10
020010711,138.0,2.0,140.0,1_7_11
020010712,172.0,3.0,175.0,1_7_12
020010713,62.0,2.0,64.0,1_7_13
020010801,188.0,0.0,188.0,1_8_1
020010802,565.0,2.0,567.0,1_8_2
020010803,444.0,4.0,448.0,1_8_3
020010804,295.0,0.0,295.0,1_8_4
020010805,209.0,5.0,214.0,1_8_5
020010806,564.0,8.0,572.0,1_8_6
020010807,561.0,0.0,561.0,1_8_7
020010808,188.0,1.0,189.0,1_8_8
020010809,257.0,0.0,257.0,1_8_9
020010810,185.0,1.0,186.0,1_8_10
020010901,161.0,0.0,161.0,1_9_1
020010902,187.0,6.0,193.0,1_9_2
020010903,177.0,18.0,195.0,1_9_3
020010904,132.0,2.0,134.0,1_9_4
020010905,178.0,14.0,192.0,1_9_5
020010906,173.0,2.0,175.0,1_9_6
020010907,275.0,13.0,288.0,1_9_7
020010908,149.0,0.0,149.0,1_9_8
020010909,234.0,3.0,237.0,1_9_9
020010910,106.0,2.0,108.0,1_9_10
020010911,116.0,0.0,116.0,1_9_11
020010912,74.0,2.0,76.0,1_9_12
020010913,199.0,2.0,201.0,1_9_13
020010914,136.0,12.0,148.0,1_9_14
020010915,106.0,12.0,118.0,1_9_15
020010916,274.0,63.0,337.0,1_9_16
020010917,186.0,21.0,207.0,1_9_17
020010918,165.0,4.0,169.0,1_9_18
020010919,61.0,0.0,61.0,1_9_19
020011001,120.0,0.0,120.0,1_10_1
020011002,273.0,5.0,278.0,1_10_2
020011003,510.0,5.0,515.0,1_10_3
020011004,223.0,0.0,223.0,1_10_4
020011005,231.0,5.0,236.0,1_10_5
020011006,261.0,4.0,265.0,1_10_6
020011007,143.0,16.0,159.0,1_10_7
020011008,147.0,6.0,153.0,1_10_8
020011009,158.0,3.0,161.0,1_10_9
020011010,294.0,2.0,296.0,1_10_10
020011011,350.0,1.0,351.0,1_10_11
020011012,287.0,4.0,291.0,1_10_12
020011013,334.0,5.0,339.0,1_10_13
020011014,110.0,1.0,111.0,1_10_14
020011101,201.0,18.0,219.0,1_11_1
020011102,283.0,1.0,284.0,1_11_2
020011103,151.0,47.0,198.0,1_11_3
020011104,313.0,23.0,336.0,1_11_4
020011105,206.0,45.0,251.0,1_11_5
020011106,209.0,0.0,209.0,1_11_6
020011107,279.0,17.0,296.0,1_11_7
020011108,350.0,3.0,353.0,1_11_8
020011109,219.0,0.0,219.0,1_11_9
020011110,247.0,25.0,272.0,1_11_10
020011111,126.0,0.0,126.0,1_11_11
020011112,393.0,14.0,407.0,1_11_12
020011113,290.0,1.0,291.0,1_11_13
020011114,287.0,2.0,289.0,1_11_14
020011201,114.0,2.0,116.0,1_12_1
020011202,116.0,13.0,129.0,1_12_2
020011203,256.0,58.0,314.0,1_12_3
020011204,173.0,36.0,209.0,1_12_4
020011205,269.0,6.0,275.0,1_12_5
020011206,194.0,8.0,202.0,1_12_6
020011207,330.0,17.0,347.0,1_12_7
020011208,127.0,2.0,129.0,1_12_8
020011209,329.0,13.0,342.0,1_12_9
020011210,96.0,5.0,101.0,1_12_10
020011211,130.0,6.0,136.0,1_12_11
020011212,90.0,0.0,90.0,1_12_12
020011301,163.0,0.0,163.0,1_13_1
020011302,60.0,0.0,60.0,1_13_2
020011303,20.0,0.0,20.0,1_13_3
020011304,136.0,0.0,136.0,1_13_4
020011305,154.0,0.0,154.0,1_13_5
020011306,100.0,0.0,100.0,1_13_6
020011307,241.0,0.0,241.0,1_13_7
020011308,156.0,0.0,156.0,1_13_8
020011309,157.0,0.0,157.0,1_13_9
020011310,235.0,0.0,235.0,1_13_10
020011311,142.0,0.0,142.0,1_13_11
020011312,138.0,0.0,138.0,1_13_12
020011313,103.0,1.0,104.0,1_13_13
020011314,489.0,170.0,659.0,1_13_14
020011315,0.0,0.0,0.0,1_13_15
020011401,216.0,31.0,247.0,1_14_1
020011402,214.0,12.0,226.0,1_14_2
020011403,173.0,23.0,196.0,1_14_3
020011404,39.0,0.0,39.0,1_14_4
020011405,183.0,43.0,226.0,1_14_5
020011406,282.0,11.0,293.0,1_14_6
020011407,212.0,3.0,215.0,1_14_7
020011408,156.0,40.0,196.0,1_14_8
020011409,239.0,7.0,246.0,1_14_9
020011410,217.0,3.0,220.0,1_14_10
020011411,246.0,7.0,253.0,1_14_11
