Código,Sí,No,Total,CO_FRAC_RA
020010101,31.0,34.0,65.0,1_1_1
020010201,42.0,119.0,161.0,1_2_1
020010202,24.0,104.0,128.0,1_2_2
020010203,43.0,61.0,104.0,1_2_3
020010204,67.0,96.0,163.0,1_2_4
020010205,47.0,48.0,95.0,1_2_5
020010206,51.0,164.0,215.0,1_2_6
020010207,48.0,103.0,151.0,1_2_7
020010208,26.0,119.0,145.0,1_2_8
020010209,55.0,101.0,156.0,1_2_9
020010210,34.0,54.0,88.0,1_2_10
020010211,69.0,131.0,200.0,1_2_11
020010212,122.0,244.0,366.0,1_2_12
020010213,63.0,99.0,162.0,1_2_13
020010214,74.0,187.0,261.0,1_2_14
020010215,60.0,218.0,278.0,1_2_15
020010216,114.0,330.0,444.0,1_2_16
020010217,68.0,159.0,227.0,1_2_17
020010218,47.0,101.0,148.0,1_2_18
020010219,50.0,150.0,200.0,1_2_19
020010301,20.0,171.0,191.0,1_3_1
020010302,23.0,138.0,161.0,1_3_2
020010303,36.0,164.0,200.0,1_3_3
020010304,29.0,103.0,132.0,1_3_4
020010305,59.0,353.0,412.0,1_3_5
020010306,30.0,311.0,341.0,1_3_6
020010307,15.0,133.0,148.0,1_3_7
020010308,72.0,185.0,257.0,1_3_8
020010309,75.0,305.0,380.0,1_3_9
020010310,23.0,238.0,261.0,1_3_10
020010311,19.0,248.0,267.0,1_3_11
020010312,22.0,159.0,181.0,1_3_12
020010313,13.0,105.0,118.0,1_3_13
020010314,16.0,131.0,147.0,1_3_14
020010315,33.0,277.0,310.0,1_3_15
020010316,23.0,231.0,254.0,1_3_16
020010317,24.0,158.0,182.0,1_3_17
020010318,12.0,219.0,231.0,1_3_18
020010319,59.0,284.0,343.0,1_3_19
020010320,12.0,103.0,115.0,1_3_20
020010321,4.0,105.0,109.0,1_3_21
020010322,26.0,179.0,205.0,1_3_22
020010323,32.0,235.0,267.0,1_3_23
020010401,477.0,186.0,663.0,1_4_1
020010402,468.0,148.0,616.0,1_4_2
020010403,360.0,109.0,469.0,1_4_3
020010404,500.0,104.0,604.0,1_4_4
020010405,300.0,84.0,384.0,1_4_5
020010406,354.0,132.0,486.0,1_4_6
020010407,399.0,150.0,549.0,1_4_7
020010408,335.0,116.0,451.0,1_4_8
020010501,209.0,48.0,257.0,1_5_1
020010502,190.0,50.0,240.0,1_5_2
020010503,314.0,91.0,405.0,1_5_3
020010504,369.0,121.0,490.0,1_5_4
020010505,204.0,38.0,242.0,1_5_5
020010506,288.0,77.0,365.0,1_5_6
020010507,218.0,52.0,270.0,1_5_7
020010601,264.0,62.0,326.0,1_6_1
020010602,170.0,40.0,210.0,1_6_2
020010603,359.0,67.0,426.0,1_6_3
020010604,333.0,64.0,397.0,1_6_4
020010605,133.0,36.0,169.0,1_6_5
020010606,203.0,49.0,252.0,1_6_6
020010607,178.0,49.0,227.0,1_6_7
020010608,228.0,68.0,296.0,1_6_8
020010609,339.0,80.0,419.0,1_6_9
020010610,148.0,45.0,193.0,1_6_10
020010701,206.0,58.0,264.0,1_7_1
020010702,88.0,29.0,117.0,1_7_2
020010703,93.0,33.0,126.0,1_7_3
020010704,196.0,82.0,278.0,1_7_4
020010705,102.0,45.0,147.0,1_7_5
020010706,58.0,22.0,80.0,1_7_6
020010707,188.0,61.0,249.0,1_7_7
020010708,181.0,59.0,240.0,1_7_8
020010709,131.0,52.0,183.0,1_7_9
020010710,173.0,59.0,232.0,1_7_10
020010711,108.0,32.0,140.0,1_7_11
020010712,125.0,50.0,175.0,1_7_12
020010713,47.0,17.0,64.0,1_7_13
020010801,128.0,60.0,188.0,1_8_1
020010802,417.0,150.0,567.0,1_8_2
020010803,358.0,90.0,448.0,1_8_3
020010804,214.0,81.0,295.0,1_8_4
