Código,Sí,No,Total,CO_FRAC_RA
020010101,54.0,11.0,65.0,1_1_1
020010201,121.0,40.0,161.0,1_2_1
020010202,115.0,13.0,128.0,1_2_2
020010203,85.0,19.0,104.0,1_2_3
020010204,140.0,23.0,163.0,1_2_4
020010205,82.0,13.0,95.0,1_2_5
020010206,182.0,33.0,215.0,1_2_6
020010207,135.0,16.0,151.0,1_2_7
020010208,128.0,17.0,145.0,1_2_8
020010209,136.0,20.0,156.0,1_2_9
020010210,76.0,12.0,88.0,1_2_10
020010211,173.0,27.0,200.0,1_2_11
020010212,328.0,38.0,366.0,1_2_12
020010213,135.0,27.0,162.0,1_2_13
020010214,235.0,26.0,261.0,1_2_14
020010215,218.0,60.0,278.0,1_2_15
020010216,383.0,61.0,444.0,1_2_16
020010217,187.0,40.0,227.0,1_2_17
020010218,135.0,13.0,148.0,1_2_18
020010219,174.0,26.0,200.0,1_2_19
020010301,148.0,43.0,191.0,1_3_1
020010302,136.0,25.0,161.0,1_3_2
020010303,181.0,19.0,200.0,1_3_3
020010304,104.0,28.0,132.0,1_3_4
020010305,323.0,89.0,412.0,1_3_5
020010306,278.0,63.0,341.0,1_3_6
020010307,130.0,18.0,148.0,1_3_7
020010308,213.0,44.0,257.0,1_3_8
020010309,315.0,65.0,380.0,1_3_9
020010310,241.0,20.0,261.0,1_3_10
020010311,243.0,24.0,267.0,1_3_11
020010312,158.0,23.0,181.0,1_3_12
020010313,104.0,14.0,118.0,1_3_13
020010314,129.0,18.0,147.0,1_3_14
020010315,283.0,27.0,310.0,1_3_15
020010316,232.0,22.0,254.0,1_3_16
020010317,163.0,19.0,182.0,1_3_17
020010318,203.0,28.0,231.0,1_3_18
020010319,300.0,43.0,343.0,1_3_19
020010320,101.0,14.0,115.0,1_3_20
020010321,93.0,16.0,109.0,1_3_21
020010322,179.0,26.0,205.0,1_3_22
020010323,217.0,50.0,267.0,1_3_23
020010401,583.0,80.0,663.0,1_4_1
020010402,540.0,76.0,616.0,1_4_2
020010403,423.0,46.0,469.0,1_4_3
020010404,544.0,60.0,604.0,1_4_4
020010405,352.0,32.0,384.0,1_4_5
020010406,417.0,69.0,486.0,1_4_6
020010407,477.0,72.0,549.0,1_4_7
020010408,391.0,60.0,451.0,1_4_8
020010501,228.0,29.0,257.0,1_5_1
020010502,213.0,27.0,240.0,1_5_2
020010503,361.0,44.0,405.0,1_5_3
020010504,433.0,57.0,490.0,1_5_4
020010505,213.0,29.0,242.0,1_5_5
020010506,317.0,48.0,365.0,1_5_6
020010507,236.0,34.0,270.0,1_5_7
020010601,293.0,33.0,326.0,1_6_1
020010602,190.0,20.0,210.0,1_6_2
020010603,387.0,39.0,426.0,1_6_3
020010604,368.0,29.0,397.0,1_6_4
020010605,149.0,20.0,169.0,1_6_5
020010606,224.0,28.0,252.0,1_6_6
020010607,196.0,31.0,227.0,1_6_7
020010608,253.0,43.0,296.0,1_6_8
020010609,373.0,46.0,419.0,1_6_9
020010610,167.0,26.0,193.0,1_6_10
020010701,235.0,29.0,264.0,1_7_1
020010702,106.0,11.0,117.0,1_7_2
020010703,107.0,19.0,126.0,1_7_3
020010704,252.0,26.0,278.0,1_7_4
020010705,123.0,24.0,147.0,1_7_5
020010706,71.0,9.0,80.0,1_7_6
020010707,217.0,32.0,249.0,1_7_7
020010708,216.0,24.0,240.0,1_7_8
020010709,166.0,17.0,183.0,1_7_9
020010710,209.0,23.0,232.0,1_7_10
020010711,129.0,11.0,140.0,1_7_11
020010712,156.0,19.0,175.0,1_7_12
020010713,59.0,5.0,64.0,1_7_13
020010801,163.0,25.0,188.0,1_8_1
020010802,490.0,77.0,567.0,1_8_2
020010803,407.0,41.0,448.0,1_8_3
020010804,259.0,36.0,295.0,1_8_4
020010805,185.0,29.0,214.0,1_8_5
020010806,489.0,83.0,572.0,1_8_6
020010807,501.0,60.0,561.0,1_8_7
020010808,165.0,24.0,189.0,1_8_8
020010809,224.0,33.0,257.0,1_8_9
020010810,168.0,18.0,186.0,1_8_10
020010901,140.0,21.0,161.0,1_9_1
020010902,172.0,21.0,193.0,1_9_2
020010903,161.0,34.0,195.0,1_9_3
020010904,116.0,18.0,134.0,1_9_4
020010905,158.0,34.0,192.0,1_9_5
020010906,159.0,16.0,175.0,1_9_6
020010907,263.0,25.0,288.0,1_9_7
020010908,130.0,19.0,149.0,1_9_8
020010909,211.0,26.0,237.0,1_9_9
020010910,95.0,13.0,108.0,1_9_10
020010911,102.0,14.0,116.0,1_9_11
020010912,70.0,6.0,76.0,1_9_12
020010913,196.0,5.0,201.0,1_9_13
020010914,135.0,13.0,148.0,1_9_14
020010915,104.0,14.0,118.0,1_9_15
020010916,305.0,32.0,337.0,1_9_16
020010917,189.0,18.0,207.0,1_9_17
020010918,156.0,13.0,169.0,1_9_18
020010919,53.0,8.0,61.0,1_9_19
020011001,101.0,19.0,120.0,1_10_1
020011002,242.0,36.0,278.0,1_10_2
020011003,444.0,71.0,515.0,1_10_3
020011004,200.0,23.0,223.0,1_10_4
020011005,204.0,32.0,236.0,1_10_5
020011006,231.0,34.0,265.0,1_10_6
020011007,142.0,17.0,159.0,1_10_7
020011008,135.0,18.0,153.0,1_10_8
020011009,150.0,11.0,161.0,1_10_9
020011010,269.0,27.0,296.0,1_10_10
020011011,308.0,43.0,351.0,1_10_11
020011012,251.0,40.0,291.0,1_10_12
020011013,293.0,46.0,339.0,1_10_13
020011014,99.0,12.0,111.0,1_10_14
020011101,196.0,23.0,219.0,1_11_1
020011102,255.0,29.0,284.0,1_11_2
020011103,178.0,20.0,198.0,1_11_3
020011104,303.0,33.0,336.0,1_11_4
020011105,226.0,25.0,251.0,1_11_5
020011106,179.0,30.0,209.0,1_11_6
020011107,256.0,40.0,296.0,1_11_7
020011108,311.0,42.0,353.0,1_11_8
020011109,196.0,23.0,219.0,1_11_9
020011110,238.0,34.0,272.0,1_11_10
020011111,106.0,20.0,126.0,1_11_11
020011112,356.0,51.0,407.0,1_11_12
020011113,261.0,30.0,291.0,1_11_13
020011114,254.0,35.0,289.0,1_11_14
020011201,104.0,12.0,116.0,1_12_1
020011202,116.0,13.0,129.0,1_12_2
020011203,280.0,34.0,314.0,1_12_3
020011204,170.0,39.0,209.0,1_12_4
020011205,247.0,28.0,275.0,1_12_5
