Código,Sí,No,Total,CO_FRAC_RA
020010101,37.0,28.0,65.0,1_1_1
020010201,57.0,104.0,161.0,1_2_1
020010202,41.0,87.0,128.0,1_2_2
020010203,48.0,56.0,104.0,1_2_3
020010204,81.0,82.0,163.0,1_2_4
020010205,45.0,50.0,95.0,1_2_5
020010206,57.0,158.0,215.0,1_2_6
020010207,51.0,100.0,151.0,1_2_7
020010208,24.0,121.0,145.0,1_2_8
020010209,53.0,103.0,156.0,1_2_9
020010210,35.0,53.0,88.0,1_2_10
020010211,80.0,120.0,200.0,1_2_11
020010212,133.0,233.0,366.0,1_2_12
020010213,85.0,77.0,162.0,1_2_13
020010214,79.0,182.0,261.0,1_2_14
020010215,97.0,181.0,278.0,1_2_15
020010216,96.0,348.0,444.0,1_2_16
020010217,71.0,156.0,227.0,1_2_17
020010218,61.0,87.0,148.0,1_2_18
020010219,76.0,124.0,200.0,1_2_19
020010301,7.0,184.0,191.0,1_3_1
020010302,23.0,138.0,161.0,1_3_2
020010303,39.0,161.0,200.0,1_3_3
020010304,33.0,99.0,132.0,1_3_4
020010305,63.0,349.0,412.0,1_3_5
020010306,16.0,325.0,341.0,1_3_6
020010307,19.0,129.0,148.0,1_3_7
020010308,85.0,172.0,257.0,1_3_8
020010309,94.0,286.0,380.0,1_3_9
020010310,17.0,244.0,261.0,1_3_10
020010311,2.0,265.0,267.0,1_3_11
020010312,12.0,169.0,181.0,1_3_12
020010313,1.0,117.0,118.0,1_3_13
020010314,8.0,139.0,147.0,1_3_14
020010315,24.0,286.0,310.0,1_3_15
020010316,16.0,238.0,254.0,1_3_16
020010317,22.0,160.0,182.0,1_3_17
020010318,4.0,227.0,231.0,1_3_18
020010319,65.0,278.0,343.0,1_3_19
020010320,3.0,112.0,115.0,1_3_20
020010321,0.0,109.0,109.0,1_3_21
020010322,5.0,200.0,205.0,1_3_22
020010323,27.0,240.0,267.0,1_3_23
020010401,577.0,86.0,663.0,1_4_1
020010402,588.0,28.0,616.0,1_4_2
020010403,444.0,25.0,469.0,1_4_3
020010404,595.0,9.0,604.0,1_4_4
020010405,365.0,19.0,384.0,1_4_5
020010406,462.0,24.0,486.0,1_4_6
020010407,509.0,40.0,549.0,1_4_7
020010408,429.0,22.0,451.0,1_4_8
020010501,251.0,6.0,257.0,1_5_1
020010502,226.0,14.0,240.0,1_5_2
020010503,396.0,9.0,405.0,1_5_3
020010504,482.0,8.0,490.0,1_5_4
020010505,226.0,16.0,242.0,1_5_5
020010506,353.0,12.0,365.0,1_5_6
020010507,264.0,6.0,270.0,1_5_7
020010601,317.0,9.0,326.0,1_6_1
020010602,202.0,8.0,210.0,1_6_2
020010603,418.0,8.0,426.0,1_6_3
020010604,372.0,25.0,397.0,1_6_4
020010605,159.0,10.0,169.0,1_6_5
020010606,247.0,5.0,252.0,1_6_6
020010607,217.0,10.0,227.0,1_6_7
020010608,278.0,18.0,296.0,1_6_8
