Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRAC_RA
020010101,23.0,1.0,19.0,4.0,9.0,9.0,65.0,1_1_1
020010201,20.0,9.0,62.0,11.0,45.0,14.0,161.0,1_2_1
020010202,15.0,3.0,36.0,12.0,45.0,17.0,128.0,1_2_2
020010203,11.0,8.0,27.0,11.0,37.0,10.0,104.0,1_2_3
020010204,19.0,11.0,48.0,23.0,48.0,14.0,163.0,1_2_4
020010205,12.0,5.0,29.0,12.0,27.0,10.0,95.0,1_2_5
020010206,18.0,4.0,60.0,16.0,84.0,33.0,215.0,1_2_6
020010207,12.0,6.0,47.0,10.0,63.0,13.0,151.0,1_2_7
020010208,16.0,4.0,38.0,8.0,48.0,31.0,145.0,1_2_8
020010209,13.0,5.0,40.0,12.0,62.0,24.0,156.0,1_2_9
020010210,5.0,4.0,27.0,8.0,36.0,8.0,88.0,1_2_10
020010211,16.0,13.0,62.0,22.0,67.0,20.0,200.0,1_2_11
020010212,24.0,13.0,111.0,41.0,141.0,36.0,366.0,1_2_12
020010213,21.0,10.0,56.0,14.0,47.0,14.0,162.0,1_2_13
020010214,20.0,16.0,91.0,13.0,103.0,18.0,261.0,1_2_14
020010215,30.0,8.0,94.0,17.0,100.0,29.0,278.0,1_2_15
020010216,21.0,8.0,139.0,31.0,206.0,39.0,444.0,1_2_16
020010217,14.0,5.0,74.0,26.0,84.0,24.0,227.0,1_2_17
020010218,11.0,4.0,51.0,8.0,60.0,14.0,148.0,1_2_18
020010219,14.0,7.0,63.0,9.0,93.0,14.0,200.0,1_2_19
020010301,13.0,3.0,51.0,14.0,76.0,34.0,191.0,1_3_1
020010302,10.0,5.0,43.0,13.0,63.0,27.0,161.0,1_3_2
020010303,14.0,5.0,61.0,21.0,78.0,21.0,200.0,1_3_3
020010304,15.0,5.0,31.0,12.0,45.0,24.0,132.0,1_3_4
020010305,23.0,2.0,91.0,36.0,193.0,67.0,412.0,1_3_5
020010306,35.0,6.0,91.0,23.0,123.0,63.0,341.0,1_3_6
020010307,11.0,8.0,42.0,5.0,67.0,15.0,148.0,1_3_7
020010308,11.0,13.0,66.0,28.0,100.0,39.0,257.0,1_3_8
020010309,23.0,10.0,101.0,32.0,171.0,43.0,380.0,1_3_9
020010310,13.0,11.0,67.0,20.0,111.0,39.0,261.0,1_3_10
020010311,20.0,4.0,75.0,16.0,116.0,36.0,267.0,1_3_11
020010312,10.0,4.0,47.0,10.0,72.0,38.0,181.0,1_3_12
020010313,3.0,4.0,18.0,7.0,62.0,24.0,118.0,1_3_13
020010314,7.0,2.0,32.0,10.0,69.0,27.0,147.0,1_3_14
020010315,14.0,6.0,99.0,13.0,139.0,39.0,310.0,1_3_15
020010316,9.0,8.0,69.0,19.0,118.0,31.0,254.0,1_3_16
020010317,6.0,6.0,45.0,16.0,83.0,26.0,182.0,1_3_17
020010318,12.0,13.0,44.0,19.0,98.0,45.0,231.0,1_3_18
020010319,33.0,13.0,94.0,31.0,127.0,45.0,343.0,1_3_19
020010320,5.0,0.0,20.0,10.0,52.0,28.0,115.0,1_3_20
020010321,5.0,2.0,27.0,1.0,57.0,17.0,109.0,1_3_21
020010322,9.0,3.0,52.0,23.0,85.0,33.0,205.0,1_3_22
020010323,16.0,8.0,84.0,27.0,101.0,31.0,267.0,1_3_23
020010401,222.0,110.0,209.0,27.0,90.0,5.0,663.0,1_4_1
020010402,282.0,131.0,161.0,25.0,17.0,0.0,616.0,1_4_2
020010403,200.0,71.0,143.0,27.0,28.0,0.0,469.0,1_4_3
020010404,284.0,143.0,137.0,25.0,13.0,2.0,604.0,1_4_4
020010405,159.0,92.0,107.0,11.0,14.0,1.0,384.0,1_4_5
020010406,222.0,107.0,127.0,12.0,14.0,4.0,486.0,1_4_6
