Código,0 - 14,15 - 64,65 y más,Total,CO_FRAC_RA
020010101,48.0,277.0,11.0,336.0,1_1_1
020010201,149.0,316.0,13.0,478.0,1_2_1
020010202,136.0,260.0,5.0,401.0,1_2_2
020010203,104.0,227.0,6.0,337.0,1_2_3
020010204,202.0,391.0,9.0,602.0,1_2_4
020010205,106.0,196.0,5.0,307.0,1_2_5
020010206,261.0,460.0,11.0,732.0,1_2_6
020010207,140.0,288.0,10.0,438.0,1_2_7
020010208,161.0,324.0,1.0,486.0,1_2_8
020010209,158.0,348.0,5.0,511.0,1_2_9
020010210,100.0,220.0,7.0,327.0,1_2_10
020010211,165.0,438.0,8.0,611.0,1_2_11
020010212,370.0,844.0,11.0,1225.0,1_2_12
020010213,136.0,334.0,6.0,476.0,1_2_13
020010214,174.0,498.0,16.0,688.0,1_2_14
020010215,204.0,532.0,21.0,757.0,1_2_15
020010216,285.0,828.0,15.0,1128.0,1_2_16
020010217,229.0,471.0,12.0,712.0,1_2_17
020010218,146.0,327.0,7.0,480.0,1_2_18
020010219,129.0,412.0,6.0,547.0,1_2_19
020010301,207.0,384.0,3.0,594.0,1_3_1
020010302,160.0,392.0,12.0,564.0,1_3_2
020010303,244.0,411.0,4.0,659.0,1_3_3
020010304,161.0,261.0,6.0,428.0,1_3_4
020010305,469.0,807.0,7.0,1283.0,1_3_5
020010306,327.0,690.0,10.0,1027.0,1_3_6
020010307,108.0,286.0,9.0,403.0,1_3_7
020010308,258.0,534.0,5.0,797.0,1_3_8
020010309,323.0,761.0,8.0,1092.0,1_3_9
020010310,229.0,511.0,5.0,745.0,1_3_10
020010311,218.0,512.0,15.0,745.0,1_3_11
020010312,179.0,373.0,9.0,561.0,1_3_12
020010313,117.0,261.0,3.0,381.0,1_3_13
020010314,176.0,294.0,1.0,471.0,1_3_14
020010315,226.0,609.0,8.0,843.0,1_3_15
020010316,194.0,531.0,1.0,726.0,1_3_16
020010317,167.0,402.0,2.0,571.0,1_3_17
020010318,271.0,507.0,5.0,783.0,1_3_18
020010319,337.0,673.0,7.0,1017.0,1_3_19
020010320,149.0,247.0,1.0,397.0,1_3_20
020010321,85.0,213.0,2.0,300.0,1_3_21
020010322,236.0,425.0,9.0,670.0,1_3_22
020010323,267.0,558.0,12.0,837.0,1_3_23
020010401,184.0,1013.0,275.0,1472.0,1_4_1
020010402,149.0,843.0,307.0,1299.0,1_4_2
020010403,135.0,818.0,236.0,1189.0,1_4_3
020010404,216.0,946.0,383.0,1545.0,1_4_4
020010405,146.0,685.0,238.0,1069.0,1_4_5
020010406,138.0,824.0,309.0,1271.0,1_4_6
020010407,229.0,880.0,284.0,1393.0,1_4_7
020010408,163.0,736.0,229.0,1128.0,1_4_8
020010501,90.0,373.0,168.0,631.0,1_5_1
020010502,60.0,348.0,125.0,533.0,1_5_2
020010503,91.0,657.0,180.0,928.0,1_5_3
020010504,164.0,727.0,309.0,1200.0,1_5_4
020010505,85.0,448.0,104.0,637.0,1_5_5
020010506,86.0,608.0,194.0,888.0,1_5_6
020010507,98.0,400.0,99.0,597.0,1_5_7
020010601,100.0,632.0,216.0,948.0,1_6_1
020010602,60.0,396.0,185.0,641.0,1_6_2
020010603,109.0,759.0,292.0,1160.0,1_6_3
020010604,78.0,553.0,158.0,789.0,1_6_4
020010605,35.0,231.0,66.0,332.0,1_6_5
020010606,58.0,365.0,146.0,569.0,1_6_6
020010607,49.0,319.0,130.0,498.0,1_6_7
020010608,65.0,498.0,167.0,730.0,1_6_8
020010609,136.0,633.0,277.0,1046.0,1_6_9
020010610,38.0,251.0,126.0,415.0,1_6_10
020010701,69.0,469.0,131.0,669.0,1_7_1
020010702,19.0,633.0,118.0,770.0,1_7_2
020010703,20.0,186.0,55.0,261.0,1_7_3
020010704,39.0,436.0,85.0,560.0,1_7_4
020010705,21.0,299.0,83.0,403.0,1_7_5
020010706,25.0,221.0,54.0,300.0,1_7_6
020010707,33.0,425.0,134.0,592.0,1_7_7
020010708,48.0,450.0,99.0,597.0,1_7_8
020010709,24.0,246.0,60.0,330.0,1_7_9
020010710,26.0,290.0,68.0,384.0,1_7_10
020010711,16.0,159.0,38.0,213.0,1_7_11
020010712,21.0,384.0,102.0,507.0,1_7_12
020010713,71.0,1271.0,83.0,1425.0,1_7_13
020010801,29.0,234.0,89.0,352.0,1_8_1
020010802,89.0,924.0,311.0,1324.0,1_8_2
020010803,78.0,790.0,236.0,1104.0,1_8_3
020010804,42.0,443.0,107.0,592.0,1_8_4
020010805,25.0,467.0,97.0,589.0,1_8_5
020010806,97.0,817.0,230.0,1144.0,1_8_6
020010807,128.0,922.0,284.0,1334.0,1_8_7
020010808,48.0,312.0,86.0,446.0,1_8_8
020010809,86.0,430.0,175.0,691.0,1_8_9
020010810,38.0,328.0,79.0,445.0,1_8_10
020010901,27.0,201.0,64.0,292.0,1_9_1
020010902,36.0,266.0,86.0,388.0,1_9_2
020010903,43.0,324.0,82.0,449.0,1_9_3
020010904,23.0,204.0,29.0,256.0,1_9_4
020010905,60.0,299.0,50.0,409.0,1_9_5
020010906,31.0,271.0,52.0,354.0,1_9_6
020010907,42.0,478.0,68.0,588.0,1_9_7
020010908,33.0,189.0,39.0,261.0,1_9_8
020010909,46.0,479.0,103.0,628.0,1_9_9
020010910,17.0,280.0,72.0,369.0,1_9_10
020010911,22.0,350.0,50.0,422.0,1_9_11
020010912,20.0,304.0,54.0,378.0,1_9_12
020010913,140.0,426.0,24.0,590.0,1_9_13
020010914,18.0,190.0,45.0,253.0,1_9_14
020010915,20.0,182.0,36.0,238.0,1_9_15
020010916,98.0,815.0,84.0,997.0,1_9_16
020010917,43.0,276.0,41.0,360.0,1_9_17
020010918,34.0,323.0,38.0,395.0,1_9_18
020010919,8.0,92.0,19.0,119.0,1_9_19
020011001,37.0,194.0,87.0,318.0,1_10_1
020011002,31.0,382.0,91.0,504.0,1_10_2
020011003,99.0,699.0,182.0,980.0,1_10_3
020011004,34.0,297.0,96.0,427.0,1_10_4
020011005,65.0,350.0,92.0,507.0,1_10_5
020011006,54.0,411.0,76.0,541.0,1_10_6
020011007,35.0,235.0,42.0,312.0,1_10_7
020011008,24.0,216.0,39.0,279.0,1_10_8
020011009,42.0,252.0,47.0,341.0,1_10_9
020011010,102.0,503.0,75.0,680.0,1_10_10
020011011,51.0,459.0,102.0,612.0,1_10_11
020011012,46.0,422.0,116.0,584.0,1_10_12
020011013,46.0,482.0,150.0,678.0,1_10_13
020011014,20.0,174.0,24.0,218.0,1_10_14
020011101,30.0,395.0,87.0,512.0,1_11_1
020011102,27.0,327.0,74.0,428.0,1_11_2
020011103,33.0,279.0,42.0,354.0,1_11_3
020011104,59.0,502.0,106.0,667.0,1_11_4
020011105,51.0,418.0,60.0,529.0,1_11_5
