Código,Varón,Mujer,Total,CO_FRAC_RA
020010101,212.0,124.0,336.0,1_1_1
020010201,232.0,246.0,478.0,1_2_1
020010202,188.0,213.0,401.0,1_2_2
020010203,170.0,167.0,337.0,1_2_3
020010204,297.0,305.0,602.0,1_2_4
020010205,174.0,133.0,307.0,1_2_5
020010206,366.0,366.0,732.0,1_2_6
020010207,217.0,221.0,438.0,1_2_7
020010208,266.0,220.0,486.0,1_2_8
020010209,259.0,252.0,511.0,1_2_9
020010210,145.0,182.0,327.0,1_2_10
020010211,308.0,303.0,611.0,1_2_11
020010212,636.0,589.0,1225.0,1_2_12
020010213,234.0,242.0,476.0,1_2_13
020010214,331.0,357.0,688.0,1_2_14
020010215,377.0,380.0,757.0,1_2_15
020010216,570.0,558.0,1128.0,1_2_16
020010217,347.0,365.0,712.0,1_2_17
020010218,239.0,241.0,480.0,1_2_18
020010219,277.0,270.0,547.0,1_2_19
020010301,322.0,272.0,594.0,1_3_1
020010302,283.0,281.0,564.0,1_3_2
020010303,314.0,345.0,659.0,1_3_3
020010304,226.0,202.0,428.0,1_3_4
020010305,688.0,595.0,1283.0,1_3_5
020010306,506.0,521.0,1027.0,1_3_6
020010307,201.0,202.0,403.0,1_3_7
020010308,374.0,423.0,797.0,1_3_8
020010309,528.0,564.0,1092.0,1_3_9
020010310,367.0,378.0,745.0,1_3_10
020010311,377.0,368.0,745.0,1_3_11
020010312,269.0,292.0,561.0,1_3_12
020010313,205.0,176.0,381.0,1_3_13
020010314,249.0,222.0,471.0,1_3_14
020010315,440.0,403.0,843.0,1_3_15
020010316,385.0,341.0,726.0,1_3_16
020010317,277.0,294.0,571.0,1_3_17
020010318,411.0,372.0,783.0,1_3_18
020010319,536.0,481.0,1017.0,1_3_19
020010320,203.0,194.0,397.0,1_3_20
020010321,150.0,150.0,300.0,1_3_21
020010322,359.0,311.0,670.0,1_3_22
020010323,424.0,413.0,837.0,1_3_23
020010401,656.0,816.0,1472.0,1_4_1
020010402,584.0,715.0,1299.0,1_4_2
020010403,522.0,667.0,1189.0,1_4_3
020010404,658.0,887.0,1545.0,1_4_4
020010405,500.0,569.0,1069.0,1_4_5
020010406,480.0,791.0,1271.0,1_4_6
020010407,635.0,758.0,1393.0,1_4_7
020010408,469.0,659.0,1128.0,1_4_8
020010501,261.0,370.0,631.0,1_5_1
020010502,232.0,301.0,533.0,1_5_2
020010503,362.0,566.0,928.0,1_5_3
020010504,497.0,703.0,1200.0,1_5_4
020010505,275.0,362.0,637.0,1_5_5
020010506,435.0,453.0,888.0,1_5_6
020010507,253.0,344.0,597.0,1_5_7
020010601,444.0,504.0,948.0,1_6_1
020010602,291.0,350.0,641.0,1_6_2
020010603,543.0,617.0,1160.0,1_6_3
020010604,350.0,439.0,789.0,1_6_4
020010605,146.0,186.0,332.0,1_6_5
020010606,245.0,324.0,569.0,1_6_6
020010607,220.0,278.0,498.0,1_6_7
020010608,354.0,376.0,730.0,1_6_8
020010609,462.0,584.0,1046.0,1_6_9
020010610,184.0,231.0,415.0,1_6_10
020010701,326.0,343.0,669.0,1_7_1
020010702,430.0,340.0,770.0,1_7_2
020010703,142.0,119.0,261.0,1_7_3
020010704,265.0,295.0,560.0,1_7_4
020010705,200.0,203.0,403.0,1_7_5
020010706,148.0,152.0,300.0,1_7_6
020010707,264.0,328.0,592.0,1_7_7
020010708,281.0,316.0,597.0,1_7_8
020010709,147.0,183.0,330.0,1_7_9
020010710,179.0,205.0,384.0,1_7_10
020010711,110.0,103.0,213.0,1_7_11
020010712,268.0,239.0,507.0,1_7_12
020010713,922.0,503.0,1425.0,1_7_13
020010801,148.0,204.0,352.0,1_8_1
020010802,599.0,725.0,1324.0,1_8_2
020010803,520.0,584.0,1104.0,1_8_3
020010804,249.0,343.0,592.0,1_8_4
020010805,266.0,323.0,589.0,1_8_5
