Código,Argentina,Otro país,Total,CO_FRAC_RA
020010101,247.0,89.0,336.0,1_1_1
020010201,394.0,84.0,478.0,1_2_1
020010202,299.0,102.0,401.0,1_2_2
020010203,284.0,53.0,337.0,1_2_3
020010204,530.0,72.0,602.0,1_2_4
020010205,275.0,32.0,307.0,1_2_5
020010206,508.0,224.0,732.0,1_2_6
020010207,320.0,118.0,438.0,1_2_7
020010208,212.0,274.0,486.0,1_2_8
020010209,319.0,192.0,511.0,1_2_9
020010210,231.0,96.0,327.0,1_2_10
020010211,338.0,273.0,611.0,1_2_11
020010212,776.0,449.0,1225.0,1_2_12
020010213,310.0,166.0,476.0,1_2_13
020010214,392.0,296.0,688.0,1_2_14
020010215,432.0,325.0,757.0,1_2_15
020010216,453.0,675.0,1128.0,1_2_16
020010217,467.0,245.0,712.0,1_2_17
020010218,299.0,181.0,480.0,1_2_18
020010219,293.0,254.0,547.0,1_2_19
020010301,264.0,330.0,594.0,1_3_1
020010302,215.0,349.0,564.0,1_3_2
020010303,268.0,391.0,659.0,1_3_3
020010304,309.0,119.0,428.0,1_3_4
020010305,745.0,538.0,1283.0,1_3_5
020010306,298.0,729.0,1027.0,1_3_6
020010307,116.0,287.0,403.0,1_3_7
020010308,268.0,529.0,797.0,1_3_8
020010309,333.0,759.0,1092.0,1_3_9
020010310,217.0,528.0,745.0,1_3_10
020010311,194.0,551.0,745.0,1_3_11
020010312,174.0,387.0,561.0,1_3_12
020010313,97.0,284.0,381.0,1_3_13
020010314,165.0,306.0,471.0,1_3_14
020010315,233.0,610.0,843.0,1_3_15
020010316,179.0,547.0,726.0,1_3_16
020010317,202.0,369.0,571.0,1_3_17
020010318,198.0,585.0,783.0,1_3_18
020010319,494.0,523.0,1017.0,1_3_19
020010320,117.0,280.0,397.0,1_3_20
020010321,54.0,246.0,300.0,1_3_21
020010322,196.0,474.0,670.0,1_3_22
020010323,324.0,513.0,837.0,1_3_23
020010401,1185.0,287.0,1472.0,1_4_1
020010402,1116.0,183.0,1299.0,1_4_2
020010403,948.0,241.0,1189.0,1_4_3
020010404,1327.0,218.0,1545.0,1_4_4
020010405,969.0,100.0,1069.0,1_4_5
020010406,1090.0,181.0,1271.0,1_4_6
020010407,1203.0,190.0,1393.0,1_4_7
020010408,999.0,129.0,1128.0,1_4_8
020010501,541.0,90.0,631.0,1_5_1
020010502,480.0,53.0,533.0,1_5_2
020010503,768.0,160.0,928.0,1_5_3
020010504,1074.0,126.0,1200.0,1_5_4
020010505,532.0,105.0,637.0,1_5_5
020010506,775.0,113.0,888.0,1_5_6
020010507,541.0,56.0,597.0,1_5_7
020010601,748.0,200.0,948.0,1_6_1
020010602,505.0,136.0,641.0,1_6_2
020010603,916.0,244.0,1160.0,1_6_3
020010604,641.0,148.0,789.0,1_6_4
020010605,282.0,50.0,332.0,1_6_5
020010606,491.0,78.0,569.0,1_6_6
020010607,428.0,70.0,498.0,1_6_7
020010608,538.0,192.0,730.0,1_6_8
020010609,918.0,128.0,1046.0,1_6_9
020010610,329.0,86.0,415.0,1_6_10
020010701,481.0,188.0,669.0,1_7_1
020010702,272.0,498.0,770.0,1_7_2
020010703,211.0,50.0,261.0,1_7_3
020010704,423.0,137.0,560.0,1_7_4
020010705,204.0,199.0,403.0,1_7_5
020010706,221.0,79.0,300.0,1_7_6
020010707,419.0,173.0,592.0,1_7_7
020010708,361.0,236.0,597.0,1_7_8
020010709,275.0,55.0,330.0,1_7_9
020010710,329.0,55.0,384.0,1_7_10
020010711,173.0,40.0,213.0,1_7_11
020010712,291.0,216.0,507.0,1_7_12
020010713,269.0,1156.0,1425.0,1_7_13
020010801,300.0,52.0,352.0,1_8_1
020010802,993.0,331.0,1324.0,1_8_2
020010803,873.0,231.0,1104.0,1_8_3
020010804,458.0,134.0,592.0,1_8_4
020010805,331.0,258.0,589.0,1_8_5
020010806,939.0,205.0,1144.0,1_8_6
020010807,1121.0,213.0,1334.0,1_8_7
020010808,372.0,74.0,446.0,1_8_8
020010809,618.0,73.0,691.0,1_8_9
