Código,Asiste,Asistió,Nunca asistió,Total
020010101,43.0,4.0,4.0,51.0
020010201,118.0,5.0,13.0,136.0
020010202,113.0,7.0,11.0,131.0
020010203,86.0,10.0,6.0,102.0
020010204,187.0,7.0,13.0,207.0
020010205,86.0,2.0,7.0,95.0
020010206,213.0,13.0,20.0,246.0
020010207,128.0,1.0,4.0,133.0
020010208,124.0,9.0,13.0,146.0
020010209,133.0,6.0,5.0,144.0
020010210,98.0,1.0,7.0,106.0
020010211,143.0,2.0,6.0,151.0
020010212,306.0,14.0,32.0,352.0
020010213,133.0,2.0,9.0,144.0
020010214,151.0,5.0,3.0,159.0
020010215,181.0,11.0,9.0,201.0
020010216,234.0,13.0,19.0,266.0
020010217,188.0,13.0,16.0,217.0
020010218,125.0,9.0,14.0,148.0
020010219,91.0,7.0,4.0,102.0
020010301,133.0,18.0,26.0,177.0
020010302,116.0,11.0,12.0,139.0
020010303,176.0,16.0,13.0,205.0
020010304,123.0,14.0,12.0,149.0
020010305,295.0,19.0,65.0,379.0
020010306,232.0,20.0,29.0,281.0
020010307,79.0,6.0,7.0,92.0
020010308,221.0,7.0,19.0,247.0
020010309,236.0,9.0,28.0,273.0
020010310,154.0,19.0,18.0,191.0
020010311,134.0,9.0,21.0,164.0
020010312,124.0,9.0,17.0,150.0
020010313,80.0,5.0,8.0,93.0
020010314,114.0,8.0,11.0,133.0
020010315,145.0,18.0,24.0,187.0
020010316,142.0,16.0,15.0,173.0
020010317,123.0,4.0,17.0,144.0
020010318,192.0,11.0,25.0,228.0
020010319,254.0,26.0,26.0,306.0
020010320,98.0,8.0,14.0,120.0
020010321,51.0,6.0,9.0,66.0
020010322,152.0,18.0,24.0,194.0
020010323,209.0,22.0,25.0,256.0
020010401,155.0,2.0,2.0,159.0
020010402,134.0,2.0,3.0,139.0
020010403,146.0,2.0,1.0,149.0
020010404,197.0,5.0,1.0,203.0
020010405,150.0,5.0,5.0,160.0
020010406,124.0,6.0,1.0,131.0
020010407,205.0,8.0,4.0,217.0
020010408,161.0,1.0,0.0,162.0
020010501,86.0,3.0,2.0,91.0
020010502,62.0,0.0,0.0,62.0
020010503,84.0,0.0,1.0,85.0
020010504,154.0,2.0,0.0,156.0
020010505,94.0,1.0,0.0,95.0
020010506,75.0,5.0,2.0,82.0
020010507,92.0,0.0,1.0,93.0
020010601,93.0,2.0,0.0,95.0
020010602,53.0,1.0,0.0,54.0
020010603,98.0,1.0,1.0,100.0
020010604,78.0,1.0,0.0,79.0
020010605,29.0,0.0,3.0,32.0
020010606,50.0,1.0,0.0,51.0
020010607,50.0,0.0,1.0,51.0
020010608,54.0,4.0,1.0,59.0
020010609,120.0,1.0,0.0,121.0
020010610,33.0,0.0,2.0,35.0
020010701,65.0,0.0,3.0,68.0
020010702,18.0,0.0,0.0,18.0
020010703,21.0,0.0,0.0,21.0
020010704,29.0,0.0,2.0,31.0
020010705,15.0,1.0,0.0,16.0
020010706,23.0,3.0,1.0,27.0
020010707,27.0,1.0,2.0,30.0
020010708,41.0,2.0,0.0,43.0
020010709,24.0,0.0,0.0,24.0
020010710,22.0,0.0,0.0,22.0
020010711,16.0,1.0,0.0,17.0
020010712,16.0,1.0,0.0,17.0
020010713,74.0,2.0,0.0,76.0
020010801,32.0,0.0,1.0,33.0
020010802,90.0,1.0,0.0,91.0
020010803,81.0,3.0,1.0,85.0
020010804,31.0,2.0,0.0,33.0
020010805,26.0,1.0,0.0,27.0
020010806,95.0,1.0,2.0,98.0
020010807,125.0,0.0,1.0,126.0
020010808,53.0,4.0,0.0,57.0
020010809,79.0,2.0,0.0,81.0
020010810,32.0,1.0,0.0,33.0
020010901,23.0,1.0,0.0,24.0
020010902,36.0,0.0,1.0,37.0
020010903,36.0,6.0,3.0,45.0
020010904,17.0,2.0,0.0,19.0
020010905,46.0,3.0,5.0,54.0
020010906,35.0,0.0,0.0,35.0
020010907,45.0,1.0,0.0,46.0
020010908,27.0,0.0,2.0,29.0
020010909,52.0,1.0,0.0,53.0
020010910,14.0,0.0,0.0,14.0
020010911,13.0,1.0,1.0,15.0
020010912,17.0,2.0,0.0,19.0
020010913,130.0,0.0,1.0,131.0
020010914,19.0,0.0,0.0,19.0
020010915,18.0,2.0,1.0,21.0
020010916,93.0,6.0,1.0,100.0
020010917,38.0,2.0,1.0,41.0
020010918,22.0,3.0,3.0,28.0
020010919,8.0,1.0,0.0,9.0
020011001,29.0,0.0,0.0,29.0
020011002,17.0,3.0,0.0,20.0
020011003,101.0,2.0,0.0,103.0
020011004,40.0,0.0,1.0,41.0
020011005,70.0,0.0,2.0,72.0
020011006,50.0,2.0,3.0,55.0
020011007,35.0,0.0,1.0,36.0
020011008,25.0,0.0,2.0,27.0
020011009,47.0,1.0,0.0,48.0
020011010,96.0,4.0,3.0,103.0
020011011,45.0,1.0,0.0,46.0
020011012,41.0,1.0,1.0,43.0
020011013,43.0,2.0,1.0,46.0
020011014,21.0,0.0,0.0,21.0
020011101,31.0,0.0,2.0,33.0
020011102,22.0,2.0,0.0,24.0
020011103,37.0,2.0,3.0,42.0
020011104,63.0,5.0,0.0,68.0
020011105,51.0,0.0,1.0,52.0
020011106,38.0,1.0,1.0,40.0
020011107,35.0,1.0,2.0,38.0
020011108,65.0,2.0,1.0,68.0
020011109,43.0,1.0,0.0,44.0
020011110,59.0,0.0,1.0,60.0
020011111,33.0,2.0,0.0,35.0
020011112,94.0,7.0,2.0,103.0
020011113,61.0,0.0,2.0,63.0
020011114,152.0,1.0,1.0,154.0
020011201,34.0,1.0,1.0,36.0
020011202,18.0,4.0,0.0,22.0
020011203,35.0,1.0,2.0,38.0
020011204,24.0,2.0,1.0,27.0
020011205,87.0,1.0,2.0,90.0
020011206,50.0,5.0,1.0,56.0
020011207,91.0,0.0,5.0,96.0
020011208,15.0,0.0,0.0,15.0
020011209,98.0,14.0,11.0,123.0
020011210,22.0,0.0,0.0,22.0
020011211,30.0,0.0,1.0,31.0
020011212,37.0,1.0,1.0,39.0
020011301,38.0,0.0,0.0,38.0
020011302,9.0,0.0,0.0,9.0
020011303,2.0,0.0,0.0,2.0
020011304,124.0,2.0,1.0,127.0
020011305,17.0,0.0,1.0,18.0
020011306,14.0,1.0,1.0,16.0
020011307,41.0,0.0,1.0,42.0
020011308,33.0,2.0,1.0,36.0
020011309,33.0,0.0,2.0,35.0
020011310,85.0,1.0,1.0,87.0
020011311,40.0,0.0,1.0,41.0
020011312,19.0,1.0,0.0,20.0
020011313,20.0,0.0,0.0,20.0
020011314,448.0,31.0,25.0,504.0
020011315,0.0,0.0,0.0,0.0
020011401,58.0,2.0,1.0,61.0
020011402,165.0,9.0,7.0,181.0
020011403,46.0,1.0,6.0,53.0
020011404,6.0,0.0,0.0,6.0
020011405,52.0,4.0,4.0,60.0
020011406,121.0,4.0,5.0,130.0
020011407,58.0,1.0,1.0,60.0
020011408,48.0,2.0,3.0,53.0
020011409,58.0,0.0,2.0,60.0
020011410,41.0,3.0,2.0,46.0
020011411,62.0,1.0,2.0,65.0
020011412,63.0,7.0,1.0,71.0
020011501,52.0,3.0,1.0,56.0
020011502,62.0,1.0,2.0,65.0
020011503,47.0,2.0,0.0,49.0
020011504,82.0,2.0,4.0,88.0
020011505,65.0,3.0,1.0,69.0
020011506,66.0,3.0,6.0,75.0
020011507,62.0,3.0,1.0,66.0
020011508,164.0,6.0,2.0,172.0
020011509,162.0,6.0,7.0,175.0
020011510,67.0,1.0,0.0,68.0
020011511,66.0,2.0,1.0,69.0
020011601,35.0,0.0,1.0,36.0
020011602,41.0,0.0,2.0,43.0
020011603,59.0,2.0,4.0,65.0
020011604,38.0,1.0,1.0,40.0
020011605,76.0,2.0,6.0,84.0
020011606,109.0,1.0,5.0,115.0
020011607,115.0,5.0,3.0,123.0
020011608,76.0,2.0,3.0,81.0
020011609,31.0,1.0,1.0,33.0
020011610,68.0,1.0,2.0,71.0
020011611,50.0,10.0,2.0,62.0
020011612,57.0,2.0,1.0,60.0
020011701,107.0,2.0,4.0,113.0
020011702,74.0,4.0,2.0,80.0
020011703,102.0,1.0,5.0,108.0
020011704,61.0,0.0,2.0,63.0
020011705,81.0,7.0,5.0,93.0
020011706,90.0,2.0,3.0,95.0
020011707,48.0,3.0,5.0,56.0
