Código,Primario,EGB,Secundario,Superior no universitario,Universitario,Post universitario,Total
020010101,26.0,0.0,72.0,16.0,11.0,2.0,127.0
020010201,68.0,1.0,43.0,4.0,7.0,0.0,123.0
020010202,56.0,0.0,30.0,2.0,2.0,0.0,90.0
020010203,43.0,0.0,26.0,4.0,3.0,0.0,76.0
020010204,65.0,0.0,40.0,6.0,1.0,0.0,112.0
020010205,47.0,0.0,26.0,1.0,2.0,0.0,76.0
020010206,92.0,0.0,61.0,4.0,1.0,0.0,158.0
020010207,45.0,0.0,44.0,2.0,4.0,0.0,95.0
020010208,50.0,0.0,43.0,2.0,3.0,0.0,98.0
020010209,52.0,0.0,62.0,8.0,3.0,1.0,126.0
020010210,40.0,0.0,44.0,2.0,1.0,0.0,87.0
020010211,74.0,0.0,92.0,3.0,5.0,0.0,174.0
020010212,136.0,0.0,166.0,4.0,4.0,0.0,310.0
020010213,44.0,0.0,78.0,7.0,4.0,2.0,135.0
020010214,88.0,0.0,91.0,15.0,8.0,0.0,202.0
020010215,99.0,0.0,96.0,12.0,3.0,0.0,210.0
020010216,152.0,0.0,154.0,6.0,8.0,4.0,324.0
020010217,85.0,0.0,88.0,3.0,5.0,0.0,181.0
020010218,59.0,0.0,58.0,1.0,4.0,1.0,123.0
020010219,71.0,0.0,85.0,2.0,1.0,1.0,160.0
020010301,98.0,0.0,41.0,0.0,2.0,0.0,141.0
020010302,64.0,0.0,47.0,12.0,16.0,3.0,142.0
020010303,63.0,1.0,56.0,5.0,1.0,0.0,126.0
020010304,52.0,0.0,28.0,0.0,6.0,0.0,86.0
020010305,117.0,0.0,93.0,3.0,3.0,0.0,216.0
020010306,109.0,0.0,144.0,6.0,9.0,0.0,268.0
020010307,37.0,1.0,60.0,5.0,1.0,0.0,104.0
020010308,83.0,0.0,91.0,8.0,4.0,0.0,186.0
020010309,102.0,1.0,142.0,10.0,8.0,1.0,264.0
020010310,87.0,0.0,83.0,10.0,5.0,0.0,185.0
020010311,84.0,1.0,101.0,5.0,7.0,1.0,199.0
020010312,72.0,0.0,66.0,3.0,2.0,0.0,143.0
020010313,68.0,1.0,42.0,2.0,5.0,0.0,118.0
