Código,Satisfactoria,Básica,Insuficiente,Total,CO_FRAC_RA
020010101,17.0,11.0,10.0,38.0,1_1_1
020010201,10.0,66.0,58.0,134.0,1_2_1
020010202,10.0,55.0,49.0,114.0,1_2_2
020010203,8.0,43.0,47.0,98.0,1_2_3
020010204,13.0,66.0,31.0,110.0,1_2_4
020010205,14.0,41.0,26.0,81.0,1_2_5
020010206,17.0,85.0,72.0,174.0,1_2_6
020010207,5.0,40.0,22.0,67.0,1_2_7
020010208,3.0,44.0,85.0,132.0,1_2_8
020010209,10.0,40.0,47.0,97.0,1_2_9
020010210,5.0,37.0,14.0,56.0,1_2_10
020010211,24.0,92.0,53.0,169.0,1_2_11
020010212,61.0,178.0,81.0,320.0,1_2_12
020010213,15.0,52.0,52.0,119.0,1_2_13
020010214,23.0,78.0,64.0,165.0,1_2_14
020010215,25.0,61.0,58.0,144.0,1_2_15
020010216,45.0,128.0,190.0,363.0,1_2_16
020010217,12.0,74.0,64.0,150.0,1_2_17
020010218,9.0,71.0,42.0,122.0,1_2_18
020010219,12.0,43.0,38.0,93.0,1_2_19
020010301,1.0,52.0,105.0,158.0,1_3_1
020010302,5.0,45.0,95.0,145.0,1_3_2
020010303,6.0,56.0,100.0,162.0,1_3_3
020010304,2.0,43.0,73.0,118.0,1_3_4
020010305,19.0,69.0,118.0,206.0,1_3_5
020010306,20.0,84.0,141.0,245.0,1_3_6
020010307,10.0,39.0,57.0,106.0,1_3_7
020010308,24.0,72.0,137.0,233.0,1_3_8
020010309,25.0,85.0,229.0,339.0,1_3_9
020010310,24.0,75.0,129.0,228.0,1_3_10
020010311,11.0,58.0,135.0,204.0,1_3_11
020010312,13.0,41.0,105.0,159.0,1_3_12
020010313,2.0,26.0,63.0,91.0,1_3_13
020010314,14.0,33.0,83.0,130.0,1_3_14
020010315,18.0,77.0,149.0,244.0,1_3_15
020010316,22.0,63.0,113.0,198.0,1_3_16
020010317,17.0,39.0,108.0,164.0,1_3_17
020010318,5.0,44.0,123.0,172.0,1_3_18
020010319,20.0,133.0,144.0,297.0,1_3_19
020010320,1.0,22.0,81.0,104.0,1_3_20
020010321,7.0,23.0,67.0,97.0,1_3_21
020010322,6.0,52.0,130.0,188.0,1_3_22
020010323,10.0,65.0,185.0,260.0,1_3_23
020010401,535.0,34.0,19.0,588.0,1_4_1
020010402,496.0,15.0,2.0,513.0,1_4_2
020010403,299.0,17.0,0.0,316.0,1_4_3
020010404,414.0,20.0,2.0,436.0,1_4_4
020010405,269.0,23.0,1.0,293.0,1_4_5
020010406,343.0,20.0,0.0,363.0,1_4_6
020010407,389.0,24.0,6.0,419.0,1_4_7
020010408,311.0,26.0,0.0,337.0,1_4_8
020010501,196.0,28.0,12.0,236.0,1_5_1
020010502,202.0,37.0,0.0,239.0,1_5_2
020010503,359.0,26.0,0.0,385.0,1_5_3
020010504,466.0,16.0,1.0,483.0,1_5_4
020010505,229.0,8.0,0.0,237.0,1_5_5
020010506,336.0,17.0,0.0,353.0,1_5_6
020010507,252.0,16.0,2.0,270.0,1_5_7
020010601,286.0,25.0,13.0,324.0,1_6_1
020010602,191.0,19.0,0.0,210.0,1_6_2
020010603,380.0,25.0,3.0,408.0,1_6_3
020010604,373.0,18.0,1.0,392.0,1_6_4
020010605,158.0,8.0,1.0,167.0,1_6_5
020010606,218.0,12.0,5.0,235.0,1_6_6
020010607,205.0,18.0,1.0,224.0,1_6_7
020010608,280.0,12.0,0.0,292.0,1_6_8
020010609,402.0,5.0,3.0,410.0,1_6_9
020010610,171.0,10.0,1.0,182.0,1_6_10
020010701,240.0,19.0,1.0,260.0,1_7_1
020010702,107.0,2.0,1.0,110.0,1_7_2
020010703,94.0,30.0,0.0,124.0,1_7_3
020010704,223.0,44.0,1.0,268.0,1_7_4
020010705,128.0,16.0,3.0,147.0,1_7_5
020010706,67.0,12.0,1.0,80.0,1_7_6
020010707,227.0,14.0,2.0,243.0,1_7_7
020010708,195.0,41.0,0.0,236.0,1_7_8
020010709,173.0,10.0,0.0,183.0,1_7_9
020010710,203.0,23.0,3.0,229.0,1_7_10
020010711,106.0,28.0,1.0,135.0,1_7_11
020010712,142.0,26.0,5.0,173.0,1_7_12
020010713,58.0,5.0,1.0,64.0,1_7_13
020010801,166.0,20.0,1.0,187.0,1_8_1
020010802,493.0,69.0,0.0,562.0,1_8_2
020010803,395.0,42.0,1.0,438.0,1_8_3
020010804,264.0,26.0,2.0,292.0,1_8_4
020010805,199.0,15.0,0.0,214.0,1_8_5
020010806,519.0,23.0,22.0,564.0,1_8_6
020010807,504.0,40.0,2.0,546.0,1_8_7
020010808,168.0,16.0,4.0,188.0,1_8_8
020010809,240.0,12.0,5.0,257.0,1_8_9
020010810,147.0,34.0,0.0,181.0,1_8_10
020010901,149.0,10.0,2.0,161.0,1_9_1
020010902,162.0,26.0,1.0,189.0,1_9_2
020010903,156.0,15.0,18.0,189.0,1_9_3
020010904,112.0,20.0,1.0,133.0,1_9_4
020010905,136.0,30.0,21.0,187.0,1_9_5
020010906,148.0,24.0,1.0,173.0,1_9_6
020010907,229.0,48.0,3.0,280.0,1_9_7
020010908,134.0,10.0,1.0,145.0,1_9_8
020010909,195.0,29.0,0.0,224.0,1_9_9
020010910,94.0,12.0,0.0,106.0,1_9_10
020010911,108.0,8.0,0.0,116.0,1_9_11
020010912,69.0,5.0,0.0,74.0,1_9_12
020010913,170.0,21.0,0.0,191.0,1_9_13
020010914,98.0,20.0,3.0,121.0,1_9_14
020010915,72.0,15.0,13.0,100.0,1_9_15
020010916,197.0,23.0,56.0,276.0,1_9_16
020010917,162.0,40.0,4.0,206.0,1_9_17
020010918,148.0,12.0,1.0,161.0,1_9_18
020010919,54.0,4.0,0.0,58.0,1_9_19
020011001,98.0,19.0,1.0,118.0,1_10_1
020011002,241.0,30.0,2.0,273.0,1_10_2
020011003,420.0,77.0,9.0,506.0,1_10_3
020011004,201.0,20.0,1.0,222.0,1_10_4
020011005,192.0,35.0,6.0,233.0,1_10_5
020011006,245.0,10.0,10.0,265.0,1_10_6
020011007,114.0,8.0,4.0,126.0,1_10_7
020011008,133.0,18.0,1.0,152.0,1_10_8
020011009,142.0,13.0,5.0,160.0,1_10_9
020011010,259.0,27.0,1.0,287.0,1_10_10
020011011,308.0,37.0,0.0,345.0,1_10_11
020011012,185.0,88.0,2.0,275.0,1_10_12
020011013,285.0,37.0,12.0,334.0,1_10_13
020011014,94.0,16.0,0.0,110.0,1_10_14
020011101,147.0,29.0,26.0,202.0,1_11_1
020011102,226.0,31.0,1.0,258.0,1_11_2
020011103,79.0,61.0,55.0,195.0,1_11_3
020011104,238.0,37.0,31.0,306.0,1_11_4
