Código,0,1,Total,CO_FRAC_RA
020010101,76.0,13.0,89.0,1_1_1
020010201,146.0,12.0,158.0,1_2_1
020010202,128.0,2.0,130.0,1_2_2
020010203,96.0,6.0,102.0,1_2_3
020010204,152.0,7.0,159.0,1_2_4
020010205,89.0,3.0,92.0,1_2_5
020010206,201.0,6.0,207.0,1_2_6
020010207,141.0,8.0,149.0,1_2_7
020010208,134.0,6.0,140.0,1_2_8
020010209,141.0,11.0,152.0,1_2_9
020010210,84.0,3.0,87.0,1_2_10
020010211,185.0,8.0,193.0,1_2_11
020010212,346.0,15.0,361.0,1_2_12
020010213,145.0,11.0,156.0,1_2_13
020010214,239.0,18.0,257.0,1_2_14
020010215,261.0,8.0,269.0,1_2_15
020010216,408.0,20.0,428.0,1_2_16
020010217,206.0,11.0,217.0,1_2_17
020010218,139.0,5.0,144.0,1_2_18
020010219,192.0,3.0,195.0,1_2_19
020010301,175.0,2.0,177.0,1_3_1
020010302,143.0,11.0,154.0,1_3_2
020010303,187.0,3.0,190.0,1_3_3
020010304,121.0,7.0,128.0,1_3_4
020010305,361.0,7.0,368.0,1_3_5
020010306,325.0,10.0,335.0,1_3_6
020010307,136.0,4.0,140.0,1_3_7
020010308,239.0,7.0,246.0,1_3_8
020010309,339.0,20.0,359.0,1_3_9
020010310,242.0,9.0,251.0,1_3_10
020010311,243.0,13.0,256.0,1_3_11
020010312,167.0,2.0,169.0,1_3_12
020010313,105.0,5.0,110.0,1_3_13
020010314,139.0,5.0,144.0,1_3_14
020010315,289.0,7.0,296.0,1_3_15
020010316,236.0,13.0,249.0,1_3_16
020010317,174.0,3.0,177.0,1_3_17
020010318,212.0,7.0,219.0,1_3_18
020010319,321.0,12.0,333.0,1_3_19
020010320,107.0,4.0,111.0,1_3_20
020010321,100.0,2.0,102.0,1_3_21
020010322,193.0,5.0,198.0,1_3_22
020010323,248.0,11.0,259.0,1_3_23
020010401,336.0,325.0,661.0,1_4_1
020010402,305.0,308.0,613.0,1_4_2
020010403,222.0,247.0,469.0,1_4_3
020010404,267.0,333.0,600.0,1_4_4
020010405,195.0,189.0,384.0,1_4_5
020010406,229.0,256.0,485.0,1_4_6
020010407,283.0,265.0,548.0,1_4_7
020010408,232.0,218.0,450.0,1_4_8
020010501,96.0,160.0,256.0,1_5_1
020010502,100.0,140.0,240.0,1_5_2
020010503,158.0,246.0,404.0,1_5_3
020010504,210.0,280.0,490.0,1_5_4
020010505,82.0,160.0,242.0,1_5_5
020010506,120.0,245.0,365.0,1_5_6
020010507,100.0,169.0,269.0,1_5_7
020010601,125.0,200.0,325.0,1_6_1
020010602,71.0,137.0,208.0,1_6_2
020010603,118.0,307.0,425.0,1_6_3
020010604,119.0,278.0,397.0,1_6_4
020010605,70.0,98.0,168.0,1_6_5
020010606,88.0,166.0,254.0,1_6_6
020010607,82.0,145.0,227.0,1_6_7
020010608,121.0,174.0,295.0,1_6_8
020010609,157.0,261.0,418.0,1_6_9
020010610,71.0,120.0,191.0,1_6_10
020010701,109.0,154.0,263.0,1_7_1
020010702,47.0,72.0,119.0,1_7_2
020010703,53.0,73.0,126.0,1_7_3
020010704,120.0,158.0,278.0,1_7_4
020010705,57.0,88.0,145.0,1_7_5
020010706,40.0,42.0,82.0,1_7_6
020010707,123.0,126.0,249.0,1_7_7
020010708,106.0,133.0,239.0,1_7_8
020010709,88.0,95.0,183.0,1_7_9
020010710,106.0,126.0,232.0,1_7_10
020010711,57.0,81.0,138.0,1_7_11
020010712,88.0,85.0,173.0,1_7_12
020010713,32.0,32.0,64.0,1_7_13
020010801,86.0,102.0,188.0,1_8_1
020010802,250.0,315.0,565.0,1_8_2
020010803,185.0,266.0,451.0,1_8_3
020010804,139.0,156.0,295.0,1_8_4
020010805,96.0,117.0,213.0,1_8_5
020010806,236.0,332.0,568.0,1_8_6
020010807,224.0,333.0,557.0,1_8_7
020010808,82.0,106.0,188.0,1_8_8
020010809,103.0,149.0,252.0,1_8_9
020010810,86.0,99.0,185.0,1_8_10
020010901,70.0,90.0,160.0,1_9_1
020010902,127.0,63.0,190.0,1_9_2
020010903,108.0,88.0,196.0,1_9_3
020010904,73.0,61.0,134.0,1_9_4
020010905,121.0,71.0,192.0,1_9_5
020010906,101.0,73.0,174.0,1_9_6
020010907,146.0,142.0,288.0,1_9_7
020010908,75.0,72.0,147.0,1_9_8
020010909,119.0,118.0,237.0,1_9_9
020010910,63.0,46.0,109.0,1_9_10
020010911,54.0,61.0,115.0,1_9_11
020010912,35.0,41.0,76.0,1_9_12
020010913,70.0,132.0,202.0,1_9_13
020010914,95.0,52.0,147.0,1_9_14
020010915,80.0,38.0,118.0,1_9_15
020010916,250.0,86.0,336.0,1_9_16
020010917,117.0,87.0,204.0,1_9_17
020010918,73.0,97.0,170.0,1_9_18
020010919,38.0,24.0,62.0,1_9_19
020011001,53.0,65.0,118.0,1_10_1
020011002,101.0,177.0,278.0,1_10_2
020011003,247.0,265.0,512.0,1_10_3
020011004,86.0,137.0,223.0,1_10_4
020011005,105.0,130.0,235.0,1_10_5
020011006,109.0,156.0,265.0,1_10_6
020011007,88.0,71.0,159.0,1_10_7
020011008,84.0,66.0,150.0,1_10_8
020011009,101.0,58.0,159.0,1_10_9
020011010,150.0,146.0,296.0,1_10_10
020011011,161.0,188.0,349.0,1_10_11
020011012,144.0,147.0,291.0,1_10_12
020011013,160.0,177.0,337.0,1_10_13
020011014,60.0,50.0,110.0,1_10_14
020011101,128.0,87.0,215.0,1_11_1
020011102,135.0,146.0,281.0,1_11_2
020011103,142.0,55.0,197.0,1_11_3
020011104,186.0,149.0,335.0,1_11_4
020011105,159.0,90.0,249.0,1_11_5
020011106,109.0,97.0,206.0,1_11_6
020011107,153.0,141.0,294.0,1_11_7
020011108,180.0,170.0,350.0,1_11_8
020011109,100.0,119.0,219.0,1_11_9
020011110,155.0,116.0,271.0,1_11_10
020011111,87.0,39.0,126.0,1_11_11
020011112,221.0,182.0,403.0,1_11_12
020011113,139.0,150.0,289.0,1_11_13
020011114,145.0,143.0,288.0,1_11_14
020011201,72.0,42.0,114.0,1_12_1
020011202,47.0,82.0,129.0,1_12_2
020011203,198.0,114.0,312.0,1_12_3
020011204,158.0,50.0,208.0,1_12_4
020011205,147.0,126.0,273.0,1_12_5
020011206,131.0,66.0,197.0,1_12_6
020011207,215.0,128.0,343.0,1_12_7
020011208,73.0,56.0,129.0,1_12_8
020011209,206.0,143.0,349.0,1_12_9
