Código,COUNTER,1,2,Total,CO_FRAC_RA
020010101,336.0,46.0,14.0,60.0,1_1_1
020010201,478.0,91.0,45.0,136.0,1_2_1
020010202,401.0,58.0,47.0,105.0,1_2_2
020010203,337.0,64.0,25.0,89.0,1_2_3
020010204,602.0,124.0,35.0,159.0,1_2_4
020010205,307.0,52.0,19.0,71.0,1_2_5
020010206,732.0,113.0,67.0,180.0,1_2_6
020010207,438.0,78.0,45.0,123.0,1_2_7
020010208,486.0,83.0,64.0,147.0,1_2_8
020010209,511.0,89.0,69.0,158.0,1_2_9
020010210,327.0,59.0,24.0,83.0,1_2_10
020010211,611.0,124.0,57.0,181.0,1_2_11
020010212,1225.0,176.0,121.0,297.0,1_2_12
020010213,476.0,93.0,23.0,116.0,1_2_13
020010214,688.0,126.0,87.0,213.0,1_2_14
020010215,757.0,120.0,81.0,201.0,1_2_15
020010216,1128.0,202.0,151.0,353.0,1_2_16
020010217,712.0,121.0,73.0,194.0,1_2_17
020010218,480.0,84.0,42.0,126.0,1_2_18
020010219,547.0,113.0,90.0,203.0,1_2_19
020010301,594.0,57.0,105.0,162.0,1_3_1
020010302,564.0,60.0,82.0,142.0,1_3_2
020010303,659.0,83.0,98.0,181.0,1_3_3
020010304,428.0,47.0,53.0,100.0,1_3_4
020010305,1283.0,179.0,158.0,337.0,1_3_5
020010306,1027.0,125.0,182.0,307.0,1_3_6
020010307,403.0,68.0,74.0,142.0,1_3_7
020010308,797.0,102.0,111.0,213.0,1_3_8
020010309,1092.0,172.0,170.0,342.0,1_3_9
020010310,745.0,86.0,168.0,254.0,1_3_10
020010311,745.0,129.0,138.0,267.0,1_3_11
020010312,561.0,63.0,92.0,155.0,1_3_12
020010313,381.0,49.0,74.0,123.0,1_3_13
020010314,471.0,59.0,89.0,148.0,1_3_14
020010315,843.0,112.0,205.0,317.0,1_3_15
020010316,726.0,110.0,156.0,266.0,1_3_16
020010317,571.0,56.0,105.0,161.0,1_3_17
020010318,783.0,53.0,206.0,259.0,1_3_18
020010319,1017.0,144.0,142.0,286.0,1_3_19
020010320,397.0,52.0,67.0,119.0,1_3_20
020010321,300.0,26.0,92.0,118.0,1_3_21
020010322,670.0,71.0,149.0,220.0,1_3_22
020010323,837.0,60.0,156.0,216.0,1_3_23
