Código,COUNTER,CO_FRAC_RA
20010308.0,155.0,10_30_8.
20010309.0,139.0,10_30_9.
20010310.0,93.0,10_31_.
20010314.0,85.0,10_31_4.
20010315.0,3.0,10_31_5.
20010401.0,12.0,10_40_1.
20010401.0,131.0,10_40_1.
20010401.0,246.0,10_40_1.
20010401.0,250.0,10_40_1.
20010401.0,253.0,10_40_1.
20010401.0,267.0,10_40_1.
20010401.0,282.0,10_40_1.
20010401.0,290.0,10_40_1.
20010401.0,320.0,10_40_1.
20010401.0,326.0,10_40_1.
20010401.0,333.0,10_40_1.
20010401.0,350.0,10_40_1.
20010401.0,351.0,10_40_1.
20010401.0,355.0,10_40_1.
20010401.0,433.0,10_40_1.
20010401.0,435.0,10_40_1.
20010401.0,440.0,10_40_1.
20010401.0,443.0,10_40_1.
20010401.0,448.0,10_40_1.
20010401.0,651.0,10_40_1.
20010402.0,155.0,10_40_2.
20010402.0,234.0,10_40_2.
20010402.0,320.0,10_40_2.
20010402.0,352.0,10_40_2.
20010402.0,363.0,10_40_2.
20010402.0,382.0,10_40_2.
20010402.0,395.0,10_40_2.
20010402.0,487.0,10_40_2.
20010402.0,509.0,10_40_2.
20010402.0,538.0,10_40_2.
20010402.0,573.0,10_40_2.
20010402.0,600.0,10_40_2.
20010402.0,604.0,10_40_2.
20010403.0,41.0,10_40_3.
20010403.0,45.0,10_40_3.
20010403.0,57.0,10_40_3.
20010403.0,76.0,10_40_3.
20010403.0,86.0,10_40_3.
20010403.0,101.0,10_40_3.
20010403.0,112.0,10_40_3.
20010403.0,237.0,10_40_3.
20010403.0,273.0,10_40_3.
20010403.0,276.0,10_40_3.
20010403.0,279.0,10_40_3.
20010403.0,298.0,10_40_3.
20010403.0,307.0,10_40_3.
20010403.0,323.0,10_40_3.
20010403.0,324.0,10_40_3.
20010403.0,334.0,10_40_3.
20010403.0,339.0,10_40_3.
20010403.0,343.0,10_40_3.
20010403.0,354.0,10_40_3.
20010403.0,355.0,10_40_3.
20010403.0,378.0,10_40_3.
20010403.0,384.0,10_40_3.
20010403.0,385.0,10_40_3.
