longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.4413;-34.5695;2001-12-10;11 DE SEPTIEMBRE DE 1888;900;300;720000;2400;0;R2a I;clarin;1;720000;2400;PALERMO;14
-58.4521;-34.5579;2001-12-10;12 DE SEPTIEMBRE DE 1888;2200;750;730000;973.3;0;C2;argenprop;1;730000;973.3;BELGRANO;13
-58.4523;-34.5577;2001-12-10;13 DE SEPTIEMBRE DE 1888;2222;767;650000;847.5;0;R2a II;argenprop;1;650000;847.5;BELGRANO;13
-58.4677;-34.5374;2001-12-10;14 DE SEPTIEMBRE DE 1888;4700;372;370000;994.6;0;UF;argenprop;1;370000;994.6;NUÑEZ;13
-58.462;-34.5783;2001-12-10;14 DE JULIO;1300;139;94000;676.3;0;R2b I;argenprop;1;94000;676.3;VILLA ORTUZAR;15
-58.4634;-34.5766;2001-12-10;15 DE JULIO;1400;147;94000;639.5;0;R2b I;expoclasificado;1;94000;639.5;VILLA ORTUZAR;15
-58.4115;-34.6118;2001-12-10;24 DE NOVIEMBRE;100;520;220000;423.1;0;R2a II;argenprop;1;220000;423.1;BALVANERA;3
-58.4115;-34.6137;2001-12-10;25 DE NOVIEMBRE;265;189;45000;238.1;0;R2a II;clarin;1;45000;238.1;BALVANERA;3
-58.4111;-34.6196;2001-12-10;26 DE NOVIEMBRE;741;433;129000;297.9;0;E3;clarin;1;129000;297.9;BALVANERA;3
-58.4102;-34.6248;2001-12-10;27 DE NOVIEMBRE;1200;208;90000;432.7;0;C3 I;argenprop;1;90000;432.7;SAN CRISTOBAL;3
-58.4466;-34.6012;2001-12-10;TRES ARROYOS;200;233;87000;373.4;0;R2b I;argenprop;1;87000;373.4;VILLA CRESPO;15
-58.4692;-34.6137;2001-12-10;TRES ARROYOS;2300;272;85000;312.5;0;R2b III;argenprop;1;85000;312.5;VILLA GENERAL MITRE;11
-58.4869;-34.6244;2001-12-10;TRES ARROYOS;3900;213;72000;338;0;E3;argenprop;1;72000;338;FLORESTA;10
-58.4418;-34.57;2001-12-10;3 DE FEBRERO;900;225;380000;1688.9;0;R2a I;argenprop;1;380000;1688.9;PALERMO;14
-58.4656;-34.5419;2001-12-10;4 DE FEBRERO;4168;230;115000;500;0;R2b I;clarin;1;115000;500;NUÑEZ;13
-58.4395;-34.5971;2001-12-10;ACEVEDO;500;560;199000;355.4;0;R2a I;argenprop;1;199000;355.4;VILLA CRESPO;15
-58.4363;-34.5951;2001-12-10;ACEVEDO;800;200;120000;600;0;R2b I;argenprop;1;120000;600;VILLA CRESPO;15
-58.4323;-34.5929;2001-12-10;ACEVEDO;3500;375;118000;314.7;0;C3 II;argenprop;1;118000;314.7;VILLA CRESPO;15
-58.4474;-34.6316;2001-12-10;ACHAVAL;600;355;200000;563.4;0;R2b I;argenprop;1;200000;563.4;PARQUE CHACABUCO;7
-58.4469;-34.6326;2001-12-10;ACHAVAL;700;340;270000;794.1;0;R2b I;argenprop;1;270000;794.1;PARQUE CHACABUCO;7
