LONGITUD;LATITUD;FECHA;CALLE;NUMERO;M2;DOLARES;Z;U_S_M2;Z_M2;BARRIOS;COMUNA
-58.456608925045906;-34.552425080528046;2013/12/19;11 DE SEPTIEMBRE DE 1888;2800;225.0;650000;4309500;2888.9;19153.3;BELGRANO;13
-58.456608925045906;-34.552425080528046;2013/12/19;11 DE SEPTIEMBRE DE 1888;2800;383.0;1100000;7293000;2872.1;19041.8;BELGRANO;13
-58.463243726104771;-34.543356644860495;2014/01/07;11 DE SEPTIEMBRE DE 1888;3900;493.0;850000;5635500;1724.1;11431.0;NUÑEZ;13
-58.37571588540991;-34.620967675767119;2013/12/26;HUMBERTO;700;650.0;650000;4309500;1000.0;6630.0;SAN TELMO;1
-58.384331217803371;-34.621187354753467;2013/12/26;HUMBERTO;1300;92.0;330000;2187900;3587.0;23781.5;CONSTITUCION;1
-58.387185740432081;-34.621395438576968;2013/12/18;HUMBERTO;1500;1023.0;1150950;7630799;1125.1;7459.2;CONSTITUCION;1
-58.394440915921528;-34.62183031883059;2014/01/07;HUMBERTO;2000;600.0;850000;5635500;1416.7;9392.5;SAN CRISTOBAL;3
-58.398148764719579;-34.622029386544696;2014/01/07;HUMBERTO;2300;491.0;470000;3116100;957.2;6346.4;SAN CRISTOBAL;3
-58.401333110388208;-34.622442944256122;2013/12/20;HUMBERTO;2600;296.0;350000;2320500;1182.4;7839.5;SAN CRISTOBAL;3
-58.407153738656241;-34.62334623789917;2014/01/07;HUMBERTO;3000;457.0;390000;2585700;853.4;5658.0;SAN CRISTOBAL;3
-58.410440288924732;-34.623874138772223;2014/01/07;HUMBERTO;3200;355.0;423831;2810000;1193.9;7915.5;SAN CRISTOBAL;3
-58.394440915921528;-34.62183031883059;2013/01/02;HUMBERTO;2000;471.0;850000;5635500;1804.7;11965.0;SAN CRISTOBAL;3
-58.398148764719579;-34.622029386544696;2013/01/02;HUMBERTO;2300;491.0;470000;3116100;957.2;6346.4;SAN CRISTOBAL;3
-58.401333110388208;-34.622442944256122;2013/01/02;HUMBERTO;2600;131.0;310000;2055300;2366.4;15689.3;SAN CRISTOBAL;3
-58.407153738656241;-34.62334623789917;2013/01/02;HUMBERTO;3000;272.0;360000;2386800;1323.5;8775.0;SAN CRISTOBAL;3
-58.410440288924732;-34.623874138772223;2013/01/02;HUMBERTO;3200;355.0;423831;2810000;1193.9;7915.5;SAN CRISTOBAL;3
-58.468376352391687;-34.590995718030484;2013/12/20;14 DE JULIO;100;123.0;175000;1160250;1422.8;9432.9;PATERNAL;15
-58.461911668333215;-34.585614217836209;2014/01/08;14 DE JULIO;700;503.0;450000;2983500;894.6;5931.4;VILLA ORTUZAR;15
-58.462123055197154;-34.582933856749037;2014/01/08;14 DE JULIO;900;233.0;325000;2154750;1394.8;9247.9;VILLA ORTUZAR;15
-58.411152634658791;-34.614021004480584;2014/01/09;24 DE NOVIEMBRE;300;493.0;1100000;7293000;2231.2;14793.1;BALVANERA;3
-58.409813181899437;-34.628697884204016;2013/12/20;24 DE NOVIEMBRE;1500;1018.0;1116139;7400000;1096.4;7269.2;SAN CRISTOBAL;3
-58.418121909340599;-34.659249497605458;2013/12/26;27 DE FEBRERO;5100;3900.0;2000000;13260000;512.8;3400.0;NUEVA POMPEYA;4
-58.419200576633465;-34.659582184132461;2013/12/20;27 DE FEBRERO;5200;4000.0;2000000;13260000;500.0;3315.0;NUEVA POMPEYA;4
-58.503614214274812;-34.639586452121762;2014/01/09;ACASSUSO;5200;504.0;400000;2652000;793.7;5261.9;VILLA LURO;10
-58.44393107334929;-34.600544619659161;2013/12/26;ACEVEDO;100;235.0;750000;4972500;3191.5;21159.6;VILLA CRESPO;15
-58.442919105099364;-34.599717300999622;2014/01/02;ACEVEDO;200;180.0;350000;2320500;1944.4;12891.7;VILLA CRESPO;15
-58.438476499942979;-34.596526631644075;2013/01/02;ACEVEDO;600;337.5;700000;4641000;2074.1;13751.1;VILLA CRESPO;15
-58.438476499942979;-34.596526631644075;2014/01/08;ACEVEDO;600;348.0;590000;3911700;1695.4;11240.5;VILLA CRESPO;15
-58.437400755394158;-34.595838441399763;2013/12/26;ACEVEDO;700;186.0;400000;2652000;2150.5;14258.1;VILLA CRESPO;15
-58.436301442767061;-34.595135512678894;2014/01/09;ACEVEDO;800;130.0;390000;2585700;3000.0;19890.0;VILLA CRESPO;15
-58.43309029927439;-34.593085089720802;2014/01/07;ACEVEDO;1100;150.0;450000;2983500;3000.0;19890.0;VILLA CRESPO;15
-58.472208939147713;-34.583804129567831;2014/01/08;"ACHA, MARIANO, Gral.";1000;218.0;310000;2055300;1422.0;9428.0;VILLA ORTUZAR;15
-58.472344826679745;-34.578006345624921;2013/12/26;"ACHA, MARIANO, Gral.";1600;722.0;665000;4408950;921.1;6106.6;VILLA ORTUZAR;15
-58.480019705278735;-34.569186378980163;2013/12/26;"ACHA, MARIANO, Gral.";2600;373.0;280000;1856400;750.7;4976.9;VILLA URQUIZA;12
-58.502903748385116;-34.570826069653378;2014/01/06;ACHEGA;3400;970.0;520000;3447600;536.1;3554.2;VILLA URQUIZA;12
