X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;PESOS;U_S_M2;BARRIOS;COMUNA
-58.455626942116282;-34.553169236899983;2015/02/19;11 DE SEPTIEMBRE DE 1888;2700;381.0;1150000;;3018.4;BELGRANO;13
-58.457136021164672;-34.551182019245125;2015/02/13;11 DE SEPTIEMBRE DE 1888;2900;200.0;360000;;1800.0;NUÑEZ;13
-58.462964975152282;-34.54321259391557;2015/02/19;11 DE SEPTIEMBRE DE 1888;3900;493.0;1000000;;2028.4;NUÑEZ;13
-58.464855276996083;-34.588765838591399;;14 DE JULIO;400;400.0;270000;;675.0;CHACARITA;15
-58.464855276996083;-34.588765838591399;2015/02/20;14 DE JULIO;400;310.0;270000;;871.0;CHACARITA;15
-58.3826621522389;-34.630724936187804;2015/02/18;15 DE NOVIEMBRE DE 1889;1200;350.0;750000;;2142.9;CONSTITUCION;1
-58.411316115733918;-34.615328857706608;2015/02/13;24 DE NOVIEMBRE;400;301.0;264000;;877.1;BALVANERA;3
-58.410032652394186;-34.629891561232277;2015/02/19;24 DE NOVIEMBRE;1600;130.0;280000;;2153.8;SAN CRISTOBAL;3
-58.409432437880383;-34.635447210009183;2015/02/19;24 DE NOVIEMBRE;2100;2500.0;3700000;;1480.0;PARQUE PATRICIOS;4
-58.416830576837349;-34.659151202541331;2015/02/20;27 DE FEBRERO;5000;3900.0;2000000;;512.8;NUEVA POMPEYA;4
-58.505427586815337;-34.640835993727073;;ACASSUSO;5400;108.0;176000;;1629.6;VILLA LURO;10
-58.506187551836135;-34.641521488337702;;ACASSUSO;5500;312.0;264000;;846.2;VILLA LURO;10
-58.509233289489856;-34.644268589995271;;ACASSUSO;5900;300.0;385000;;1283.3;LINIERS;9
-58.509233289489856;-34.644268589995271;2015/02/19;ACASSUSO;5900;321.0;406977;;1267.8;LINIERS;9
-58.442689213945009;-34.599906927468076;2015/02/13;ACEVEDO;200;180.0;350000;;1944.4;VILLA CRESPO;15
-58.441659738347916;-34.599068770967477;2015/02/19;ACEVEDO;300;215.0;750000;;3488.4;VILLA CRESPO;15
-58.438276345596954;-34.596737770786092;2015/02/19;ACEVEDO;600;337.0;600000;;1780.4;VILLA CRESPO;15
-58.437200595834469;-34.596049576149127;2015/02/19;ACEVEDO;700;208.0;360000;;1730.8;VILLA CRESPO;15
-58.436101508394437;-34.59534679028237;2015/02/19;ACEVEDO;800;300.0;900000;;3000.0;VILLA CRESPO;15
-58.435044709333681;-34.594672040241107;2015/02/19;ACEVEDO;900;164.0;270000;;1646.3;VILLA CRESPO;15
-58.43289037341097;-34.593296369616773;2015/02/19;ACEVEDO;1100;150.0;350000;;2333.3;VILLA CRESPO;15
-58.471882025513509;-34.583796525422592;;"ACHA, MARIANO, GRAL.";1000;218.0;285000;;1307.3;VILLA ORTUZAR;15
-58.471882025513509;-34.583796525422592;;"ACHA, MARIANO, Gral.";1000;204.0;285000;;1397.1;VILLA ORTUZAR;15
-58.472017945078427;-34.577998326098111;;"ACHA, MARIANO, GRAL.";1600;722.0;710000;;983.4;VILLA ORTUZAR;15
-58.475891678688399;-34.573381281779803;;"ACHA, MARIANO, GRAL.";2100;378.0;580000;;1534.4;VILLA URQUIZA;12
-58.475891678688399;-34.573381281779803;;"ACHA, MARIANO, Gral.";2100;344.0;580000;;1686.0;VILLA URQUIZA;12
-58.491438075685366;-34.554441835138498;;"ACHA, MARIANO, GRAL.";4200;241.0;295000;;1224.1;SAAVEDRA;12
-58.495218782315128;-34.549041423224253;2015/02/20;"ACHA, MARIANO, Gral.";4900;200.0;190000;;950.0;SAAVEDRA;12
-58.499210058619461;-34.575176955371944;;ACHEGA;2900;159.0;310000;;1949.7;VILLA URQUIZA;12
-58.499210058619461;-34.575176955371944;;ACHEGA;2900;144.0;310000;;2152.8;VILLA URQUIZA;12
-58.502632193500531;-34.570672764120026;;ACHEGA;3400;213.0;180000;;845.1;VILLA URQUIZA;12
-58.502632193500531;-34.570672764120026;;ACHEGA;3400;606.0;490000;;808.6;VILLA URQUIZA;12
-58.502632193500531;-34.570672764120026;;ACHEGA;3400;317.0;250000;;788.6;VILLA URQUIZA;12
-58.504739292502698;-34.645165598620359;2015/02/19;ACONCAGUA;5700;246.0;205000;;833.3;LINIERS;9
-58.439951156555232;-34.607768765495507;2015/02/19;ACOYTE;900;246.0;450000;;1829.3;CABALLITO;6
-58.422872668382766;-34.608608697747798;2015/02/13;"ACUÑA DE FIGUEROA, FRANCISCO";300;250.0;350000;;1400.0;ALMAGRO;5
-58.422750968424566;-34.607280923713361;;"ACUÑA DE FIGUEROA, FRANCISCO";400;780.0;495000;;634.6;ALMAGRO;5
-58.422750968424566;-34.607280923713361;2015/02/13;"ACUÑA DE FIGUEROA, FRANCISCO";400;260.0;500000;;1923.1;ALMAGRO;5
-58.422750968424566;-34.607280923713361;2015/02/13;"ACUÑA DE FIGUEROA, FRANCISCO";400;259.0;495000;;1911.2;ALMAGRO;5
-58.422402189404714;-34.603073760872519;;"ACUÑA DE FIGUEROA, FRANCISCO";700;256.0;590000;;2304.7;ALMAGRO;5
-58.422049484418274;-34.600558874856965;;"ACUÑA DE FIGUEROA, FRANCISCO";900;1100.0;490000;;445.5;ALMAGRO;5
-58.420088449892283;-34.590127295504779;;"ACUÑA DE FIGUEROA, FRANCISCO";2000;240.0;430000;;1791.7;PALERMO;14
-58.418207650561314;-34.618532206032377;2015/02/13;AGRELO;3700;173.0;299000;;1728.3;ALMAGRO;5
-58.493717598136875;-34.570280471169454;;AGUAS BUENAS;3100;184.0;280000;;1521.7;VILLA URQUIZA;12
-58.411590482360985;-34.604140203061291;;AGUERO;500;1080.0;600000;;555.6;BALVANERA;3
-58.411590482360985;-34.604140203061291;2015/02/12;AGUERO;500;269.0;600000;;2230.5;BALVANERA;3
-58.447161150578815;-34.568791505581473;2015/02/13;AGUILAR;2400;192.0;790000;;4114.6;PALERMO;14
-58.435375155741802;-34.597733276783032;;AGUIRRE;500;208.0;580000;;2788.5;VILLA CRESPO;15
-58.435375155741802;-34.597733276783032;2015/02/19;AGUIRRE;500;130.0;580000;;4461.5;VILLA CRESPO;15
-58.439560786552654;-34.593264882454008;;AGUIRRE;1000;294.0;1050000;;3571.4;VILLA CRESPO;15
-58.439560786552654;-34.593264882454008;;AGUIRRE;1000;123.0;400000;;3252.0;VILLA CRESPO;15
-58.439560786552654;-34.593264882454008;;AGUIRRE;1000;272.0;1050000;;3860.3;VILLA CRESPO;15
-58.444054540322362;-34.588858371062564;2015/02/18;AGUIRRE;1500;1199.0;770000;;642.2;CHACARITA;15
-58.444974098479506;-34.588069454730899;2015/02/19;AGUIRRE;1600;239.0;210000;;878.7;CHACARITA;15
-58.499425390263809;-34.573242179136827;;AIZPURUA;3200;200.0;170000;;850.0;VILLA URQUIZA;12
-58.502512665932755;-34.569398895895581;;AIZPURUA;3500;256.0;289000;;1128.9;VILLA URQUIZA;12
-58.502512665932755;-34.569398895895581;2015/02/20;AIZPURUA;3500;282.0;289000;;1024.8;VILLA URQUIZA;12
-58.502117266874222;-34.618432540555752;2015/02/18;ALBANIA;4500;113.0;175000;;1548.7;MONTE CASTRO;10
-58.504610900436617;-34.644192085946472;2015/02/19;ALBARIÑO;600;222.0;198000;;891.9;LINIERS;9
-58.486753943456435;-34.658159134767139;2015/02/19;ALBARIÑO;2200;372.0;175000;;470.4;MATADEROS;9
-58.429525068637801;-34.637662198886993;2015/02/19;ALBARRACIN;1800;120.0;240000;;2000.0;PARQUE CHACABUCO;7
-58.445038680345583;-34.623688022874333;;"ALBERDI, JUAN BAUTISTA";1200;440.0;715000;;1625.0;CABALLITO;6
-58.445038680345583;-34.623688022874333;2015/02/13;"ALBERDI, JUAN BAUTISTA";1200;457.0;715000;;1564.6;CABALLITO;6
-58.456588369220171;-34.62951612020349;;"ALBERDI, JUAN BAUTISTA";2000;793.0;900000;;1134.9;FLORES;7
-58.456588369220171;-34.62951612020349;2015/02/18;"ALBERDI, JUAN BAUTISTA";2000;255.0;900000;;3529.4;FLORES;7
-58.467199606560207;-34.632787617592875;;"ALBERDI, JUAN BAUTISTA";2800;590.0;1220000;;2067.8;FLORES;7
-58.467199606560207;-34.632787617592875;2015/02/18;"ALBERDI, JUAN BAUTISTA";2800;588.0;1150000;;1955.8;FLORES;7
-58.467199606560207;-34.632787617592875;2015/02/18;"ALBERDI, JUAN BAUTISTA";2800;159.0;245000;;1540.9;FLORES;7
-58.484669901488523;-34.639664656311751;2015/02/18;"ALBERDI, JUAN BAUTISTA";4200;471.0;550000;;1167.7;VELEZ SARSFIELD;10
-58.486132999282646;-34.640355434978709;2015/02/19;"ALBERDI, JUAN BAUTISTA";4300;199.0;220000;;1105.5;VELEZ SARSFIELD;10
-58.487865756955138;-34.641172627687666;2015/02/18;"ALBERDI, JUAN BAUTISTA";4400;227.0;430000;;1894.3;VELEZ SARSFIELD;10
-58.401714557295129;-34.612168674358863;2015/02/19;ALBERTI;200;193.0;800000;;4145.1;BALVANERA;3
-58.401714557295129;-34.612168674358863;2015/02/13;ALBERTI;200;364.0;480000;;1318.7;BALVANERA;3
-58.401145117648937;-34.618657520610881;;ALBERTI;800;537.0;220000;;409.7;BALVANERA;3
-58.401145117648937;-34.618657520610881;2015/02/13;ALBERTI;800;155.0;220000;;1419.4;BALVANERA;3
-58.400771800594761;-34.622231891801718;2015/02/20;ALBERTI;1100;182.0;250000;;1373.6;SAN CRISTOBAL;3
-58.400254351052837;-34.627304539448296;2015/02/19;ALBERTI;1500;262.0;270000;;1030.5;SAN CRISTOBAL;3
-58.501832366539837;-34.619000690993794;;ALCARAZ;4600;295.0;310000;;1050.8;MONTE CASTRO;10
-58.38819683662156;-34.638888293394857;2015/02/13;"ALCORTA, AMANCIO";1900;306.0;120000;;392.2;BARRACAS;4
-58.407854103655083;-34.652617072802919;2015/02/19;"ALCORTA, AMANCIO";3500;8500.0;7700000;;905.9;NUEVA POMPEYA;4
-58.504470064269647;-34.623274098847524;;ALLENDE;1900;522.0;570000;;1092.0;MONTE CASTRO;10
-58.504470064269647;-34.623274098847524;2015/02/18;ALLENDE;1900;507.0;570000;;1124.3;MONTE CASTRO;10
-58.412500558994033;-34.640838782023167;2015/02/19;ALMAFUERTE;200;1335.0;1750000;;1310.9;NUEVA POMPEYA;4
-58.387463827376344;-34.611044547150556;2015/02/18;"ALSINA, ADOLFO";1500;619.0;900000;;1454.0;MONTSERRAT;1
-58.40321735053783;-34.612148116489699;2015/02/13;"ALSINA, ADOLFO";2600;582.0;590000;;1013.7;BALVANERA;3
-58.411473751862736;-34.612899578169731;2015/02/13;"ALSINA, ADOLFO";3200;387.0;480000;;1240.3;BALVANERA;3
-58.487802717542635;-34.581074710570405;2015/02/20;ALTOLAGUIRRE;2100;394.0;900000;;2284.3;VILLA URQUIZA;12
-58.488017911550656;-34.609841578302721;;ALVAREZ JONTE;3200;1645.0;2500000;;1519.8;VILLA DEL PARQUE;11
-58.488017911550656;-34.609841578302721;;ALVAREZ JONTE;3200;233.0;280000;;1201.7;VILLA DEL PARQUE;11
-58.494724198600679;-34.613781969858969;;ALVAREZ JONTE;3800;2775.0;3000000;;1081.1;VILLA DEL PARQUE;11
-58.506957867168325;-34.620215974640395;2015/02/18;ALVAREZ JONTE;4900;823.0;2600000;;3159.2;MONTE CASTRO;10
-58.454883924456141;-34.623430597135076;2015/02/18;"ALVAREZ, DONATO, Tte. Gral.";200;433.0;580000;;1339.5;CABALLITO;6
-58.464545168241749;-34.603293338572911;2015/02/19;"ALVAREZ, DONATO, Tte. Gral.";2100;219.0;430000;;1963.5;VILLA GRAL. MITRE;11
-58.438442084744821;-34.602321343052424;2015/02/19;"ALVAREZ, JULIAN";200;847.0;950000;;1121.6;VILLA CRESPO;15
-58.431819561831446;-34.598079765612297;2015/02/19;"ALVAREZ, JULIAN";800;110.0;390000;;3545.5;VILLA CRESPO;15
-58.4251154450059;-34.593622832872349;;"ALVAREZ, JULIAN";1400;212.0;400000;;1886.8;PALERMO;14
-58.4251154450059;-34.593622832872349;;"ALVAREZ, JULIAN";1400;178.0;320000;;1797.8;PALERMO;14
-58.4251154450059;-34.593622832872349;;"ALVAREZ, JULIAN";1400;225.0;250000;;1111.1;PALERMO;14
-58.445677184644772;-34.582490372050536;2015/02/19;"ALVAREZ, THOMAS";100;310.0;850000;;2741.9;COLEGIALES;13
