,BARRIO,CALLE,COMUNA,DOLARES,YEAR,FECHA,LAT,LON,M2,NUMERO,U_S_M2,CO_FRACC,CO_FRAC_RA
16821,PARQUE CHACABUCO,ZUVIRIA,7.0,170000.0,2014,2015/02/19,-34.6292063415,-58.4335033791,108.0,500,1574.1,007_22,7_22_8
15584,CABALLITO,CUCHA CUCHA,6.0,268000.0,2014,2015/02/19,-34.6118031015,-58.4484617666,250.0,900,1072.0,006_4,6_4_2
15572,VILLA LURO,CORTINA,10.0,550000.0,2014,2015/02/20,-34.6346210449,-58.5052940353,340.0,400,1617.6,010_8,10_8_9
15573,MONTE CASTRO,CORTINA,10.0,215000.0,2014,2015/02/18,-34.6250794675,-58.5184446127,160.0,1700,1343.8,010_5,10_5_13
15574,VILLA REAL,CORTINA,10.0,144000.0,2014,,-34.6196980623,-58.5256912606,100.0,2400,1440.0,010_1,10_1_7
15575,VILLA LURO,CORVALAN,10.0,275000.0,2014,,-34.6426079738,-58.5050320049,240.0,400,1145.8,010_16,10_16_6
15576,MATADEROS,CORVALAN,9.0,145000.0,2014,2015/02/18,-34.6459431658,-58.500782664,119.0,800,1218.5,009_6,9_6_6
15577,PALERMO,COSTA RICA,14.0,470000.0,2014,2015/02/19,-34.591442448,-58.42051066,494.0,4100,951.4,014_22,14_22_4
15578,PALERMO,COSTA RICA,14.0,500000.0,2014,,-34.584013114,-58.4329496917,126.0,5400,3968.3,014_7,14_7_9
15579,PARQUE PATRICIOS,COTAGAITA,4.0,185000.0,2014,2015/02/19,-34.6320205608,-58.4071321094,372.0,1800,497.3,004_6,4_6_3
15580,BELGRANO,CRAMER,13.0,1700000.0,2014,2015/02/13,-34.5609584558,-58.4643785632,360.0,2500,4722.2,013_17,13_17_1
15581,SAAVEDRA,CRAMER,12.0,390000.0,2014,2015/02/19,-34.5504437079,-58.4732740908,286.0,3700,1363.6,012_5,12_5_9
15582,SAAVEDRA,CRAMER,12.0,890000.0,2014,2015/02/19,-34.5435186094,-58.4769415267,750.0,4500,1186.7,012_4,12_4_3
15583,BARRACAS,"CRUZ, OSVALDO",4.0,260000.0,2014,2015/02/13,-34.6543709783,-58.3841916619,297.0,2700,875.4,004_11,4_11_8
